"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings on Adherence","Accuracy and Measurement Validity","Health Outcomes"
"O papel das inovações tecnológicas no monitoramento de doenças crônicas: revisar como novas tecnologias, como dispositivos wearables e sensores, têm sido usadas para monitorar e gerenciar condições crônicas","https://scispace.com/paper/o-papel-das-inovacoes-tecnologicas-no-monitoramento-de-048c9hb19sem","2025","Journal Article","Revista Ibero-Americana de Humanidades, Ciências e Educação","Lana Raissa Tavares Ferreira","10.51891/rease.v1i4.18499","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses wearables for chronic disease management, addressing patient adherence, data accuracy challenges, and resulting health outcomes such as improved quality of life.","O monitoramento de doenças crônicas representa um desafio crescente no campo da saúde, especialmente devido ao envelhecimento populacional e ao aumento da prevalência dessas condições. Neste contexto, as inovações tecnológicas, como dispositivos wearables e sensores, têm emergido como ferramentas essenciais para o acompanhamento contínuo e a gestão eficiente de condições crônicas, como diabetes, hipertensão e doenças cardíacas. Este artigo revisa as principais inovações tecnológicas no monitoramento de doenças crônicas, explorando como esses dispositivos contribuem para o manejo dessas condições e melhoram a qualidade de vida dos pacientes. Através de uma revisão de literatura, discutem-se os avanços recentes, os benefícios clínicos, as limitações e as perspectivas futuras dessas tecnologias. Conclui-se que, embora os dispositivos wearables e sensores apresentem grande potencial, desafios relacionados à precisão dos dados, adesão do paciente e privacidade ainda precisam ser superados para maximizar seu impacto no monitoramento de doenças crônicas. ","Challenges related to patient adherence still need to be overcome to maximize the impact of technological innovations in chronic disease monitoring. The paper mentions ""adesão do paciente"" (patient adherence) as a limitation. Specific adherence rates, dropout rates, factors affecting adherence, or duration of sustained use are not quantitatively reported.","Challenges related to the precision of data from wearable devices and sensors still need to be overcome. While these technologies show great potential for monitoring chronic diseases, the metadata highlights that data accuracy is an area requiring improvement for maximizing their impact. No specific validation methods, comparison to gold standards, measurement errors, limits of agreement, or accuracy metrics (e.g., sensitivity, specificity, correlation coefficients) are reported.","Technological innovations, such as wearables and sensors, contribute to the management of chronic conditions and improve the quality of life for patients. The article discusses clinical benefits, limitations, and future perspectives. However, specific findings on short-term and long-term health outcomes, including clinical outcomes (e.g., HbA1c, blood pressure, hospitalizations), behavioral outcomes (e.g., physical activity, medication adherence), or quantitative results, are not reported in the metadata. Challenges related to data accuracy, patient adherence, and privacy are noted."
"How Wearable Sensors Promote Public Health Through Chronic Disease Management","https://scispace.com/paper/how-wearable-sensors-promote-public-health-through-chronic-kuhh35qhjoou","2026","Journal Article","","Hongbo Wang","10.70121/001c.147475","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Explores wearable sensors for chronic disease management, covering patient adherence, data accuracy, and improved health outcomes.","Wearable sensors are transforming the landscape of public health, particularly in the management of chronic diseases such as cardiovascular conditions and diabetes. These technologies enable continuous, non-invasive health monitoring, early detection of anomalies, and real-time data collection for both patients and healthcare providers. This paper explores how wearable biosensors, including AI-integrated devices and electrochemical sensors, contribute to improved chronic disease outcomes. By reviewing recent advancements published in leading biomedical journals, the study examines the effectiveness of wearable sensors in promoting patient adherence, enhancing telehealth, and reducing healthcare burdens. Despite their promise, challenges such as data accuracy, privacy concerns, and cost remain unresolved. This paper concludes with a discussion of emerging innovations and long-term hopes for how wearable technologies can further support public health initiatives.","The paper states that wearable sensors contribute to improved chronic disease outcomes by promoting patient adherence. However, it does not report specific adherence rates, dropout rates, factors affecting adherence, duration of sustained use, or quantitative adherence data.","Challenges such as data accuracy remain unresolved. The paper explores how wearable biosensors, including AI-integrated devices and electrochemical sensors, contribute to improved chronic disease outcomes. It reviews recent advancements published in leading biomedical journals to examine effectiveness. Specific findings on validation methods, comparison to gold standards, measurement errors, limits of agreement, sensitivity, specificity, or correlation coefficients are not detailed.","Wearable sensors promote improved chronic disease outcomes through continuous monitoring, early detection, and real-time data collection. They enhance patient adherence and telehealth. The paper discusses these contributions without specifying quantitative results for clinical outcomes (e.g., HbA1c, blood pressure, hospitalizations), behavioral outcomes (physical activity, medication adherence), or quality of life measures. Specific time frames for these outcomes are also not reported. Challenges like data accuracy, privacy, and cost remain."
"Consumer-grade wearable devices in arrhythmia diagnostics for clinicians: where we are and where we are going.","https://scispace.com/paper/39863724","2025","Journal Article","Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing","Rytkin
Zotova
Passman
Ardashev
Trachiotis
Efimov
Knight","10.1007/s10840-025-01994-0","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses consumer wearables for atrial arrhythmia management, covering patient compliance, data accuracy, and potential clinical outcome improvements.","Atrial arrhythmias, including atrial fibrillation (AF), are a major contributor to cardiovascular morbidity and mortality. Early detection and effective management are critical to mitigating adverse outcomes such as stroke, heart failure, and overall mortality. Wearable devices have emerged as promising tools for monitoring, detecting, and managing atrial arrhythmias near-continuously. This comprehensive analysis explores these wearable technologies' current role and capabilities for clinicians' daily practice. Despite challenges related to data accuracy, privacy, patient compliance, and integration with healthcare systems, ongoing advancements hold significant promise for the future. Continued research and development are essential to fully realize the potential of wearables in improving clinical outcomes for patients with atrial arrhythmias.","Despite challenges related to data accuracy, privacy, patient compliance, and integration with healthcare systems, ongoing advancements hold significant promise."" The abstract mentions ""patient compliance"" as a challenge. However, no specific adherence rates, dropout rates, factors affecting adherence beyond ""privacy"" and ""data accuracy,"" or duration of sustained use are reported. Quantitative adherence data is not available.","The paper discusses challenges related to data accuracy of wearable devices. It mentions a large-scale assessment of a smartwatch to identify atrial fibrillation and clinical validation of 5 direct-to-consumer wearable smart devices to detect atrial fibrillation. A novel AI algorithm is noted for reducing inconclusive smart-device single-lead ECG tracings. Specific metrics like sensitivity or specificity are not explicitly reported in the abstract.","Wearable devices are explored for monitoring, detecting, and managing atrial arrhythmias, a major contributor to cardiovascular morbidity and mortality. Early detection and effective management are critical to mitigating adverse outcomes such as stroke, heart failure, and overall mortality. The analysis discusses challenges related to data accuracy, privacy, and patient compliance. Ongoing advancements hold significant promise for improving clinical outcomes for patients with atrial arrhythmias. Specific quantitative results for HbA1c, blood pressure, hospitalizations, physical activity, medication adherence, or quality of life measures are not reported."
"Impact of Wearable Technology on Heart Failure Management","https://scispace.com/paper/impact-of-wearable-technology-on-heart-failure-management-1nyh4p6ib0ae","2024","Journal Article","Galen Medical Journal","Negar Jafari
Sahar Yousefi Ghalati
Venus Shahabi Raberi
Sanam Mohammadzadeh
Saba Moalemi
Arash Amin","10.31661/gmj.v13i.3469","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews wearable devices for heart failure, discussing patient adherence, data accuracy, and resulting health outcomes such as early intervention and disease progression prevention.","Background: Heart failure (HF) is a chronic and progressive condition that its management presents significant challenges in both clinical settings and patient self-care. Recent advances in wearable technology offer promising solutions to these challenges by enabling continuous monitoring, early detection of clinical deterioration, and personalized care. This review aims to critically evaluate the impact of wearable technology on HF management. Methods and Materials: This narrative systematic review was conducted across multiple databases, including PubMed, Web of Science, and the Cochrane Library, to identify relevant studies published between 2010 and 2024. Studies on wearable devices for HF management and monitoring were included if they reported on clinical trials and provided data on integration into clinical workflows. Studies on other conditions or without original research data or Non-English papers were excluded. Results: Nine studies were evaluated in this study that were focusing on a variety of technologies ranging from consumer-grade fitness trackers to specialized bioimpedance sensors and wearable cardioverter-defibrillators. These studies demonstrate the potential of wearables to continuously monitor important health metrics, which can lead to early intervention and personalized care. However, there are still challenges to be addressed, including concerns about data accuracy, patient adherence, small sample sizes, and the incorporation of wearable data into clinical practice. While consumer devices are more accessible, their accuracy in a clinical setting is uncertain, while more advanced devices like the ""Volum"" monitor and BioZ sensors show promise but require further validation. Conclusions: This review highlights the growing importance of wearable technologies in HF management, actionable insights that can prevent disease progression. However, significant challenges remain, including the need for further validation, device optimization, and data standardization before routine clinical practice. Future advancements should focus on improving device accuracy, patient adherence, and data security, while ensuring equitable access to these technologies. ","Challenges include concerns about patient adherence. Future advancements should focus on improving patient adherence. No specific adherence rates, dropout rates, or duration of sustained use are reported. Factors affecting adherence are not detailed beyond ""concerns about patient adherence.""","The review notes challenges regarding data accuracy, particularly for consumer devices, where their accuracy in a clinical setting is uncertain. More advanced devices like the ""Volum"" monitor and BioZ sensors show promise but require further validation. The paper highlights the need for improving device accuracy and further validation before routine clinical practice. Specific metrics like sensitivity, specificity, or correlation coefficients are not reported.","The review highlights wearables' potential for continuous monitoring, early intervention, and personalized care in heart failure management, which can prevent disease progression. However, specific short-term or long-term clinical outcomes (like hospitalizations, HbA1c, blood pressure), behavioral outcomes (physical activity, medication adherence), or quality of life measures with quantitative results are not reported. The review mentions challenges in data accuracy, patient adherence, and clinical integration. Timeframes studied are not explicitly stated, but the review covers studies published between 2010 and 2024."
"Utilization of wearable technology data in chronic disease management","https://scispace.com/paper/utilization-of-wearable-technology-data-in-chronic-disease-1blgdt5wur9r","2022","Journal Article","World Journal Of Advanced Research and Reviews","O.O.A. Oni
Topeola Balkis Awofala","10.30574/wjarr.2022.16.3.1208","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Explores wearable devices for chronic disease management, covering patient adherence, device accuracy, and improved health outcomes.","Chronic diseases such as diabetes and cardiovascular disease pose significant challenges for patients and healthcare systems around the globe. The advent of wearable technology, capable of monitoring vital health metrics such as glucose levels and heart rate in real-time, presents transformative possibilities for managing these conditions. This paper thoroughly explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing the role of continuous monitoring and timely interventions that these technologies facilitate. Additionally, it examines the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. The discussion extends to the integration challenges of these devices within existing healthcare frameworks, focusing on data privacy, accuracy, and the need for robust data management systems. The paper also considers the broader implications of wearable technology, suggesting that beyond individual patient management, these devices hold potential for large-scale health data analysis and policy-making, ultimately guiding future research directions to maximize their benefits in chronic disease management. This comprehensive examination not only underscores the capabilities of wearable technology but also maps out the necessary advancements and policy adjustments required to fully integrate these innovative tools into mainstream healthcare practices. ","The paper emphasizes the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. It does not report specific adherence rates, dropout rates, or duration of sustained use.","Not reported.","The paper explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing continuous monitoring and timely interventions. It highlights the role of patient compliance and engagement, noting how design influences long-term use and adherence. The discussion focuses on the potential for large-scale health data analysis and policy-making. Specific clinical outcomes, behavioral outcomes, quality of life measures, or time frames are not reported in detail. Quantitative results are not provided."
"The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care: A Comprehensive Review","https://scispace.com/paper/the-role-of-wearable-devices-in-chronic-disease-monitoring-idagpylffll4","2024","Journal Article","Cureus","Eman A Jafleh
Fatima A Alnaqbi
Hind A Almaeeni
Shooq Faqeeh
Moza A Alzaabi
Khaled Al Zaman","10.7759/cureus.68921","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews wearable devices across chronic diseases, noting adherence improvements, data accuracy challenges, and positive health outcomes.","Wearable health devices are becoming vital in chronic disease management because they offer real-time monitoring and personalized care. This review explores their effectiveness and challenges across medical fields, including cardiology, respiratory health, neurology, endocrinology, orthopedics, oncology, and mental health. A thorough literature search identified studies focusing on wearable devices’ impact on patient outcomes. In cardiology, wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. In respiratory health, these devices enhance asthma management and continuous monitoring of critical parameters. Neurological applications include seizure detection and Parkinson’s disease management, with wearables showing promising results in improving patient outcomes. In endocrinology, wearable technology advances thyroid dysfunction monitoring, fertility tracking, and diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation, while wearables help in early complication detection in oncology. Mental health benefits include anxiety detection, post-traumatic stress disorder management, and stress reduction through wearable biofeedback. In conclusion, wearable health devices offer transformative potential for managing chronic illnesses by enhancing real-time monitoring and patient engagement. Despite significant improvements in adherence and outcomes, challenges with data accuracy and privacy persist. However, with ongoing innovation and collaboration, we can all be part of the solution to maximize the benefits of wearable technologies in healthcare.","The review highlights significant improvements in adherence and outcomes due to wearable health devices in chronic disease management. However, specific adherence rates, dropout rates, factors affecting adherence, duration of sustained use, or quantitative adherence data (percentages or statistics) are not reported in the metadata. Challenges with data accuracy and privacy are mentioned as persisting issues.","Challenges with data accuracy and privacy persist regarding wearable health devices. The review highlights their transformative potential despite these issues, suggesting significant improvements in adherence and outcomes. Specific validation methods, comparison to gold standards, measurement errors, limits of agreement, or accuracy metrics (e.g., sensitivity, specificity, correlation coefficients) are not detailed.","Wearable devices have proven effective in cardiology for monitoring hypertension and detecting arrhythmias. They enhance asthma management and aid in seizure detection and Parkinson's disease management, showing promising results in improving patient outcomes. In endocrinology, they advance diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation. Wearables help in early complication detection in oncology and offer mental health benefits like anxiety detection and stress reduction. Significant improvements in adherence and outcomes are noted, though specific quantitative results or time frames are not detailed in the metadata."
"Wearable Tech and Chronic Disease Management: An Interdisciplinary Study of Bioengineering, Data Analytics, and Patient Psychology","https://scispace.com/paper/wearable-tech-and-chronic-disease-management-an-96zezxshjmsf","2025","Journal Article","","Mr. S. Ranganathan","10.65180/ijemri.2025.1.1.05","https://scispace.compdf/wearable-tech-and-chronic-disease-management-an-96zezxshjmsf.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses wearables to manage chronic diseases, discusses patient adherence and reports improved symptom control and fewer hospital visits, mentions sensor accuracy but without detailed evaluation.","The transformation of chronic disease management owes much to how wearable technology lets users watch over their health all day, provide timely assistance and receive personalized attention. The combined approach investigates how bioengineering, data analytics and understanding the psychology of patients are essential to effectively using wearables to manage diabetes, cardiovascular disease and many other illnesses. Bioengineering research has made it possible to create sensors that track important state measures comfortably and accurately. Data analytics, using machine learning, helps make sense of a lot of health data to identify when someone’s symptoms or risks may change, so healthcare can take action ahead of time. At the same time, understanding patient psychology helps drive adherence, strong involvement and appropriate behavior changes which determines the success of adopting these devices. Analysis of data from 150 patients together with interviews of patients, clinicians and bioengineers found that using wearables led to better symptom management, more compliance with medications and fewer visits to the hospital. Even so, data privacy, how easy it is to use technology and mental barriers are areas that deserve attention. The authors suggest a model that links engineering, data science and psychological approaches to better control chronic diseases through wearable technology. The findings support working together to create healthcare technology that is useful for both people and the technical side. ","The paper states that understanding patient psychology helps drive adherence and strong involvement, which determines the success of adopting these devices. It also notes that whether a patient fully adopts and continues using wearable sensor technology largely depends on their psychological factors. However, specific adherence rates, dropout rates, or duration of sustained use are not quantitatively reported in this paper.","The paper highlights that bioengineering research enables sensors to track important state measures comfortably and accurately. Sophisticated algorithms, including machine learning and AI, help identify health shifts and forecast negative outcomes. While wearables led to better symptom management and compliance, the study's results are limited by modest sample size and short duration, which might affect the detection of delicate effects and the reliability of psychological factors.","Wearables led to better symptom management, more medication compliance, and 20% fewer hospital admissions. Patients reported feeling more capable and interested in managing their health. The study watched 150 patients for six months. Long-term psychological phenomena, development over many years, and the impact of changes were not uncovered due to the study's limited duration."
"Wearable Health Technologies: A Comprehensive Review of Their Role in Chronic Disease Management","https://scispace.com/paper/ZJuD6cCMf_MJ","","","","RD Ritik","","https://scholarsdigest.in/index.php/sdjhs/article/download/37/37","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews wearable health tech for chronic disease management, cites improved patient adherence and validates accuracy, mentions effectiveness but lacks detailed health outcome data.","","The paper states that wearable technologies can improve patient adherence to self-management. However, specific adherence rates, dropout rates, factors affecting adherence, or duration of sustained use are not reported in the metadata. The metadata mentions the need for trials to validate effectiveness and safety, but not detailed adherence metrics.","The paper discusses the need for clinical trials to validate the accuracy, effectiveness, and safety of wearable health technologies. It mentions that wearable devices can track conditions like heart disease or diabetes. However, specific findings on measurement validity, reliability, comparison to gold standards, measurement errors, limits of agreement, sensitivity, specificity, or correlation coefficients are not detailed.","The paper's relevance summary indicates that it ""mentions effectiveness but lacks detailed health outcome data."" It cites improved patient adherence to self-management. The snippet mentions wearable devices can track conditions like heart disease or diabetes, and trials validate accuracy and effectiveness. However, specific short-term or long-term clinical outcomes (e.g., HbA1c, blood pressure, hospitalizations), detailed behavioral outcomes beyond adherence, quality of life measures, or quantitative results are not reported in the metadata."
"The use of wearable devices in chronic disease management to enhance adherence and improve telehealth outcomes: A systematic review and meta-analysis.","https://scispace.com/paper/the-use-of-wearable-devices-in-chronic-disease-management-to-20d0qngb37","2020","Journal Article","Journal of Telemedicine and Telecare","Tomoko Kamei
Takuya Kanamori
Yuko Yamamoto
Sisira Edirippulige","10.1177/1357633X20937573","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses wearable devices to enhance adherence and improve telehealth outcomes in chronic disease management; does not discuss device accuracy.","IntroductionWearable device (WD) interventions are rapidly growing in chronic disease management; nevertheless, the effectiveness of these technologies to monitor telehealth outcomes has not been a...","Evidence supports the use of wearable devices for COPD to enhance telehealth outcomes for disease management and with educational support for people with DM and CD to enhance support beyond usual care. Specific adherence rates, dropout rates, factors affecting adherence, or duration of sustained use are not reported in the metadata.","Not reported.","Evidence supports wearable device (WD) use for COPD to enhance telehealth outcomes for disease management. WD with educational support for people with DM and CD enhances support beyond usual care. Specific clinical outcomes (e.g., HbA1c, blood pressure, hospitalizations), behavioral outcomes (e.g., physical activity), quality of life measures, and time frames are not detailed in the provided metadata. Quantitative results are not reported."
"A Transformative Role of Wearable Health Devices From Sensors to Solutions","https://scispace.com/paper/a-transformative-role-of-wearable-health-devices-from-coe8ga97l48w","2025","Journal Article","Advances in medical technologies and clinical practice book series","Aiman Hanee Bader
Aarti Rangarajan
C. Kishor Kumar Reddy
Deepti Rangarajan
Srinath Doss","10.4018/979-8-3373-0690-2.ch009","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses wearables for chronic disease management, notes compliance and accuracy issues, but provides no concrete health outcome results.","Wearable health technology has evolved to incorporate a variety of technologies, including health solutions that enable personalized and personalized care. Once limited to activity tracking, wearable devices have brought technological advances that can identify health issues, monitor ongoing conditions, and help people manage stress while improving their mental health. Challenges associated with integrating with advanced technology include protecting personal data, maximizing product accuracy, interoperability across systems, and supporting a tight commitment to customer compliance. Many applications include cardiovascular monitoring, diabetes management, lung health, neurological assessment, and health monitoring, supporting preventive care, detecting abnormalities for early diagnosis, and helping individuals manage chronic diseases by providing real-time health information and insights. Make health decisions and support self-management of health. ","Not reported. The full text mentions challenges like ""supporting a tight commitment to customer compliance"" but does not provide specific findings on adherence rates, dropout rates, factors affecting adherence, or duration of sustained use for wearable health devices in chronic disease management.","The metadata mentions challenges associated with integrating with advanced technology, including ""maximizing product accuracy"" and ""interoperability across systems."" However, specific findings, validation methods, comparison to gold standards, measurement errors, limits of agreement, or reported accuracy metrics (e.g., sensitivity, specificity, correlation coefficients) are not detailed.

Not reported.","Wearable health devices support preventive care, detect abnormalities for early diagnosis, and help individuals manage chronic diseases. They provide real-time health information and insights to make health decisions and support self-management. Applications include cardiovascular monitoring, diabetes management, lung health, and neurological assessment. Specific clinical outcomes, behavioral outcomes, quality of life measures, and time frames are not reported in detail."
