"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The use of wearable devices in chronic disease management to enhance adherence and improve telehealth outcomes: a systematic review and meta-analysis","https://scispace.com/paper/the-use-of-wearable-devices-in-chronic-disease-management-to-20d0qngb37","2020","Journal Article","Journal of Telemedicine and Telecare","Tomoko Kamei
Takuya Kanamori
Yuko Yamamoto
Sisira Edirippulige","10.1177/1357633X20937573","","… (COPD), diabetes mellitus (DM), and cardiac disease (CD). … -analysis evaluated the adherence to and effectiveness of the use of … To confirm the reliability of the summary estimate, 95% …","IntroductionWearable device (WD) interventions are rapidly growing in chronic disease management; nevertheless, the effectiveness of these technologies to monitor telehealth outcomes has not been a..."
"The influence of wearables on health care outcomes in chronic disease: systematic review","https://scispace.com/paper/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5","2022","Journal Article","Journal of Medical Internet Research","Graeme Mattison
Oliver J. Canfell
Douglas J. Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/36690","https://scispace.com/pdf/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5.pdf","… cost-effectiveness, or health care outcomes as a result of the … promoting adherence to exercise goals in diabetes mellitus … used commercially available wearable technology that is not …","Background Chronic diseases contribute to high rates of disability and mortality. Patient engagement in chronic disease self-management is an essential component of chronic disease models of health care. Wearables provide patient-centered health data in real time, which can help inform self-management decision-making. Despite the perceived benefits of wearables in improving chronic disease self-management, their influence on health care outcomes remains poorly understood. Objective This review aimed to examine the influence of wearables on health care outcomes in individuals with chronic diseases through a systematic review of the literature. Methods A narrative systematic review was conducted by searching 6 databases for randomized and observational studies published between January 1, 2016, and July 1, 2021, that included the use of a wearable intervention in a chronic disease group to assess its impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or health care outcomes as a result of the wearable intervention. Data from the included studies were extracted based on 6 key themes, which formed the basis for a narrative qualitative synthesis. All outcomes were mapped against each component of the Quadruple Aim of health care. The guidelines of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement were followed in this study. Results A total of 30 articles were included; studies reported 2446 participants (mean age: range 10.1-74.4 years), and the influence of 14 types of wearables on 18 chronic diseases was presented. The most studied chronic diseases were type 2 diabetes (4/30, 13%), Parkinson disease (3/30, 10%), and chronic lower back pain (3/30, 10%). The results were mixed when assessing the impact on a predefined primary outcome, with 50% (15/30) of studies finding a positive influence on the studied outcome and 50% (15/30) demonstrating a nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in 7% (2/30) of studies that evaluated 2 distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity; weight; and biomarkers of disease, such as hemoglobin A1c, in diabetes. In total, 155 outcomes were studied. Most (139/155, 89.7%) addressed the health care outcomes component. This included pain (11/155, 7.5%), quality of life (7/155, 4.8%), and physical function (5/155, 3.4%). Approximately 7.7% (12/155) of outcome measures represented the patient experience component, with 1.3% (2/155) addressing the clinician experience and cost. Conclusions Given their popularity and capability, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base for safe and effective implementation. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42021244562; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=244562"
"The role of wearable devices in chronic disease monitoring and patient care: a comprehensive review","https://scispace.com/paper/the-role-of-wearable-devices-in-chronic-disease-monitoring-idagpylffll4","2024","Journal Article","Cureus","Eman A Jafleh
Fatima A Alnaqbi
Hind A Almaeeni
Shooq Faqeeh
Moza A Alzaabi
Khaled Al Zaman","10.7759/cureus.68921","https://www.cureus.com/articles/290934-the-role-of-wearable-devices-in-chronic-disease-monitoring-and-patient-care-a-comprehensive-review.pdf","… This review explores their effectiveness and challenges … monitoring, fertility tracking, and diabetes management. Orthopedic … accuracy of wearable sensors, differences in data accuracy, …","Wearable health devices are becoming vital in chronic disease management because they offer real-time monitoring and personalized care. This review explores their effectiveness and challenges across medical fields, including cardiology, respiratory health, neurology, endocrinology, orthopedics, oncology, and mental health. A thorough literature search identified studies focusing on wearable devices’ impact on patient outcomes. In cardiology, wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. In respiratory health, these devices enhance asthma management and continuous monitoring of critical parameters. Neurological applications include seizure detection and Parkinson’s disease management, with wearables showing promising results in improving patient outcomes. In endocrinology, wearable technology advances thyroid dysfunction monitoring, fertility tracking, and diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation, while wearables help in early complication detection in oncology. Mental health benefits include anxiety detection, post-traumatic stress disorder management, and stress reduction through wearable biofeedback. In conclusion, wearable health devices offer transformative potential for managing chronic illnesses by enhancing real-time monitoring and patient engagement. Despite significant improvements in adherence and outcomes, challenges with data accuracy and privacy persist. However, with ongoing innovation and collaboration, we can all be part of the solution to maximize the benefits of wearable technologies in healthcare."
"Exploring the impact of wearable health devices on chronic disease management","https://scispace.com/paper/VwhcLQeVpVUJ","","","","ABK Okeme
O Akeju
LA Enyejo","","https://www.researchgate.net/profile/Arome-Okeme/publication/389397033_Exploring_the_Impact_of_Wearable_Health_Devices_on_Chronic_Disease_Management/links/67c0e2f7f5cb8f70d5c2fb5c/Exploring-the-Impact-of-Wearable-Health-Devices-on-Chronic-Disease-Management.pdf","… The effectiveness of wearable health devices is largely driven by the accuracy and sensitivity … Furthermore, the use of wearable devices in hypertension management has demonstrated …",""
"Wearable systems for monitoring mobility-related activities in chronic disease: a systematic review","https://scispace.com/paper/wearable-systems-for-monitoring-mobility-related-activities-3f2sd76lqa","2010","Journal Article","Sensors","Lara Allet
Ruud H. Knols
Kei Shirato
Eling D. de Bruin","10.3390/S101009026","","… diseases OR cardiovascular disease OR CVK OR diabetes OR … and 12 months) effectiveness of physical activity counseling … also seems to relate to the reliability of the used devices in …","The use of wearable motion sensing technology offers important advantages over conventional methods for obtaining measures of physical activity and/or physical functioning in individuals with chronic diseases. This review aims to identify the actual state of applying wearable systems for monitoring mobility-related activity in individuals with chronic disease conditions. In this review we focus on technologies and applications, feasibility and adherence aspects, and clinical relevance of wearable motion sensing technology. PubMed (Medline since 1990), PEdro, and reference lists of all relevant articles were searched. Two authors independently reviewed randomised trials systematically. The quality of selected articles was scored and study results were summarised and discussed. 163 abstracts were considered. After application of inclusion criteria and full text reading, 25 articles were taken into account in a full text review. Twelve of these papers evaluated walking with pedometers, seven used uniaxial accelerometers to assess physical activity, six used multiaxial accelerometers, and two papers used a combination approach of a pedometer and a multiaxial accelerometer for obtaining overall activity and energy expenditure measures. Seven studies mentioned feasibility and/or adherence aspects. The number of studies that use movement sensors for monitoring of activity patterns in chronic disease (postural transitions, time spent in certain positions or activities) is nonexistent on the RCT level of study design. Although feasible methods for monitoring human mobility are available, evidence-based clinical applications of these methods in individuals with chronic diseases are in need of further development."
"Utilization of wearable technology data in chronic disease management","https://scispace.com/paper/utilization-of-wearable-technology-data-in-chronic-disease-1blgdt5wur9r","2022","Journal Article","World Journal Of Advanced Research and Reviews","O.O.A. Oni
Topeola Balkis Awofala","10.30574/wjarr.2022.16.3.1208","https://www.researchgate.net/profile/Oluwabusayo-Oni-2/publication/388382471_Utilization_of_wearable_technology_data_in_chronic_disease_management/links/679501b24c479b26c9b5c617/Utilization-of-wearable-technology-data-in-chronic-disease-management.pdf","… This paper thoroughly explores the effectiveness of wearable … wearable devices can enhance the management of diabetes … , ensuring the accuracy and reliability of the data they …","Chronic diseases such as diabetes and cardiovascular disease pose significant challenges for patients and healthcare systems around the globe. The advent of wearable technology, capable of monitoring vital health metrics such as glucose levels and heart rate in real-time, presents transformative possibilities for managing these conditions. This paper thoroughly explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing the role of continuous monitoring and timely interventions that these technologies facilitate. Additionally, it examines the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. The discussion extends to the integration challenges of these devices within existing healthcare frameworks, focusing on data privacy, accuracy, and the need for robust data management systems. The paper also considers the broader implications of wearable technology, suggesting that beyond individual patient management, these devices hold potential for large-scale health data analysis and policy-making, ultimately guiding future research directions to maximize their benefits in chronic disease management. This comprehensive examination not only underscores the capabilities of wearable technology but also maps out the necessary advancements and policy adjustments required to fully integrate these innovative tools into mainstream healthcare practices. "
"Wearable technology and its potential role in cardiovascular health monitoring and disease management","https://scispace.com/paper/jjBkZEstLdcJ","","","","A Nazir
A Nazir
MSW Jamal
S Aman","","https://onlinelibrary.wiley.com/doi/pdf/10.1002/hsr2.71486","… on wearable technology for cardiovascular disease prevention, … However, questions remain about the accuracy and reliability of … interventions, its effectiveness has yet to be reported. …",""
"Wearable devices as tools for better hypertension management in elderly patients","https://scispace.com/paper/wearable-devices-as-tools-for-better-hypertension-management-4w56s9ka96ho","2025","Journal Article","Medical Science Monitor","Yangui Wang
Jinghua Tan
Jin Zhao
Tao Wang
Tingting Ma
Li-Ye Shao
Wanju Sun","10.12659/msm.946079","","… hypertension treatment rates and medication adherence in this study involves a detailed analysis to determine the effectiveness … to gauge consistency and reliability with which patients …",""
"Wearable technology and physical activity behavior change in adults with chronic cardiometabolic disease: a systematic review and meta-analysis","https://scispace.com/paper/wearable-technology-and-physical-activity-behavior-change-in-4l4sk6uskn","2019","Journal Article","American Journal of Health Promotion","Megan A. Kirk
Mohammad Amiri
Meysam Pirbaglou
Paul Ritvo
Paul Ritvo","10.1177/0890117118816278","https://www.academia.edu/download/96310922/089011711881627820221225-1-o3eqq2.pdf","… Diagnosed cases of adult diabetes have increased by 4 … the validity, reliability, and accuracy of wearable devices … that examined the effectiveness of wearable device interventions in …","Objective:To evaluate the effectiveness of wearable device interventions (eg, Fitbit) to improve physical activity (PA) outcomes (eg, steps/day, moderate to vigorous physical activity [MVPA]) in po..."
"Wearable technology and physical activity in chronic disease: opportunities and challenges","https://scispace.com/paper/wearable-technology-and-physical-activity-in-chronic-disease-2d8l8355mi","2018","Journal Article","American Journal of Preventive Medicine","Siobhan M. Phillips
Lisa Cadmus-Bertram
Dori E. Rosenberg
Matthew P. Buman
Brigid M. Lynch","10.1016/J.AMEPRE.2017.08.015","https://pmc.ncbi.nlm.nih.gov/articles/PMC5736445/pdf/nihms918542.pdf","… chronic conditions, such as heart disease, diabetes, and cancer, … wearables have adequate validity and reliability for activity … Efficacy/effectiveness of devices to change and maintain …",""
