"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Efficacy and safety of semaglutide for obesity: A systematic review of phase 3 clinical trials","https://scispace.com/paper/efficacy-and-safety-of-semaglutide-for-obesity-a-systematic-rs5nqq7q9qjc","2025","Journal Article","Science letters","Carvalho Marcia
Matos Carla","10.48797/sl.2025.374","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews semaglutide's efficacy, reporting ~15% body weight reduction in phase‑3 trials and detailing safety outcomes.","Background: Obesity is a chronic disease with significant metabolic and cardiovascular complications, yet effective long-term pharmacological treatments remain limited. Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) have emerged as a promising therapeutic class for weight management due to their effects on appetite regulation and energy balance. Semaglutide (SMG), a potent GLP-1 RA originally developed for type 2 diabetes, has demonstrated substantial weight-loss benefits, leading to its investigation as an obesity treatment. Objective: This review evaluates phase 3 clinical trials assessing the efficacy and safety of both subcutaneous and oral SMG in individuals with obesity or overweight, with and without type 2 diabetes. Methods: A search was conducted using PubMed, Web of Science, and ClinicalTrials.gov databases from inception through to December 31, 2024. Inclusion and exclusion criteria were designed to identify clinical trials evaluating the efficacy and safety of SMG for weight management. Results: The STEP (Semaglutide Treatment Effect in People with Obesity) program, targeting individuals with obesity or overweight with comorbidities, evaluated subcutaneous SMG 2.4 mg, demonstrating superior weight loss compared to placebo and liraglutide. Key strengths include well-designed randomized controlled trials demonstrating significant weight loss and metabolic benefits. The OASIS (Oral Semaglutide Treatment Effect in People with Obesity) studies explored higher-dose oral SMG (up to 50 mg) in obesity, achieving weight loss comparable to subcutaneous SMG 2.4 mg. Results showed that SMG achieved a significantly higher reduction in mean body weight (–15.5 kg and –15.1%) compared with placebo (−2.5 kg and –2.4%). Gastrointestinal adverse events, primarily nausea and vomiting, were common but typically mild to moderate and transient. Conclusions: SMG, in subcutaneous and oral formulations, has proven to be highly effective in significantly reducing body weight. Clinical studies confirm the superiority of SMG over most GLP-1 RAs, promoting safe and effective weight loss. Collectively, these studies underscore SMG’s efficacy and acceptable safety profile, positioning it as a transformative option in obesity pharmacotherapy. ","Semaglutide achieved a significantly higher reduction in mean body weight of –15.1% compared with placebo (−2.4%). This was observed with subcutaneous SMG 2.4 mg and higher-dose oral SMG (up to 50 mg) in the STEP and OASIS studies. Specific duration of treatment or proportions of patients achieving ≥5%, ≥10%, ≥15% weight loss are not detailed.","The paper mentions that obesity has significant metabolic and cardiovascular complications. However, it does not report specific data on MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals related to semaglutide. The results section focuses on weight loss and gastrointestinal adverse events.

No cardiovascular outcomes data reported.","Gastrointestinal adverse events, primarily nausea and vomiting, were common but typically mild to moderate and transient. The metadata does not provide specific percentages or rates for these events, discontinuation rates, or serious adverse events. However, it concludes that semaglutide has an acceptable safety profile."
"Two-year effects of semaglutide in adults with overweight or obesity: the STEP 5 trial","https://scispace.com/paper/two-year-effects-of-semaglutide-in-adults-with-overweight-or-1ia6zfqk","2022","Journal Article","Nature Medicine","W. Timothy Garvey
Rachel L. Batterham
Meena Bhatta
Silvio Buscemi
Louise Næser Christensen
Juan P. Frias
Esteban Jódar
Kristian Kandler
Georgia Rigas
Thomas A. Wadden
Sean Wharton","10.1038/s41591-022-02026-4","https://scispace.com/pdf/two-year-effects-of-semaglutide-in-adults-with-overweight-or-1ia6zfqk.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports 15.2% mean weight loss with semaglutide over 104 weeks in a randomized placebo-controlled trial, explicitly detailing percentage body‑weight reduction.","Abstract The STEP 5 trial assessed the efficacy and safety of once-weekly subcutaneous semaglutide 2.4 mg versus placebo (both plus behavioral intervention) for long-term treatment of adults with obesity, or overweight with at least one weight-related comorbidity, without diabetes. The co-primary endpoints were the percentage change in body weight and achievement of weight loss of ≥5% at week 104. Efficacy was assessed among all randomized participants regardless of treatment discontinuation or rescue intervention. From 5 October 2018 to 1 February 2019, 304 participants were randomly assigned to semaglutide 2.4 mg ( n = 152) or placebo ( n = 152), 92.8% of whom completed the trial (attended the end-of-trial safety visit). Most participants were female (236 (77.6%)) and white (283 (93.1%)), with a mean (s.d.) age of 47.3 (11.0) years, body mass index of 38.5 (6.9) kg m –2 and weight of 106.0 (22.0) kg. The mean change in body weight from baseline to week 104 was −15.2% in the semaglutide group ( n = 152) versus −2.6% with placebo ( n = 152), for an estimated treatment difference of −12.6 %-points (95% confidence interval, −15.3 to −9.8; P &lt; 0.0001). More participants in the semaglutide group than in the placebo group achieved weight loss ≥5% from baseline at week 104 (77.1% versus 34.4%; P &lt; 0.0001). Gastrointestinal adverse events, mostly mild-to-moderate, were reported more often with semaglutide than with placebo (82.2% versus 53.9%). In summary, in adults with overweight (with at least one weight-related comorbidity) or obesity, semaglutide treatment led to substantial, sustained weight loss over 104 weeks versus placebo. NCT03693430 ","In the STEP 5 trial, once-weekly subcutaneous semaglutide 2.4 mg treatment for 104 weeks resulted in a mean body weight reduction of -15.2% (95% CI, -15.3 to -9.8). The proportion of patients achieving weight loss from baseline at week 104 was 77.1% for ≥5%, 61.8% for ≥10%, and 52.1% for ≥15%.","The paper notes that semaglutide treatment improved cardiometabolic risk parameters, including systolic and diastolic blood pressure, and waist circumference. It also mentions cardiovascular disorders as a safety area of interest, with 17 (11.2%) participants in the semaglutide group experiencing events compared to 32 (21.1%) in the placebo group. One death due to acute myocardial infarction occurred in the semaglutide group, deemed unrelated to the trial product. MACE, stroke, and heart failure outcomes, or hazard ratios, are not explicitly detailed as outcomes.","Semaglutide treatment led to gastrointestinal adverse events, with nausea occurring in 53.3% of participants, diarrhea in 34.9%, and vomiting in 30.3%. Overall, 82.2% reported gastrointestinal disorders. Discontinuation due to adverse events was 5.9%, with 3.9% specifically for GI disorders. Serious adverse events occurred in 7.9%. Notable safety concerns included gallbladder-related disorders (2.6%) and malignant neoplasms (1.3%)."
"Semaglutide in HFpEF across obesity class and by body weight reduction: a prespecified analysis of the STEP-HFpEF trial","https://scispace.com/paper/semaglutide-in-hfpef-across-obesity-class-and-by-body-weight-l0e0wog7bkzm","2024","Repository","","Barry A. Borlaug
Dalane W Kitzman
Melanie J. Davies
Søren Gregersen
Eric Barros
Javed Butler
Mette Nygaard Einfeldt
G Kees Hovingh
Daniel Vega Moller
Mark C. Petrie
Sanjiv J. Shah
Subodh Verma
Walter P. Abhayaratna
Fozia Ahmed
Vijay Chopra
Justin A. Ezekowitz
Michael Fu
Hiroshi Ito
Małgorzata Lelonek
Vojtěch Melenovský
Julio Núñez
Eduardo R. Perna
Morten Schou
Michele Senni
Peter van der Meer
Dirk von Lewinski
Dennis Wolf
Mikhail Kosiborod","10.60692/9fweb-02a71","https://www.nature.com/articles/s41591-023-02526-x.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows semaglutide improves HFpEF symptoms and exercise capacity, reduces body weight, with benefits scaling to each 10% weight loss.","In the STEP-HFpEF trial, semaglutide improved symptoms, physical limitations and exercise function and reduced body weight in patients with obesity phenotype of heart failure and preserved ejection fraction (HFpEF). This prespecified analysis examined the effects of semaglutide on dual primary endpoints (change in Kansas City Cardiomyopathy Questionnaire-Clinical Summary Score (KCCQ-CSS) and body weight) and confirmatory secondary endpoints (change in 6-minute walk distance (6MWD), hierarchical composite (death, HF events, change in KCCQ-CSS and 6MWD) and change in C-reactive protein (CRP)) across obesity classes I–III (body mass index (BMI) 30.0–34.9 kg m−2, 35.0–39.9 kg m−2 and ≥40 kg m−2) and according to body weight reduction with semaglutide after 52 weeks. Semaglutide consistently improved all outcomes across obesity categories (P value for treatment effects × BMI interactions = not significant for all). In semaglutide-treated patients, improvements in KCCQ-CSS, 6MWD and CRP were greater with larger body weight reduction (for example, 6.4-point (95% confidence interval (CI): 4.1, 8.8) and 14.4-m (95% CI: 5.5, 23.3) improvements in KCCQ-CSS and 6MWD for each 10% body weight reduction). In participants with obesity phenotype of HFpEF, semaglutide improved symptoms, physical limitations and exercise function and reduced inflammation and body weight across obesity categories. In semaglutide-treated patients, the magnitude of benefit was directly related to the extent of weight loss. Collectively, these data support semaglutide-mediated weight loss as a key treatment strategy in patients with obesity phenotype of HFpEF. ClinicalTrials.gov identifier: NCT04788511 . In a prespecified secondary analysis of the STEP-HFpEF trial, semagludtide treatment was associated with improvements in KCCQ-CSS and body weight, as well as trial secondary endpoints, across the spectrum of obesity classes, with the magnitude of beneficial effects being proportional to the extent of weight loss. ","Semaglutide reduced body weight in patients with obesity phenotype of HFpEF. Improvements in KCCQ-CSS, 6MWD, and CRP were greater with larger body weight reduction in semaglutide-treated patients. For example, 6.4-point (95% CI: 4.1, 8.8) and 14.4-m (95% CI: 5.5, 23.3) improvements in KCCQ-CSS and 6MWD were observed for each 10% body weight reduction after 52 weeks. Specific mean/median percent weight loss or proportions achieving weight loss thresholds are not explicitly detailed.","The prespecified analysis examined effects of semaglutide on dual primary endpoints (KCCQ-CSS and body weight) and confirmatory secondary endpoints (6MWD, hierarchical composite, and CRP). The hierarchical composite included death and HF events. Semaglutide consistently improved all outcomes across obesity categories. Improvements in KCCQ-CSS, 6MWD, and CRP were greater with larger body weight reduction.","No adverse event data is reported in the provided metadata. The full text focuses on the efficacy of semaglutide in improving symptoms, physical limitations, exercise function, and reducing body weight and inflammation across obesity categories in patients with HFpEF, and the relationship between benefit magnitude and weight loss."
"Effect of Subcutaneous Semaglutide vs Placebo as an Adjunct to Intensive Behavioral Therapy on Body Weight in Adults With Overweight or Obesity: The STEP 3 Randomized Clinical Trial.","https://scispace.com/paper/effect-of-subcutaneous-semaglutide-vs-placebo-as-an-adjunct-4xpus2aoql","2021","Journal Article","JAMA","Thomas A. Wadden
Timothy S. Bailey
Liana K. Billings
Melanie J. Davies
Melanie J. Davies
Juan P. Frias
Anna Koroleva
Ildiko Lingvay
Patrick M. O'Neil
Domenica Rubino
Dorthe Skovgaard
Signe O R Wallenstein
W. Timothy Garvey
Step Investigators","10.1001/JAMA.2021.1831","https://scispace.com/pdf/effect-of-subcutaneous-semaglutide-vs-placebo-as-an-adjunct-4xpus2aoql.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses semaglutide in a 68‑week randomized trial showing ~16% weight loss vs 5.7% placebo, reporting percent body‑weight reduction.","Importance Weight loss improves cardiometabolic risk factors in people with overweight or obesity. Intensive lifestyle intervention and pharmacotherapy are the most effective noninvasive weight loss approaches. Objective To compare the effects of once-weekly subcutaneous semaglutide, 2.4 mg vs placebo for weight management as an adjunct to intensive behavioral therapy with initial low-calorie diet in adults with overweight or obesity. Design, setting, and participants Randomized, double-blind, parallel-group, 68-week, phase 3a study (STEP 3) conducted at 41 sites in the US from August 2018 to April 2020 in adults without diabetes (N = 611) and with either overweight (body mass index ≥27) plus at least 1 comorbidity or obesity (body mass index ≥30). Interventions Participants were randomized (2:1) to semaglutide, 2.4 mg (n = 407) or placebo (n = 204), both combined with a low-calorie diet for the first 8 weeks and intensive behavioral therapy (ie, 30 counseling visits) during 68 weeks. Main outcomes and measures The co-primary end points were percentage change in body weight and the loss of 5% or more of baseline weight by week 68. Confirmatory secondary end points included losses of at least 10% or 15% of baseline weight. Results Of 611 randomized participants (495 women [81.0%], mean age 46 years [SD, 13], body weight 105.8 kg [SD, 22.9], and body mass index 38.0 [SD, 6.7]), 567 (92.8%) completed the trial, and 505 (82.7%) were receiving treatment at trial end. At week 68, the estimated mean body weight change from baseline was -16.0% for semaglutide vs -5.7% for placebo (difference, -10.3 percentage points [95% CI, -12.0 to -8.6]; P Conclusions and relevance Among adults with overweight or obesity, once-weekly subcutaneous semaglutide compared with placebo, used as an adjunct to intensive behavioral therapy and initial low-calorie diet, resulted in significantly greater weight loss during 68 weeks. Further research is needed to assess the durability of these findings. Trial registration ClinicalTrials.gov Identifier: NCT03611582.","In adults with overweight or obesity, once-weekly subcutaneous semaglutide 2.4 mg over 68 weeks resulted in a mean body weight reduction of -16.0% (95% CI, -12.0 to -8.6). The proportion of participants achieving ≥5% weight loss was 86.6%, ≥10% was 75.3%, and ≥15% was 55.8%.","The paper notes cardiovascular disorders were reported in 9.8% (40 participants) of the semaglutide group and 10.8% (22 participants) of the placebo group, with 50 events for semaglutide and 27 for placebo. No deaths were reported in the study. Specific data on MACE, myocardial infarction, stroke, heart failure outcomes, or hazard ratios for cardiovascular events are not detailed.","Gastrointestinal disorders were the most frequent adverse events with semaglutide (82.8%), including nausea (58.2%), constipation (36.9%), and diarrhea (36.1%). Treatment discontinuation due to adverse events occurred in 5.9% of semaglutide participants. Serious adverse events were reported in 9.1% of the semaglutide group, with gallbladder-related disorders (4.9%) being notable."
"Clinical Insight on Semaglutide for Chronic Weight Management in Adults: Patient Selection and Special Considerations","https://scispace.com/paper/clinical-insight-on-semaglutide-for-chronic-weight-11mrlgoi","2022","Journal Article","Drug Design Development and Therapy","","10.2147/dddt.s365416","https://scispace.com/pdf/clinical-insight-on-semaglutide-for-chronic-weight-11mrlgoi.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide for chronic weight management, reporting 9.6‑17.4% body weight loss in clinical trial data (STEP studies).","Losses of 5-10% or more of initial body weight are associated with improvements in obesity-related comorbidities. However, attaining and sustaining this level of weight loss is challenging. The novel anti-obesity medication semaglutide 2.4 mg injected subcutaneously once weekly as an adjunct to a reduced-calorie diet and physical activity helps patients achieve average losses of 9.6-17.4% of initial body weight at week 68, as well as improvements in cardiometabolic and psychosocial indices. Despite these average benefits, prescribers should carefully assess the suitability of patients for this medication. In this paper, we discuss considerations for the selection of individuals who are candidates for semaglutide and special considerations related to the use of this medication. These include its efficacy and safety, as well as its contraindications, potential adverse effects, management of comorbidities and drug interactions, insurance coverage and cost, and patient preferences. ","Semaglutide 2.4 mg led to average losses of 9.6–17.4% of initial body weight at week 68. In STEP 1 (68 weeks, 2.4 mg), participants lost 14.9% of baseline weight; 86.4% achieved ≥5%, 69.1% achieved ≥10%, and 50.5% achieved ≥15% weight loss. In STEP 2 (68 weeks, 2.4 mg), mean loss was 9.6%. STEP 5 (104 weeks, 2.4 mg) showed a 15.2% mean loss.","In the SUSTAIN 6 trial, semaglutide reduced the risk of major adverse cardiovascular outcomes (MACE) by 26% (HR = 0.74; 95% CI = 0.58–0.95), driven by a reduction in nonfatal stroke. Cardiovascular death and nonfatal myocardial infarction were also components of the MACE composite. The SELECT study is ongoing to assess semaglutide's effects on major adverse cardiovascular events in overweight/obese individuals without type 2 diabetes. The STEP-HFpEF trial will assess heart failure outcomes.","Gastrointestinal side effects are common, with nausea (43.9%), diarrhea (29.7%), and vomiting (24.5%) reported more frequently with semaglutide 2.4 mg than placebo. Discontinuation due to GI side effects was 4.3% in pooled STEP trials. Overall discontinuation due to adverse events in STEP 1 was 7.0%. Other concerns include pancreatitis, gallbladder disease, and heart rate increases. Serious hypersensitivities like anaphylaxis have been reported rarely."
"Semaglutide: Systematic Review with ☸️SAIMSARA","https://scispace.com/paper/semaglutide-systematic-review-with-saimsara-7t8d90tdmztl","2026","Journal Article","","","10.62487/saimsara45190890","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports semaglutide achieving a median 15.3% body weight reduction, detailing efficacy from clinical trial data.","The aim of this systematic review is to synthesize the current evidence regarding the efficacy, safety, and broader therapeutic potential of semaglutide across various clinical and preclinical contexts. Source: PubMed. Included original Abstracts/Papers: 1894. Total study participants (naïve ΣN): 6933647. Conclusion: Semaglutide treatment for obesity or overweight without type 2 diabetes is associated with a median body weight reduction of 15.3% (range: 13.4% to 19.5%) over approximately one year. This efficacy extends to significant improvements in glycemic control, cardiovascular, renal, and hepatic health, and shows promising neuroprotective effects across various patient populations. However, the heterogeneity of study designs and variability in follow-up durations remains the most significant limitation affecting the certainty of some conclusions. Clinicians should consider semaglutide as a powerful tool for comprehensive metabolic and cardiovascular risk reduction, while diligently monitoring for known and emerging adverse events.","Semaglutide treatment for obesity or overweight without type 2 diabetes is associated with a median body weight reduction of 15.3% (range: 13.4% to 19.5%) over approximately one year. No specific dose or proportions of patients achieving ≥5%, ≥10%, or ≥15% weight loss are reported in the metadata.","Semaglutide treatment is associated with significant improvements in cardiovascular health. The systematic review finds efficacy extends to comprehensive metabolic and cardiovascular risk reduction. Specific outcomes like MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals are not explicitly detailed in the metadata.","The paper mentions clinicians should diligently monitor for ""known and emerging adverse events."" However, specific data on gastrointestinal adverse events (nausea, vomiting, diarrhea), discontinuation rates due to adverse events, serious adverse events, or their percentages/rates are not detailed in the provided metadata."
"Once-Weekly Semaglutide with Lifestyle Intervention Results in Clinically Significant Weight Loss","https://scispace.com/paper/once-weekly-semaglutide-with-lifestyle-intervention-results-1antr0bj","2022","Journal Article","Journal of General Internal Medicine","Rachel S. Chang
Jiun-Ruey Hu
Hsin Chieh Yeh","10.1007/s11606-021-07215-4","https://scispace.com/pdf/once-weekly-semaglutide-with-lifestyle-intervention-results-1antr0bj.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports 14.9% body‑weight loss with once‑weekly semaglutide in a clinical trial, comparing to placebo and noting secondary outcomes.","","Participants in the semaglutide group lost 14.9% of their body weight from baseline over 68 weeks with 2.4 mg once-weekly semaglutide pen injection. 84.6% of patients achieved ≥5% weight loss. The paper does not report specific proportions for ≥10% or ≥15% weight loss, nor confidence intervals for the mean weight loss.","No cardiovascular outcomes data reported. The paper mentions improvements in blood pressure and references cardiovascular and metabolic heterogeneity of obesity, but does not provide specific data on MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes for semaglutide.","Participants in the semaglutide group experienced more serious adverse events (9.8% vs. 6.4% for placebo), mainly gastrointestinal and hepatobiliary disorders, with a number needed to harm of 29. Nausea and diarrhea were common side effects, usually mild-to-moderate and self-limiting. The paper does not specify discontinuation rates due to adverse events."
"Abstract 9: Once-weekly subcutaneous semaglutide 2.4 mg reduces body weight in adults with overweight or obesity regardless of baseline characteristics (STEP 1)","https://scispace.com/paper/abstract-9-once-weekly-subcutaneous-semaglutide-2-4-mg-1vx4mkq5","2022","","Indian Journal of Endocrinology and Metabolism","Swaroop Hassan Suresh
Robert F. Kushner
W. Timothy Garvey
Dan Hesse
Anna Koroleva
Soo-Youn Lim
Ildiko Lingway
Ofri Mosenzon Signe O R Wallenstein
Thomas A. Wadden
Carel W. le Roux","10.4103/2230-8210.342310","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports that once‑weekly 2.4 mg semaglutide in the STEP 1 trial achieved categorical and mean percent body‑weight loss across diverse baseline subgroups.","Background: Semaglutide is a long-acting, subcutaneous (s.c.), glucagon-like peptide-1 analogue that is currently being investigated for obesity management in adults with overweight or obesity in the phase 3 STEP clinical trial program. Varying degrees of weight loss were observed with once-weekly s.c. semaglutide 2.4 mg in STEP 1, and a post-hoc analysis was conducted to investigate weight loss in subgroups of participants based on their baseline characteristics. Methods: STEP 1 was a randomized, double-blind, placebo-controlled, phase 3 trial (NCT03548935). Adults aged ≥18 years with either body mass index (BMI) ≥27 kg/ m2 with ≥1 weight-related comorbidity or BMI ≥30 kg/m2, without type 2 diabetes, were randomized 2:1 to 68 weeks’ treatment with once-weekly s.c. semaglutide 2.4 mg or placebo, as adjunct to lifestyle intervention. A descriptive evaluation of categorical weight loss with semaglutide from baseline to week 68 (≥20%, 15-<20%, 10-<15%, 5-<10%) by baseline characteristics (age, sex, race [White, Asian, Black or African American, other], body weight, BMI, waist circumference, and glycemic status [normo-glycemia, pre-diabetes]) was conducted. Mean percent weight loss with semaglutide from baseline to week 68 was analyzed separately by sex (male, female) and baseline body weight (≥115 kg, 100-<115 kg, 90-<100 kg, <90 kg) using a mixed model for repeated measurements analysis with treatment, subgroup (of sex or baseline body weight), and the interaction between treatment and subgroup as factors, and baseline body weight as a covariate, all nested within visit (based on the trial product estimand [treatment effect assuming treatment adherence and without use of rescue intervention] for the on-treatment period). Results: STEP 1 included 1,961 randomized participants (mean age 46 years, body weight 105.3 kg, BMI 37.9 kg/ m2; 74.1% female). For categorical weight loss, the observed proportions of participants with ≥20%, 15-<20%, 10-<15%, and 5-<10% weight loss at week 68 were 34.8%, 19.9%, 20.0%, and 17.5% with semaglutide vs 2.0%, 3.0%, 6.8%, and 21.2% with placebo, respectively. The distribution of participants across weight loss groups did not appear to be affected by any baseline characteristics, except sex and baseline body weight. Mean percent weight loss at week 68 with semaglutide was greater among females than males, and in participants with lower vs higher baseline body weight. Sex and baseline body weight were independently associated with weight loss with semaglutide vs placebo at week 68 (p<0.001 for both tests for subgroup interactions). Conclusion: In STEP 1, weight loss with once-weekly s.c. semaglutide 2.4 mg was seen in all subgroups evaluated, and was generally not influenced by baseline characteristics. The exception was sex and baseline body weight; female sex and a low baseline body weight were associated with a greater response to semaglutide.","Once-weekly s.c. semaglutide 2.4 mg for 68 weeks resulted in mean percent weight loss. At week 68, 34.8% achieved ≥20% weight loss, 19.9% achieved 15-<20%, 20.0% achieved 10-<15%, and 17.5% achieved 5-<10% weight loss. Specific mean percent weight loss and confidence intervals are not detailed for the overall group, but it was greater in females and those with lower baseline body weight.","No cardiovascular outcomes data reported. The paper focuses on weight loss in adults with overweight or obesity, not cardiovascular events.","No adverse event data reported. The paper focuses on weight loss outcomes and baseline characteristics, not adverse events."
"GLP-1 Receptor Agonists for Weight Control: Emerging Insights from Clinical Trials and Future Perspectives","https://scispace.com/paper/glp-1-receptor-agonists-for-weight-control-emerging-insights-y8ouv1vyknfj","2026","Journal Article","","Jiayao Lv
Yousen Cao
Jiayi Zhang","10.53941/hm.2026.100005","https://media.sciltp.com/articles/2510001767/2510001767.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide’s weight loss effects, citing clinical trial data (e.g., 6.4% body weight reduction in the SELECT trial).","Background: The rising global prevalence of obesity presents a major public health concern. Glucagon-like peptide-1 receptor agonists (GLP-1RAs) emerge as promising therapeutic agents, showing substantial efficacy in weight reduction in clinical settings. Methods: This review synthesizes data from 1565 clinical trials (Phases I–IV) sourced from the Trialtrove database (November 2024), covering nine GLP-1RAs: mono-agonists (beinaglutide, liraglutide, semaglutide, orforglipron), dual agonists (tirzepatide, mazdutide, survodutide, cagrilintide), and the triple agonist retatrutide. We analyzed trial phase distributions and updated current evidence on safety and efficacy across populations, emphasizing both therapeutic promise and current limitations, particularly the scarcity of long-term and comparative effectiveness data as well as associated adverse effects. Future research must prioritize comparative effectiveness, long-term safety, and personalized strategies for GLP-1RAs, addressing evidence gaps in special populations and treatment individualization. Conclusion: This review synthesizes current evidence on the safety and effectiveness of GLP-1RAs in weight management and potential cardiovascular protection. Further trials are imperative to clarify long-term outcomes, individual variability, and specific adverse effects across diverse populations.","No specific weight loss data, such as mean/median percent weight loss, dose used, duration of treatment, or proportion of patients achieving ≥5%, ≥10%, ≥15% weight loss for semaglutide, is reported in the provided metadata. The paper generally discusses the substantial efficacy of GLP-1RAs in weight reduction and emphasizes the need for long-term and comparative effectiveness data.","No specific cardiovascular outcomes data for semaglutide, including MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals, are reported in the metadata. The review mentions potential cardiovascular protection of GLP-1RAs generally.","The review synthesizes current evidence on safety and effectiveness, noting associated adverse effects and emphasizing the scarcity of long-term safety data. It highlights the need for further trials to clarify specific adverse effects across diverse populations. No specific percentages or rates for gastrointestinal adverse events, discontinuation rates, or serious adverse events for semaglutide are reported in the metadata."
"Semaglutide 2.4 mg for weight loss in overweight adolescents and adults without diabetes: an updated systematic review and meta-analysis of randomizedcontrolled trials","https://scispace.com/paper/semaglutide-2-4-mg-for-weight-loss-in-overweight-adolescents-5wq5bbobd0uq","2026","Journal Article","International Journal of Medicine in Developing Countries","Abdulrahman Azab
Hadeel F. Alazwari
Lama Alqarni
Emtenan Yamani
Ghaythah H Alkhathami
Raghad Alkhalifah
Shaimaa Banaji
Nouf Aldhubabian
Sarah Almehmadi","10.24911/ijmdc.51-1766048131","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports 10.8% body weight reduction with semaglutide 2.4 mg in adolescents and adults, based on systematic review of RCTs.","Background: Obesity, a metabolic disorder, is a major contributor to morbidity and mortality worldwide [15]. Behavioral interventions alone often fail to achieve sustained weight loss [17, 18]. Thus, this systematic review and meta-analysis aims to determine the effect of semaglutide 2.4 mg for weight loss in overweight adolescents and adults without diabetes. Methodology: A comprehensive search was conducted across PubMed, Scopus, Web of Science, and randomized controlled trial (RCT) registries, with no time-frame limitation. A total of 593 research papers were retrieved; 12 met the inclusion criteria for systematic review, and 9 were included in the meta-analysis. RevMan version 5.3. was used, with statistical significance set at P &amp;lt; 0.05. Results: Once-weekly subcutaneous semaglutide 2.4 mg resulted in significant 10.8% reduction in body weight (95% CI −13.03 to −8.57), a 6.95 cm decrease in waist circumference (95% CI -7.18, -6.72), 3.61 mmHg reduction in systolic blood pressure (95% CI -4.00, -3.21), a 0.29% decrease in HbA1c (95% CI -0.31, -0.22) and a 36.21% reduction in CRP levels (95% CI -36.35, -36.06), compared to placebo. Gastrointestinal adverse events and treatment discontinuation were more frequent with semaglutide, while hypoglycemia or fatal events showed no significant differences. Conclusion: Semaglutide 2.4 mg is an effective pharmacologic option for weight reduction in adolescents and adults without diabetes, with significant metabolic benefits. Careful monitoring of gastrointestinal adverse effects remains essential. ","Once-weekly subcutaneous semaglutide 2.4 mg resulted in a significant 10.8% reduction in body weight (95% CI −13.03 to −8.57) compared to placebo. The metadata does not report the duration of treatment or the proportion of patients achieving specific weight loss thresholds (≥5%, ≥10%, ≥15%).","The paper reports a 3.61 mmHg reduction in systolic blood pressure (95% CI -4.00, -3.21) with semaglutide 2.4 mg. No specific data on MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios are reported in the metadata.","Gastrointestinal adverse events and treatment discontinuation were more frequent with semaglutide. Hypoglycemia or fatal events showed no significant differences compared to placebo. Careful monitoring of gastrointestinal adverse effects remains essential. The metadata does not provide specific percentages or rates for these events."
