"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Once-Weekly Semaglutide in Adults with Overweight or Obesity.","https://scispace.com/paper/33567185","2021","Journal Article","The New England journal of medicine","Wilding
Batterham
Calanna
Davies
Van Gaal
Lingvay
McGowan
Rosenstock
Tran
Wadden
Wharton
Yokote
Zeuthen
Kushner","10.1056/NEJMoa2032183","","Obesity is a global health challenge with few pharmacologic options. Whether adults with obesity can achieve weight loss with once-weekly semaglutide at a dose of 2.4 mg as an adjunct to lifestyle intervention has not been confirmed."
"Tirzepatide as Compared with Semaglutide for the Treatment of Obesity.","https://scispace.com/paper/40353578","2025","Journal Article","The New England journal of medicine","Aronne
Horn
le Roux
Ho
Falcon
Gomez Valderas
Das
Lee
Glass
Senyucel
Dunn","10.1056/NEJMoa2416394","","Tirzepatide and semaglutide are highly effective medications for obesity management. The efficacy and safety of tirzepatide as compared with semaglutide in adults with obesity but without type 2 diabetes is unknown."
"Weight regain and cardiometabolic effects after withdrawal of semaglutide: The STEP 1 trial extension.","https://scispace.com/paper/35441470","2022","Journal Article","Diabetes, obesity & metabolism","Wilding
Batterham
Davies
Van Gaal
Kandler
Konakli
Lingvay
McGowan
Oral
Rosenstock
Wadden
Wharton
Yokote
Kushner","10.1111/dom.14725","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9542252/pdf","To explore changes in body weight and cardiometabolic risk factors after treatment withdrawal in the STEP 1 trial extension."
"Effect of Continued Weekly Subcutaneous Semaglutide vs Placebo on Weight Loss Maintenance in Adults With Overweight or Obesity: The STEP 4 Randomized Clinical Trial.","https://scispace.com/paper/33755728","2021","Journal Article","JAMA","Rubino
Abrahamsson
Davies
Hesse
Greenway
Jensen
Lingvay
Mosenzon
Rosenstock
Rubio
Rudofsky
Tadayon
Wadden
Dicker","10.1001/jama.2021.3224","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7988425/pdf","The effect of continuing vs withdrawing treatment with semaglutide, a glucagon-like peptide 1 receptor agonist, on weight loss maintenance in people with overweight or obesity is unknown."
"Tirzepatide, a dual GIP/GLP-1 receptor co-agonist for the treatment of type 2 diabetes with unmatched effectiveness regrading glycaemic control and body weight reduction.","https://scispace.com/paper/36050763","2022","Journal Article","Cardiovascular diabetology","Nauck
D'Alessio","10.1186/s12933-022-01604-7","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9438179/pdf","Tirzepatide is the first dual GIP/GLP-1 receptor co-agonist approved for the treatment of type 2 diabetes in the USA, Europe, and the UAE. Tirzepatide is an acylated peptide engineered to activate the GIP and GLP-1 receptors, key mediators of insulin secretion that are also expressed in regions of the brain that regulate food intake. Five clinical trials in type 2-diabetic subjects (SURPASS 1-5) have shown that tirzepatide at 5-15 mg per week reduces both HbA"
"Tirzepatide versus Semaglutide Once Weekly in Patients with Type 2 Diabetes.","https://scispace.com/paper/34170647","2021","Journal Article","The New England journal of medicine","Frías
Davies
Rosenstock
Pérez Manghi
Fernández Landó
Bergman
Liu
Cui
Brown","10.1056/NEJMoa2107519","","Tirzepatide is a dual glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 (GLP-1) receptor agonist that is under development for the treatment of type 2 diabetes. The efficacy and safety of once-weekly tirzepatide as compared with semaglutide, a selective GLP-1 receptor agonist, are unknown."
"Semaglutide 2·4 mg once a week in adults with overweight or obesity, and type 2 diabetes (STEP 2): a randomised, double-blind, double-dummy, placebo-controlled, phase 3 trial.","https://scispace.com/paper/33667417","2021","Journal Article","Lancet (London, England)","Davies
Færch
Jeppesen
Pakseresht
Pedersen
Perreault
Rosenstock
Shimomura
Viljoen
Wadden
Lingvay","10.1016/S0140-6736(21)00213-0","","This trial assessed the efficacy and safety of the GLP-1 analogue once a week subcutaneous semaglutide 2·4 mg versus semaglutide 1·0 mg (the dose approved for diabetes treatment) and placebo for weight management in adults with overweight or obesity, and type 2 diabetes."
"Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.","https://scispace.com/paper/40960239","2025","Journal Article","The New England journal of medicine","Wharton
Aronne
Stefanski
Alfaris
Ciudin
Yokote
Halpern
Shukla
Zhou
Macpherson
Allen
Ahmad
Klise","10.1056/NEJMoa2511774","","Orforglipron, a small-molecule, nonpeptide oral glucagon-like peptide-1 (GLP-1) receptor agonist, is being investigated as a treatment for obesity."
"Two-year effects of semaglutide in adults with overweight or obesity: the STEP 5 trial.","https://scispace.com/paper/36216945","2022","Journal Article","Nature medicine","Garvey
Batterham
Bhatta
Buscemi
Christensen
Frias
Jódar
Kandler
Rigas
Wadden
Wharton","10.1038/s41591-022-02026-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9556320/pdf","The STEP 5 trial assessed the efficacy and safety of once-weekly subcutaneous semaglutide 2.4 mg versus placebo (both plus behavioral intervention) for long-term treatment of adults with obesity, or overweight with at least one weight-related comorbidity, without diabetes. The co-primary endpoints were the percentage change in body weight and achievement of weight loss of ≥5% at week 104. Efficacy was assessed among all randomized participants regardless of treatment discontinuation or rescue intervention. From 5 October 2018 to 1 February 2019, 304 participants were randomly assigned to semaglutide 2.4 mg (n = 152) or placebo (n = 152), 92.8% of whom completed the trial (attended the end-of-trial safety visit). Most participants were female (236 (77.6%)) and white (283 (93.1%)), with a mean (s.d.) age of 47.3 (11.0) years, body mass index of 38.5 (6.9) kg m"
"Once-Weekly Semaglutide in Persons with Obesity and Knee Osteoarthritis.","https://scispace.com/paper/39476339","2024","Journal Article","The New England journal of medicine","Bliddal
Bays
Czernichow
Uddén Hemmingsson
Hjelmesæth
Hoffmann Morville
Koroleva
Skov Neergaard
Vélez Sánchez
Wharton
Wizert
Kristensen","10.1056/NEJMoa2403664","","Weight reduction has been shown to alleviate symptoms of osteoarthritis of the knee, including pain. The effect of glucagon-like peptide-1 receptor agonists on outcomes in knee osteoarthritis among persons with obesity has not been well studied."
