"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Weight loss and body composition after compounded semaglutide treatment in a real world setting","https://scispace.com/paper/weight-loss-and-body-composition-after-compounded-3a5oeqb0kau1","2025","Journal Article","Diabetes, Obesity and Metabolism","Elizabeth Chun
Alexandra Siojo
David Rincón
Kirsten Reyna
Henry Legere
Richard I. Joseph
Rachele Pojednic","10.1111/dom.16162","","Abstract Introduction Clinical trials have shown efficacy of semaglutide for weight loss, but further study is needed in less controlled environments including impacts on body composition. Materials and Methods This retrospective study included individuals who participated in a weight management programme at a commercial wellness studio receiving once‐weekly compounded semaglutide/cyanocobalamin injections from June 2023 to January 2024. Once‐weekly semaglutide/cyanocobalamin injected subcutaneously starting at 0.25 mg/0.125 mg and titrated to a maximum dose of 2.4 mg/0.24 mg. The primary endpoint was weight loss at 3 months, with secondary analyses including weight loss percentage, weight loss by body mass index (BMI) class and body composition changes including changes in total fat mass, lean body mass, skeletal muscle mass and trunk adiposity. Results A total of 94 individuals were analysed (81F/13M), age in years mean (SD) = 46.57 (10.60). After 3 months, average weight loss was 4.11 (2.77) kg or 4.57% (2.96%). Individuals lost fat mass (2.67 (2.37) kg) and trunk fat mass (1.10 (1.36) kg), while also losing small amounts of lean mass (1.43 (1.41) kg) and skeletal muscle mass (0.88 (0.81) kg). As a proportion of total weight, fat mass decreased while lean muscle mass and skeletal muscle mass increased. Discussion This study demonstrates that meaningful weight loss is achievable on semaglutide/cyanocobalamin outside of a closely controlled environment. In addition, body composition improved with losses in fat mass and gains in overall proportion of lean muscle and skeletal muscle. ","This retrospective study of 94 individuals found that semaglutide treatment resulted in significant weight loss (4.11 kg or 4.57%) and improvements in body composition, including fat mass reduction and lean muscle mass increase, over 3 months in a real-world setting."
"Semaglutide 2.4 mg clinical outcomes in patients with obesity or overweight in a real‐world setting: A 6‐month retrospective study in the United States (SCOPE)","https://scispace.com/paper/semaglutide-2-4-mg-clinical-outcomes-in-patients-with-ooc76asxdy","2024","Journal Article","Obesity science & practice","Aleksandrina Ruseva
Wojciech Michalak
Zhenxiang Zhao
Anthony Fabricatore
Bríain ó Hartaigh
Devika Umashanker","10.1002/osp4.737","","Abstract Background Management guidelines for obesity suggest maintaining a minimum of 5% body weight reduction to help prevent or lower the risk of developing conditions such as hypertension and type 2 diabetes. However, achieving long‐term weight control is difficult with lifestyle modification alone, making it essential to combine pharmacotherapy with diet and exercise in individual cases. Semaglutide 2.4 mg has demonstrated significant reductions in body weight and cardiometabolic risk factors in clinical trials, but information on outcomes in a real‐world setting is limited. Objective To assess changes in body weight and other clinical outcomes at 6‐month follow‐up among adults on semaglutide 2.4 mg in a real‐world setting in the United States (US). Methods Observational and retrospective cohort study of patients initiating treatment between 15 June 2021, and 31 March 2022, using a large US claims‐linked electronic health record database. Results Mean (±SD) body mass index (BMI) of the 343 patients included in the analysis was 37.9 ± 5.5 kg/m2. After 6 months, mean body weight change was −10.5 ± 6.8 kg (95% CI: −11.2; −9.8, p < 0.001) and mean percentage body weight change was −10.0% ± 6.6% (95% CI: −10.7; −9.3, p < 0.001). Most (79.0%) patients had ≥5% body weight reduction, 48.1% had ≥10% body weight reduction, and 19.0% had ≥15% body weight reduction. Among patients with available data, the mean change in HbA1c (n = 30) was −0.6% ± 1.2% (95% CI: −1.0; −0.1, p = 0.016) and nearly two‐thirds of patients with prediabetes or diabetes at baseline reverted to normoglycemia. Mean reductions of −4.4 ± 12.3 mmHg (95% CI: −5.7; −3.0, p < 0.001) and −1.7 ± 8.4 mmHg (95% CI: −2.6; −0.7, p < 0.001) were observed in systolic and diastolic blood pressure, respectively (n = 307). Statistically significant reductions in mean total cholesterol (−12.2 ± 38.8 mg/dl [95% CI: −24.3 to −0.06, p < 0.049]) and triglycerides (−18.3 ± 43.6 mg/dl [95% CI: −4.7; −31.9, p < 0.009]) were also observed (n = 42). Conclusions This study demonstrated the effectiveness of semaglutide 2.4 mg in reducing body weight and improving cardiometabolic parameters in adults with overweight or obesity in a real‐world clinical practice setting, showing a significant mean body weight reduction and improvements in biomarkers like blood pressure and HbA1c over a 6‐month period. These findings, aligning with previous clinical trials at comparable time points, highlight the clinical relevance of semaglutide as an effective therapeutic option for obesity.","This study demonstrated the effectiveness of semaglutide 2.4 mg in reducing body weight and improving cardiometabolic parameters in adults with overweight or obesity in a real‐world clinical practice setting, showing a significant mean body weight reduction and improvements in biomarkers like blood pressure and HbA1c over a 6‐month period."
"Semaglutide for Weight Loss in Diabetic and Non-Diabetic Patients: A Comprehensive Systematic Review of Efficacy and Safety","https://scispace.com/paper/semaglutide-for-weight-loss-in-diabetic-and-non-diabetic-v8g5w072h6y0","2025","Journal Article","Scientia. Technology, science and society.","Reema Salman Alfadliah
Sara Alasgah
Mostafa Kofi","10.59324/stss.2025.2(4).06","","Background: Obesity is a major public health concern, associated with increased morbidity and mortality in both diabetic and non-diabetic populations. Semaglutide, a glucagon-like peptide-1 (GLP-1) receptor agonist, has demonstrated promising results in weight management. This systematic review evaluates the efficacy and safety of semaglutide for weight loss among diabetic and non-diabetic patients. The study aims to determine the percentage of weight reduction from baseline following treatment with semaglutide; assess the risk of gastrointestinal adverse events, discontinuation, and serious adverse events; and compare the safety and efficacy of semaglutide in diabetic and non-diabetic obese patients. Methods: A comprehensive search was conducted using PubMed, WOS, Scopus, and the Cochrane Library to identify randomised controlled trials (RCTs) and meta-analyses published up to 2024. Studies were included if they assessed the impact of semaglutide on weight loss in diabetic or non-diabetic adults, reported relevant safety outcomes, and met predefined inclusion criteria. Data were extracted and synthesised both qualitatively and quantitatively. Results: Semaglutide demonstrated significant weight loss benefits in both diabetic and non-diabetic populations, with higher doses yielding greater efficacy. Non-diabetic patients experienced mean weight reductions of up to 15% of baseline body weight, whereas diabetic patients achieved reductions of 6–10%, alongside improved glycaemic control. Adverse events, primarily gastrointestinal (e.g., nausea, vomiting, diarrhoea), were generally mild to moderate in severity and resolved over time. Serious adverse events were rare but included pancreatitis and gallbladder-related complications. Conclusion: Semaglutide is an effective and generally safe treatment for weight loss in both diabetic and non-diabetic populations, with slightly greater efficacy observed in non-diabetic individuals. Future research should focus on long-term safety and head-to-head comparisons with other weight-loss interventions to optimise clinical decision-making. ","Semaglutide, a GLP-1 receptor agonist, significantly reduces weight in diabetic and non-diabetic patients, with higher doses yielding greater efficacy, and is generally safe, with mild gastrointestinal adverse events and rare serious events."
"Efficacy and safety of semaglutide for obesity: A systematic review of phase 3 clinical trials","https://scispace.com/paper/efficacy-and-safety-of-semaglutide-for-obesity-a-systematic-rs5nqq7q9qjc","2025","Journal Article","Science letters","Carvalho Marcia
Matos Carla","10.48797/sl.2025.374","","Background: Obesity is a chronic disease with significant metabolic and cardiovascular complications, yet effective long-term pharmacological treatments remain limited. Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) have emerged as a promising therapeutic class for weight management due to their effects on appetite regulation and energy balance. Semaglutide (SMG), a potent GLP-1 RA originally developed for type 2 diabetes, has demonstrated substantial weight-loss benefits, leading to its investigation as an obesity treatment. Objective: This review evaluates phase 3 clinical trials assessing the efficacy and safety of both subcutaneous and oral SMG in individuals with obesity or overweight, with and without type 2 diabetes. Methods: A search was conducted using PubMed, Web of Science, and ClinicalTrials.gov databases from inception through to December 31, 2024. Inclusion and exclusion criteria were designed to identify clinical trials evaluating the efficacy and safety of SMG for weight management. Results: The STEP (Semaglutide Treatment Effect in People with Obesity) program, targeting individuals with obesity or overweight with comorbidities, evaluated subcutaneous SMG 2.4 mg, demonstrating superior weight loss compared to placebo and liraglutide. Key strengths include well-designed randomized controlled trials demonstrating significant weight loss and metabolic benefits. The OASIS (Oral Semaglutide Treatment Effect in People with Obesity) studies explored higher-dose oral SMG (up to 50 mg) in obesity, achieving weight loss comparable to subcutaneous SMG 2.4 mg. Results showed that SMG achieved a significantly higher reduction in mean body weight (–15.5 kg and –15.1%) compared with placebo (−2.5 kg and –2.4%). Gastrointestinal adverse events, primarily nausea and vomiting, were common but typically mild to moderate and transient. Conclusions: SMG, in subcutaneous and oral formulations, has proven to be highly effective in significantly reducing body weight. Clinical studies confirm the superiority of SMG over most GLP-1 RAs, promoting safe and effective weight loss. Collectively, these studies underscore SMG’s efficacy and acceptable safety profile, positioning it as a transformative option in obesity pharmacotherapy. ","This systematic review of phase 3 clinical trials evaluates the efficacy and safety of semaglutide for obesity, demonstrating significant weight loss and metabolic benefits, with a favorable safety profile, positioning it as a transformative option in obesity pharmacotherapy."
"Coadministered Cagrilintide and Semaglutide in Adults with Overweight or Obesity","https://scispace.com/paper/coadministered-cagrilintide-and-semaglutide-in-adults-with-cggir5udwewq","2025","Journal Article","The New England Journal of Medicine","W. Timothy Garvey
Matthias Blüher
Cristina Contreras
Melanie J. Davies
Eva Winning Lehmann
Kirsi H. Pietiläinen
Domenica Rubino
Paolo Sbraccia
Thomas A. Wadden
Niels Zeuthen
John Wilding","10.1056/nejmoa2502081","","Semaglutide at a dose of 2.4 mg has established weight-loss and cardiovascular benefits, and cagrilintide at a dose of 2.4 mg has shown promising results in early-phase trials; the efficacy of the combination (known as CagriSema) on weight loss in persons with either overweight and coexisting conditions or obesity is unknown. In a phase 3a, 68-week, multicenter, double-blind, placebo-controlled and active-controlled trial, we enrolled adults without diabetes who had a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or higher or a BMI of 27 or higher with at least one obesity-related complication. Participants were randomly assigned in a ratio of 21:3:3:7 to receive the combination of semaglutide at a dose of 2.4 mg and cagrilintide at a dose of 2.4 mg, semaglutide alone at a dose of 2.4 mg, cagrilintide alone at a dose of 2.4 mg, or placebo, plus lifestyle interventions for all groups. The coprimary end points were the relative change in body weight and a reduction of 5% or more in body weight from baseline to week 68 with cagrilintide-semaglutide as compared with placebo. Body-weight reductions of 20% or more, 25% or more, and 30% or more were assessed as confirmatory secondary end points. Effect estimates were assessed with the treatment-policy estimand (consistent with the intention-to-treat principle). Safety was assessed. A total of 3417 participants underwent randomization, with 2108 assigned to receive cagrilintide-semaglutide, 302 to receive semaglutide, 302 to receive cagrilintide, and 705 to receive placebo. The estimated mean percent change in body weight from baseline to week 68 was -20.4% with cagrilintide-semaglutide as compared with -3.0% with placebo (estimated difference, -17.3 percentage points; 95% confidence interval, -18.1 to -16.6; P<0.001). Participants receiving cagrilintide-semaglutide were more likely than those receiving placebo to reach weight-loss targets of 5% or more, 20% or more, 25% or more, and 30% or more (P<0.001 for all comparisons). Gastrointestinal adverse events (affecting 79.6% in the cagrilintide-semaglutide group and 39.9% in the placebo group), including nausea, vomiting, diarrhea, constipation, or abdominal pain, were mainly transient and mild-to-moderate in severity. Cagrilintide-semaglutide provided significant and clinically relevant body-weight reductions in adults with overweight or obesity, as compared with placebo. (Funded by Novo Nordisk; REDEFINE 1 ClinicalTrials.gov number, NCT05567796.). ","Cagrilintide-semaglutide combination therapy significantly reduced body weight by 20.4% in adults with overweight or obesity, outperforming placebo and achieving clinically relevant weight-loss targets, with gastrointestinal adverse events being the most common side effect."
"Semaglutide: Systematic Review with ☸️SAIMSARA","https://scispace.com/paper/semaglutide-systematic-review-with-saimsara-7t8d90tdmztl","2026","Journal Article","","","10.62487/saimsara45190890","","The aim of this systematic review is to synthesize the current evidence regarding the efficacy, safety, and broader therapeutic potential of semaglutide across various clinical and preclinical contexts. Source: PubMed. Included original Abstracts/Papers: 1894. Total study participants (naïve ΣN): 6933647. Conclusion: Semaglutide treatment for obesity or overweight without type 2 diabetes is associated with a median body weight reduction of 15.3% (range: 13.4% to 19.5%) over approximately one year. This efficacy extends to significant improvements in glycemic control, cardiovascular, renal, and hepatic health, and shows promising neuroprotective effects across various patient populations. However, the heterogeneity of study designs and variability in follow-up durations remains the most significant limitation affecting the certainty of some conclusions. Clinicians should consider semaglutide as a powerful tool for comprehensive metabolic and cardiovascular risk reduction, while diligently monitoring for known and emerging adverse events.","This systematic review of 1894 studies (6933647 participants) finds semaglutide treatment for obesity or overweight without type 2 diabetes reduces body weight by 15.3% over one year, improving glycemic control, cardiovascular, renal, and hepatic health, with potential neuroprotective effects."
"Cagrilintide–Semaglutide in Adults with Overweight or Obesity and Type 2 Diabetes","https://scispace.com/paper/cagrilintide-semaglutide-in-adults-with-overweight-or-9q1tukcc0ske","2025","Journal Article","The New England Journal of Medicine","Melanie J. Davies
Harpreet S. Bajaj
Christa Broholm
Astrid Eliasen
W. Timothy Garvey
Carel W. le Roux
Ildiko Lingvay
Christian Bøge Lyndgaard
Julio Rosenstock
Sue D. Pedersen","10.1056/nejmoa2502082","","Cagrilintide and semaglutide have each been shown to induce weight loss as monotherapies. Data are needed on the coadministration of cagrilintide and semaglutide (called CagriSema) for weight management in adults with type 2 diabetes, including those in a subgroup who are undergoing continuous glucose monitoring. In this phase 3a, double-blind, randomized, placebo-controlled trial conducted in 12 countries, we assigned adults with a body-mass index of 27 or more, a glycated hemoglobin level of 7 to 10%, and type 2 diabetes in a 3:1 ratio to receive once-weekly cagrilintide-semaglutide (2.4 mg each) or placebo, along with lifestyle intervention, for 68 weeks. The two primary end points were the percent change in body weight and the percentage of patients with a weight reduction of at least 5%. Additional end points were changes in glycemic measures and safety assessments. Effect estimates were calculated with the use of the treatment-policy estimand (consistent with the intention-to-treat principle). A total of 1206 patients underwent randomization to either the cagrilintide-semaglutide group (904 patients) or the placebo group (302 patients). The estimated mean change in body weight from baseline to week 68 was -13.7% in the cagrilintide-semaglutide group and -3.4% in the placebo group (estimated difference, -10.4 percentage points; 95% confidence interval, -11.2 to -9.5; P<0.001). More patients in the cagrilintide-semaglutide group than in the placebo group had a weight reduction of 5% or more (P<0.001); the same was true of reductions of at least 10%, 15%, and 20% (P<0.001 for the last comparison). The percentage of patients who had a glycated hemoglobin level of 6.5% or less was 73.5% in the cagrilintide-semaglutide group and 15.9% in the placebo group. Gastrointestinal adverse events were reported by 72.5% of the patients in the cagrilintide-semaglutide group and 34.4% in the placebo group, most of which were transient and mild or moderate in severity. Once-weekly cagrilintide-semaglutide (at a dose of 2.4 mg each) resulted in a significantly lower body weight than placebo in adults with obesity and type 2 diabetes. (Funded by Novo Nordisk; REDEFINE 2 ClinicalTrials.gov number, NCT05394519.). ","This phase 3a trial found that once-weekly cagrilintide-semaglutide significantly reduced body weight (-13.7%) and improved glycemic control in adults with obesity and type 2 diabetes, with a higher incidence of gastrointestinal adverse events compared to placebo."
"A Real-World Study of the Effectiveness and Safety of Semaglutide for Weight Loss","https://scispace.com/paper/a-real-world-study-of-the-effectiveness-and-safety-of-1iqzwx4r38","2024","Journal Article","Cureus","Ploutarchos Tzoulis
Michael Batavanis
Stephanie Baldeweg","10.7759/cureus.59558","","IntroductionRecent randomized controlled trials (RCTs) have shown the great efficacy of semaglutide in achieving significant weight loss in overweight and obese adults.However, real-world data about its effectiveness are still limited.This study evaluated the effectiveness and adverse events of semaglutide for weight management in a real-life setting, excluding patients with diabetes mellitus (DM). MethodsThis is a retrospective chart review of 40 overweight or obese individuals with a median age of 47 years, weight of 111.7 kg, and body mass index (BMI) of 39.7 kg/m 2 who were prescribed semaglutide for weight management. ResultsAfter three months of semaglutide administration, the median weight reduction was 7.4 kg (6.6% of the baseline weight), with 28 (70%) and eight patients (20%) achieving greater than 5% (5.6 kg) and 10% (11.2 kg) weight loss, respectively.Among 25 patients with six-month data, 22 (88%), 17 (68%), and eight (32%) patients exceeded 5% (5.6 kg), 10% (11.2 kg), and 15% (16.8 kg) weight loss, respectively.The maintenance semaglutide dose was 1 mg in 16 cases and 2 mg in nine cases, leading to a similar weight loss of 13.6% (14.9 kg) and 12.8% (14 kg), respectively.Relatively low response rates were observed in males, with seven responders out of 12 (58.4%)compared to 24 out of 28 (85.8%) in females (P value = 0.057), and in five out of nine (55.6%) among those with a history of psychiatric disease.The rate of adverse events was 26 out of 40 patients (65%), mostly mild to moderate and of short duration, leading to discontinuation in only a single case (2.5%). ConclusionThis retrospective study demonstrated the significant effectiveness of semaglutide for weight loss, even at lower than approved maintenance doses, combined with a good safety profile.Therefore, semaglutide may dramatically change the landscape of obesity treatment. ","Semaglutide is effective and safe for weight loss in overweight and obese adults, achieving significant weight loss and maintaining it over six months."
"Semaglutide - for the treatment of obesity","https://scispace.com/paper/semaglutide-for-the-treatment-of-obesity-abmx1sh1vjua","2025","Repository","","S. D. Aminov","10.5281/zenodo.14993617","","Obesity is a growing global health issue that significantly increases the risk of metabolic disorders, cardiovascular diseases, and mortality. Traditional weight management strategies, including lifestyle modifications and pharmacotherapy, often yield limited long-term success. Recent advancements have highlighted the effectiveness of Semaglutide, a glucagon-like peptide-1 (GLP-1) receptor agonist, in promoting weight loss. This review explores the mechanisms, clinical efficacy, and safety profile of Semaglutide in obesity treatment. In the STEP 5 trial, Semaglutide 2.4 mg administered subcutaneously once weekly resulted in a significant reduction in body weight, maintained over 104 weeks compared to placebo (n=152). Additionally, Semaglutide improved cardiometabolic risk factors, demonstrating a favorable benefit-risk ratio for long-term weight control. With an approximate 15% reduction in body weight by week 68, Semaglutide has shown the most effective weight loss outcomes among current anti-obesity medications, accompanied by improvements in cardiovascular risk factors and overall physical health. ",""
"Oral Semaglutide at a Dose of 25 mg in Adults with Overweight or Obesity","https://scispace.com/paper/oral-semaglutide-at-a-dose-of-25-mg-in-adults-with-wjysojfpmg6g","2025","Journal Article","The New England Journal of Medicine","Sean Wharton
Ildiko Lingvay
Paweł Bogdański
Ruben Vale
Stephan Jacob
Therese Karlsson
Chaithra Shaji
Domenica Rubino
W. Timothy Garvey","10.1056/nejmoa2500969","","Oral semaglutide at a dose of 25 mg may provide an alternative treatment option to injectable semaglutide (2.4 mg) and higher-dose oral semaglutide (50 mg) for persons with overweight or obesity. In a 71-week, double-blind, randomized, placebo-controlled trial conducted at 22 sites in four countries, we enrolled persons without diabetes who had a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or higher or a BMI of 27 or higher with at least one obesity-related complication. The participants were randomly assigned in a 2:1 ratio to receive oral semaglutide (25 mg) or placebo once daily, plus lifestyle interventions. The coprimary end points at week 64 were the percent change in body weight and a reduction of 5% or more in body weight; confirmatory secondary end points included reductions in body weight of 10% or more, 15% or more, and 20% or more and the change in the Impact of Weight on Quality of Life-Lite Clinical Trials Version (IWQOL-Lite-CT) Physical Function score. A total of 205 participants were randomly assigned to receive oral semaglutide, and 102 to receive placebo. The estimated mean change in body weight from baseline to week 64 was -13.6% in the oral semaglutide group and -2.2% in the placebo group (estimated difference, -11.4 percentage points; 95% confidence interval, -13.9 to -9.0; P<0.001). Participants in the oral semaglutide group were significantly more likely than those in the placebo group to have body-weight reductions of 5% or more, 10% or more, 15% or more, and 20% or more (P<0.001 for all comparisons) and to have an improved IWQOL-Lite-CT Physical Function score (P<0.001). Gastrointestinal adverse events were more common with oral semaglutide than with placebo (74.0% vs. 42.2%). Oral semaglutide at a dose of 25 mg once daily resulted in a greater mean reduction in body weight than placebo in participants with overweight or obesity. (Funded by Novo Nordisk; OASIS 4 ClinicalTrials.gov number, NCT05564117.). ","Oral semaglutide at 25 mg daily significantly reduced body weight by 13.6% in adults with overweight or obesity, outperforming placebo, but was associated with more gastrointestinal adverse events in a 71-week, double-blind, randomized trial."
