"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Crescimento normal e investigação de baixa estatura","https://scispace.com/paper/crescimento-normal-e-investigacao-de-baixa-estatura-i7kbmdj6","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-18","https://scispace.com/pdf/crescimento-normal-e-investigacao-de-baixa-estatura-i7kbmdj6.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s weight loss, cardiovascular benefits, and side effects, citing SCALE and LEADER trial results.","","Liraglutide (3 mg/day) resulted in a mean weight loss of 8.4 ± 7.3 kg compared to 2.8 ± 6.5 kg with placebo after 56 weeks. The study, SCALE, reported 63.2% of individuals on liraglutide achieved ≥5% weight loss, versus 27.1% on placebo. No data on ≥10% or ≥15% weight loss was explicitly provided.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed that liraglutide reduced cardiovascular mortality (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) over 3.8 years in DM2 patients with high cardiovascular risk. Hazard ratios and confidence intervals for these specific outcomes are not reported. Other cardiovascular outcomes like MACE, myocardial infarction, stroke, or heart failure outcomes are not detailed for liraglutide in this paper.","Liraglutide's main side effects include nausea, vomiting, and diarrhea. The SCALE study showed a 5% discontinuation rate due to adverse events for liraglutide (vs. 2.7% for placebo). The LEADER study observed a reduction in cardiovascular mortality (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%). Other noted side effects are gastroesophageal reflux and dyspepsia. It is contraindicated in pregnant patients and those with a history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2."
"Incretin-based Drugs and the Incidence of Colorectal Cancer in Patients with Type 2 Diabetes.","https://scispace.com/paper/incretin-based-drugs-and-the-incidence-of-colorectal-cancer-1d71vtj26a","2017","Journal Article","Epidemiology","Devin Abrahami
Hui Yin
Oriana Hoi Yun Yu
Michael Pollak
Laurent Azoulay","10.1097/EDE.0000000000000793","https://scispace.com/pdf/incretin-based-drugs-and-the-incidence-of-colorectal-cancer-1d71vtj26a.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide in LEADER cardiovascular trial and SCALE weight‑loss trial, reporting outcomes and adverse events.","Background Evidence on the safety of the incretin-based drugs (glucagon-like peptide-1 [GLP-1] analogues and dipeptidyl peptidase-4 [DPP-4] inhibitors) with respect to colorectal cancer is contradictory. The objective of this study was to determine whether use of incretin-based drugs is associated with risk of incident colorectal cancer in patients with type 2 diabetes. Methods Using data from the UK Clinical Practice Research Datalink, we identified a cohort of 112,040 patients newly treated with antidiabetic drugs between 1 January 2007 and 31 March 2015. We modeled use of GLP-1 analogues and DPP-4 inhibitors as time-varying variables and compared them with use of sulfonylureas. We lagged exposures by 1 year for latency and to reduce reverse causality and detection bias. We used time-dependent Cox proportional hazards models to estimate hazard ratios with 95% confidence intervals of incident colorectal cancer associated with the use of GLP-1 analogues and DPP-4 inhibitors overall, by cumulative duration of use and by time since initiation. Results During 388,619 person-years of follow-up, there were 733 incident colorectal cancer events (incidence rate: 1.9 per 1,000 person-years). Use of GLP-1 analogues was not associated with colorectal cancer incidence (hazard ratio: 1.0; 95% confidence interval = 0.7, 1.6), nor was use of DPP-4 inhibitors (hazard ratio: 1.2; 95% confidence interval = 1.0, 1.5). There was no evidence of a duration-response relation for either drug. Conclusions The results of this large population-based study indicate that use of incretin-based drugs is not associated with colorectal cancer incidence among patients with type 2 diabetes.","For liraglutide 3 mg used in weight management, patients treated with liraglutide achieved a mean (± standard deviation) body weight loss of 8.0±6.7% over 56 weeks, compared to 2.6±5.7% for placebo. The paper does not report the proportion of patients achieving specific weight loss percentages (≥5%, ≥10%, ≥15%).","For liraglutide 1.8 mg (LEADER trial), the primary outcome (cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke) occurred at a significantly lower rate (HR: 0.87, 95% CI: 0.78 to 0.97) among the treatment group. No specific colorectal events were reported. For liraglutide 3 mg, more patients had colorectal cancer (2 events [0.06%]; 0.4 events per 1000 person-years) compared to placebo (no events reported).","Liraglutide (1.8 mg) showed more subjects with malignant rectal cancer (2 events [0.05%]; 0.6 events per 1000 person-years) than control (0 events). Liraglutide (3 mg) had more colorectal cancer (2 events [0.06%]; 0.4 events per 1000 person-years) and benign colorectal neoplasms (17 events [0.52%]; 3.8 events per 1000 person-years) than placebo. No other specific adverse event data like nausea, vomiting, diarrhea, or discontinuation rates were detailed."
"Hipotireoidismo","https://scispace.com/paper/hipotireoidismo-2l7lklnq","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-21","https://scispace.com/pdf/hipotireoidismo-2l7lklnq.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, detailing weight loss, cardiovascular benefits, side effects, and cites SCALE and LEADER trial results.","","Liraglutide studies reported:
- The SCALE study (3.0 mg/day) showed a mean weight loss of 8.4 ± 7.3 kg in the intervention group versus 2.8 ± 6.5 kg with placebo over 56 weeks.
- A higher proportion of individuals achieved ≥5% weight loss (63.2% vs. 27.1%) with liraglutide.
- No specific data for ≥10% or ≥15% weight loss was reported.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed that liraglutide reduced mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) in 9,340 individuals with DM type 2. No specific hazard ratios or confidence intervals for MACE, myocardial infarction, stroke, or heart failure outcomes are reported in this paper.","Liraglutide's main side effects are nausea, vomiting, and diarrhea. The SCALE study showed 63.2% of the intervention group lost ≥5% body weight, compared to 27.1% in the placebo group. The LEADER study observed a reduction in cardiovascular mortality (4.7% vs. 6.0%) and overall deaths (8.2% vs. 9.6%). There is a controversial increased risk of pancreatitis, and it is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2."
"Feocromocitoma","https://scispace.com/paper/feocromocitoma-2wi9b91k","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-8","https://scispace.com/pdf/feocromocitoma-2wi9b91k.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s weight loss, cardiovascular benefits, and side effects, citing SCALE and LEADER trials.","","The SCALE study showed liraglutide (3.0 mg/day) resulted in a mean weight loss of 8.4 ± 7.3 kg over 56 weeks, compared to 2.8 ± 6.5 kg with placebo. 63.2% of patients achieved ≥5% weight loss. The LEADER study, using 1.8 mg/day, observed a reduction in mortality but did not report specific weight loss percentages.","The LEADER study (Liraglutide Effect and Action in Diabetes) involving 9,340 individuals with DM type 2 and high cardiovascular risk showed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) in the liraglutide group compared to placebo. No specific hazard ratios or confidence intervals were reported for these outcomes.","Liraglutide's main side effects are nausea, vomiting, reflux, dyspepsia, and diarrhea. It should not be used in pregnant patients or those with a personal or family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2. The study mentioned did not report specific percentages for these adverse events or discontinuation rates."
"Definição, classificação, diagnóstico e tratamento de dm1","https://scispace.com/paper/definicao-classificacao-diagnostico-e-tratamento-de-dm1-2k04009c","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-1","https://scispace.com/pdf/definicao-classificacao-diagnostico-e-tratamento-de-dm1-2k04009c.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, cites SCALE weight‑loss trial and LEADER cardiovascular outcomes trial, noting efficacy and side effects.","","The SCALE study (2015) on liraglutide for obesity without DM2 showed a mean weight loss of 8.4 ± 7.3 kg in the intervention group versus 2.8 ± 6.5 kg with placebo after 56 weeks. A higher proportion of individuals lost at least 5% of their initial weight (63.2% vs. 27.1%) with liraglutide. The dose used was 3 mg/day. No data on ≥10% or ≥15% weight loss or confidence intervals were reported.","The LEADER study (Liraglutide Effect and Action in Diabetes) showed a reduction in mortality for cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) with liraglutide 1.8 mg/day compared to placebo. No specific data for MACE, myocardial infarction, stroke, or heart failure outcomes were detailed beyond these mortality figures.","Liraglutide's main side effects include nausea, vomiting, diarrhea, and dyspepsia. The study mentioned (LEADER) observed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) with liraglutide. A notable safety concern is its contraindication in patients with a personal or family history of medullary thyroid carcinoma and type 2 multiple endocrine neoplasia."
"Nódulos e ca tireoidianos","https://scispace.com/paper/nodulos-e-ca-tireoidianos-8vlfpubf","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-23","https://scispace.com/pdf/nodulos-e-ca-tireoidianos-8vlfpubf.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, reporting weight loss, cardiovascular mortality reduction, adverse events, and details the SCALE and LEADER clinical trials.","","For liraglutide, the SCALE study showed a mean weight loss of 8.4 ± 7.3 kg after 56 weeks, compared to 2.8 ± 6.5 kg with placebo. 63.2% of individuals lost ≥5% of their initial body weight, versus 27.1% with placebo. The dose used was 3 mg/day, initiated at 0.6 mg/day and increased weekly.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed a reduction in mortality for cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) in patients with DM2 at high cardiovascular risk using liraglutide. No specific data for MACE, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals, are explicitly reported for liraglutide in this paper.","Liraglutide's main side effects are nausea, vomiting, reflux, dyspepsia, and diarrhea. It should not be used in pregnant patients or those with a personal or family history of medullary thyroid carcinoma or MEN 2. The drug's highest risk of pancreatitis is controversial."
"Atraso puberal","https://scispace.com/paper/atraso-puberal-16oh9ivb","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-20","https://scispace.com/pdf/atraso-puberal-16oh9ivb.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, detailing weight loss, cardiovascular mortality reduction, adverse effects, and cites SCALE and LEADER trials.","","Liraglutide (3 mg/day) in the SCALE study showed a mean weight loss of 8.4 ± 7.3 kg after 56 weeks. 63.2% of individuals achieved ≥5% weight loss. The LEADER study (1.8 mg/day) also observed a reduction in cardiovascular mortality.","The Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER) study, which followed 9,340 individuals with DM type 2 for 3.8 years, reported:

*   **Cardiovascular death:** reduced in the liraglutide group (4.7% vs. 6.0%).
*   **All-cause mortality:** reduced in the liraglutide group (8.2% vs. 9.6%).

No specific data for MACE, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals were explicitly detailed in this paper for liraglutide.","Liraglutide's main side effects are nausea, vomiting, reflux gastroesophageal, dyspepsia, and diarrhea. The LEADER study observed a reduction in cardiovascular mortality (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) with liraglutide. It should not be used in pregnant patients or those with a personal or family history of medullary thyroid carcinoma and NEM 2. Pancreatitis risk is controversial, but use should be avoided if there's a history or suspicion of this condition."
"Safety and tolerability of new-generation anti-obesity medications: a narrative review","https://scispace.com/paper/safety-and-tolerability-of-new-generation-anti-obesity-54znj5bdab","2018","Journal Article","Postgraduate Medicine","Dhiren Patel
Fatima Cody Stanford","10.1080/00325481.2018.1435129","https://scispace.com/pdf/safety-and-tolerability-of-new-generation-anti-obesity-54znj5bdab.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide safety, adverse events, and cardiovascular outcomes, referencing both SCALE and LEADER clinical trials.","The prevalence of obesity and associated comorbidities is rising. Despite their weight-loss efficacy, new generation anti-obesity medications are only prescribed to a minority of adults with obesity, possibly, which in part may be due to safety concerns. This review presents detailed safety profiles for orlistat, phentermine/topiramate, lorcaserin, naltrexone/bupropion and liraglutide 3.0 mg, and discusses the associated risk–benefit profiles. Two anti-obesity medications presented safety issues that warranted further discussion; phentermine/topiramate (fetal toxicity) and liraglutide 3.0 mg (risk of gallstone disease and mild, acute pancreatitis), whereas the adverse events associated with orlistat, lorcaserin, and naltrexone/bupropion were mostly transient tolerability issues. The difficulties surrounding the objective determination of risk–benefit for anti-obesity medications is discussed. The need for more long-term data, thorough patient assessment, individualization of pharmacological interv...","The paper states that liraglutide 3.0 mg (Saxenda®) offers greater efficacy for weight loss than the 1.8 mg dose for glycemic control (page 7). It notes that the mean weight lost with liraglutide was greater in the SCALE Obesity and Prediabetes trial compared to placebo (page 9). However, specific mean/median percent weight loss, proportion of patients achieving ≥5%, ≥10%, or ≥15% weight loss, or confidence intervals for liraglutide are not explicitly reported in the provided text.","For liraglutide 1.8 mg, the LEADER trial showed individuals had a lower risk of cardiovascular death, nonfatal myocardial infarction, or non-fatal stroke compared to placebo. They also had lower risk of death from cardiovascular events and any cause. The SCALE Diabetes trial reported no significant difference in heart rate over 56 weeks with liraglutide 1.8 and 3.0 mg (p = 0.69). MACE data from LEADER were included in the EU Saxenda® label.","Liraglutide 3.0 mg showed increased gastrointestinal events, including nausea, constipation, diarrhea, and vomiting, mostly mild/moderate and transient during dose escalation. Withdrawal due to adverse events ranged from 8.4% to 11.4% in SCALE trials. Gallstone disease and acute pancreatitis were more common with liraglutide, though the latter's incidence was low (0.7%). No significant differences in neoplasms were reported."
"Hipoaldosteronismo","https://scispace.com/paper/hipoaldosteronismo-1tk7r23z","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-10","https://scispace.com/pdf/hipoaldosteronismo-1tk7r23z.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, detailing weight loss, cardiovascular benefits, adverse events, and cites SCALE and LEADER trial results.","","Liraglutide showed a mean weight loss of 8.4 ± 7.3 kg in patients without DM type 2 over 56 weeks, compared to 2.8 ± 6.5 kg with placebo. 63.2% of patients achieved ≥5% weight loss. The dose used was 3 mg/day.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) in the liraglutide group compared to placebo. No other specific cardiovascular outcomes like MACE, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals, are explicitly reported for liraglutide.","Liraglutide's main side effects include nausea, vomiting, reflux gastroesophageal, dyspepsia, and diarrhea. The study ""Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER)"" observed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) compared to placebo. It is contraindicated in pregnant patients and those with a history of medullary thyroid carcinoma or multiple endocrine neoplasia type 2. Pancreatitis risk is controversial."
"Diabetes insípidos","https://scispace.com/paper/diabetes-insipidos-pxzo10kf","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-15","https://scispace.com/pdf/diabetes-insipidos-pxzo10kf.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s weight loss, cardiovascular benefits, adverse events, citing SCALE and LEADER trials.","","Liraglutide (dose not specified for weight loss, but 1.8 mg/day was used for cardiovascular outcome study) resulted in a mean weight loss of 5.8 kg in the XENDOS study (4 years duration). The SCALE study (56 weeks duration) showed a mean weight loss of 8.4 kg (vs. 2.8 kg for placebo) with liraglutide, with 63.2% of individuals achieving ≥5% weight loss (vs. 27.1% for placebo).","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) in patients with DM type 2 at high cardiovascular risk. Specific hazard ratios or confidence intervals for MACE, myocardial infarction, stroke, or heart failure outcomes for liraglutide are not reported.","Liraglutide's principal side effects include nausea, vomiting, reflux gastroesophageal, dyspepsia, and diarrhea. The paper does not report specific percentages for these gastrointestinal events. It also does not provide discontinuation rates due to adverse events or mention other notable safety concerns for liraglutide."
