"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Liraglutide for weight management: a critical review of the evidence","https://scispace.com/paper/liraglutide-for-weight-management-a-critical-review-of-the-33auhpcjin","2017","Journal Article","Obesity science & practice","Anurag Mehta
S. P. Marso
Ian J. Neeland","10.1002/OSP4.84","https://onlinelibrary.wiley.com/doi/pdf/10.1002/osp4.84","… ”, and “randomized clinical trial”. Articles and bibliographies … scale randomized multicenter phase III trials have been conducted to evaluate the efficacy of liraglutide as a weight loss …","SummaryObjective
To review the efficacy, safety, and clinical applicability of liraglutide for weight management from phase III clinical trials.

Methods
A search of the English language literature was performed using PubMed search terms: “liraglutide”, “glucagon-like peptide-1 receptor agonist”, and “randomized clinical trial”. Articles and bibliographies relevant to the subject were reviewed and additional references known to the authors were included.

Results
Five randomized, placebo-controlled trials of liraglutide for weight management were identified. In addition to recommended diet and physical activity, liraglutide consistently resulted in a 4 to 6 kg weight loss, with a greater proportion of patients achieving at least 5 and 10% weight loss compared with placebo. The most common adverse effects were gastrointestinal and primarily occurred early in the treatment course. Comparative data suggest that weight loss with liraglutide is greater than that seen with orlistat or lorcaserin, but slightly less that seen with phentermine/topiramate. Liraglutide 1.8 mg was recently shown to have cardiovascular benefit in a large outcomes trial; applicability of these results for the 3.0 mg formulation in a more diverse weight loss population at high cardiovascular risk is not currently known. Barriers to real-world clinical use as a first-line agent include gastrointestinal side effects, high cost, and need for injection.

Conclusions
Liraglutide helps to induce and sustain weight loss in patients with obesity. Its efficacy is comparable to other available agents but it offers the unique benefit of improved glycemic control. Additional studies are needed to determine its long term efficacy and safety profile."
"Liraglutide and cardiovascular outcomes in adults with overweight or obesity: A post hoc analysis from SCALE randomized controlled trials","https://scispace.com/paper/liraglutide-and-cardiovascular-outcomes-in-adults-with-awukwol6re4s","2017","Repository","","Davies M J
Aronne, L.J.
Thomsen, A.B.
Marso S.P
Davies M J
Aronne, L.J.
Thomsen, A.B.
Marso S.P","10.1111/dom.13125/abstract","https://dom-pubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/dom.13125","… Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) was a prospective randomized clinical trial designed to evaluate the cardiovascular safety of liraglutide at …","Additional Supporting Information may be found online in the supporting&#13;\ninformation tab for this article. "
"Liraglutide and cardiovascular outcomes in type 2 diabetes","https://scispace.com/paper/liraglutide-and-cardiovascular-outcomes-in-type-2-diabetes-4aknhhce16","2016","Journal Article","The New England Journal of Medicine","Steven P. Marso
Gilbert H. Daniels
Kirstine Brown-Frandsen
Peter Lommer Kristensen
Johannes F.E. Mann
Michael A. Nauck
Steven E. Nissen
Stuart J. Pocock
Neil R Poulter
Lasse Steen Ravn
William M. Steinberg
Mette Stockner
Bernard Zinman
Richard M. Bergenstal
John B. Buse","10.1056/NEJMOA1603827","https://scispace.com/pdf/liraglutide-and-cardiovascular-outcomes-in-type-2-diabetes-4aknhhce16.pdf","… liraglutide group than in the placebo group. The most common adverse events leading to the discontinuation of liraglutide … Health; LEADER ClinicalTrials.gov number, NCT01179048.) …","BackgroundThe cardiovascular effect of liraglutide, a glucagon-like peptide 1 analogue, when added to standard care in patients with type 2 diabetes, remains unknown. MethodsIn this double-blind trial, we randomly assigned patients with type 2 diabetes and high cardiovascular risk to receive liraglutide or placebo. The primary composite outcome in the time-to-event analysis was the first occurrence of death from cardiovascular causes, nonfatal myocardial infarction, or nonfatal stroke. The primary hypothesis was that liraglutide would be noninferior to placebo with regard to the primary outcome, with a margin of 1.30 for the upper boundary of the 95% confidence interval of the hazard ratio. No adjustments for multiplicity were performed for the prespecified exploratory outcomes. ResultsA total of 9340 patients underwent randomization. The median follow-up was 3.8 years. The primary outcome occurred in significantly fewer patients in the liraglutide group (608 of 4668 patients [13.0%]) than in the placebo ..."
"Design of the liraglutide effect and action in diabetes: evaluation of cardiovascular outcome results (LEADER) trial","https://scispace.com/paper/design-of-the-liraglutide-effect-and-action-in-diabetes-dtgigx9ejx","2013","Journal Article","American Heart Journal","Steven P. Marso
Neil Poulter
Steven E. Nissen
Michael A. Nauck
Bernard Zinman
Gilbert H. Daniels
Stuart J. Pocock
William M. Steinberg
Richard M. Bergenstal
Johannes F.E. Mann
Lasse Steen Ravn
Kirstine Brown Frandsen
Alan C. Moses
John B. Buse","10.1016/J.AHJ.2013.07.012","","… cardiovascular outcomes including coronary heart disease, stroke, and cardiovascular death. Liraglutide … , double-blind, placebo-controlled clinical trial with long-term follow-up. Patients …",""
"Liraglutide and glycaemic outcomes in the LEADER trial","https://scispace.com/paper/liraglutide-and-glycaemic-outcomes-in-the-leader-trial-176wuwahj7","2018","Journal Article","Diabetes Therapy","Bernard Zinman
Michael A. Nauck
Heidrun Bosch-Traberg
H. Frimer-Larsen
David D. Ørsted
John B. Buse","10.1007/S13300-018-0524-Z","https://link.springer.com/content/pdf/10.1007/s13300-018-0524-z.pdf","… LEADER was a clinical trial investigating the impact of a drug called liraglutide on stroke, heart … In conclusion, in the LEADER trial, patients with advanced type 2 diabetes at high CV risk …","The LEADER trial was a cardiovascular (CV) outcomes trial in patients with type 2 diabetes at high CV risk that compared liraglutide (n = 4668) with placebo (n = 4672) using a primary composite endpoint of 3-point major adverse CV events. The objective of this post hoc analysis was to investigate glycaemic outcomes across both treatment groups. Glycated haemoglobin (HbA1c) was measured at randomisation, month 3, month 6 and every 6 months thereafter. Cox regression was used to analyse time to a composite endpoint of glycaemic deterioration, defined as a specified change in HbA1c or a substantial intensification of insulin or oral antihyperglycaemic drug (OAD). The individual components of the composite were also analysed. Baseline characteristics, including insulin and OAD use, were balanced between treatment groups. HbA1c decreased from baseline in both groups, but the reduction was greater with liraglutide [estimated treatment difference at month 36: − 0.40%; 95% confidence interval (CI) − 0.45, − 0.34] despite the addition of more OADs and higher insulin use in the placebo group. Fewer of the patients treated with liraglutide (n = 3202, 68.6%) experienced glycaemic deterioration compared with those administered the placebo (n = 3988, 85.4%; average hazard ratio: 0.50; 95% CI 0.48, 0.53; p < 0.001). Analysis of the individual components showed similar results (both p  < 0.001). Type 2 diabetes patients at high risk of CV events who were treated with liraglutide achieved greater reductions in HbA1c, had a lower risk of hypoglycaemia and presented less glycaemic deterioration than similar patients who received the placebo. Nonetheless, progressive loss of glycaemic control occurred in both groups. ClinicalTrials.gov, NCT01179048. Novo Nordisk. Plain language summary available for this article."
"… events with liraglutide treatment among patients with type 2 diabetes and high risk of cardiovascular events: a post hoc analysis of a randomized clinical trial","https://scispace.com/paper/YXynuEM9k3AJ","","","","S Verma
SC Bain
JB Buse
T Idorn","","https://jamanetwork.com/journals/jamacardiology/articlepdf/2754760/jamacardiology_verma_2019_oi_190052.pdf","… cardiovascular outcomes … the LEADER randomized clinical trial, we used models generalized from Cox proportional hazards regression models to estimate the association of liraglutide …",""
"Effect of liraglutide 3.0 mg in individuals with obesity and moderate or severe obstructive sleep apnea: the SCALE Sleep Apnea randomized clinical trial","https://scispace.com/paper/effect-of-liraglutide-3-0-mg-in-individuals-with-obesity-and-56y9roh1x2","2016","Journal Article","International Journal of Obesity","A. Blackman
Gary D. Foster
G Zammit
R Rosenberg
Louis J. Aronne
Thomas A. Wadden
B. Claudius
Christine B. Jensen
Emmanuel Mignot","10.1038/IJO.2016.52","https://www.nature.com/articles/ijo201652.pdf","… Liraglutide’s weight loss mechanism in humans is through a reduction in appetite with a … of the study participants, clinical trial personnel and the SCALE Sleep Apnea study group. We …","Effect of liraglutide 3.0 mg in individuals with obesity and moderate or severe obstructive sleep apnea: the SCALE Sleep Apnea randomized clinical trial"
"Liraglutide and weight loss among patients with advanced heart failure and a reduced ejection fraction: insights from the FIGHT trial","https://scispace.com/paper/liraglutide-and-weight-loss-among-patients-with-advanced-2e8tphyuxf","2018","Journal Article","Esc Heart Failure","Abhinav Sharma
Abhinav Sharma
Andrew P. Ambrosy
Adam D. DeVore
Kenneth B. Margulies
Steven McNulty
Robert J. Mentz
Adrian F. Hernandez
G.M. Felker
Lauren B. Cooper
Anuradha Lala
Justin M. Vader
John D. Groake
Barry A. Borlaug
Eric J. Velazquez","10.1002/EHF2.12334","https://academic.oup.com/eschf/article-pdf/5/6/1035/66136959/eschf_5_6_1035.pdf","… -blind, placebo-controlled, randomized clinical trial of patients with HF and reduced left … In the LEADER trial, liraglutide was associated with a reduction in cardiovascular death (vs. …","Aims Obesity is present in up to 45% of patients with heart failure (HF). Liraglutide, a glucagon-like peptide-1 (GLP-1) receptor antagonist, facilitates weight loss in obese patients. The efficacy of liraglutide as a weight loss agent among patients with HF and reduced ejection fraction (HFrEF) and a recent acute HF hospitalization remains unknown. Methods and results The Functional Impact of GLP-1 for Heart Failure Treatment study randomized 300 patients with HFrEF (ejection fraction ≤ 40%), both with and without diabetes and a recent HF hospitalization to liraglutide or placebo. The primary outcome for this post hoc analysis was the change in weight from baseline to last study visit. We conducted an 'on-treatment' analysis of patients with at least one follow-up visit on study drug (123 on liraglutide and 124 on placebo). The median age was 61 years, 21% were female, and 69% of patients had New York Heart Association functional Class III or IV symptoms. The median ejection fraction was 25% (25th, 75th percentile 19-32%). Liraglutide use was associated with a significant weight reduction [liraglutide -1.00 lbs vs. placebo 2.00 lbs; treatment difference -4.10 lbs; 95% confidence interval (CI) -7.94, -0.25; P = 0.0367; percentage treatment difference -2.07%, 95% CI -3.86, -0.28; P = 0.0237]. Similar results were seen after multivariable adjustments. Liraglutide also significantly reduced triglyceride levels (liraglutide 7.5 mg/dL vs. placebo 12.0 mg/dL; treatment difference -33.1 mg/dL; 95% CI -60.7, -5.6; P = 0.019). Conclusions Liraglutide is an efficacious weight loss agent in patients with HFrEF. These findings will require further exploration in a well-powered cardiovascular outcomes trial."
"Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: the SCALE Maintenance randomized study","https://scispace.com/paper/weight-maintenance-and-additional-weight-loss-with-4jrdpnenpk","2013","Journal Article","International Journal of Obesity","Thomas A. Wadden
Priscilla Hollander
S Klein
Kevin D. Niswender
V Woo
P M Hale
Louis J. Aronne","10.1038/IJO.2013.120","","… efficacy of liraglutide in maintaining weight loss achieved with a … Liraglutide, with diet and exercise, maintained weight loss achieved by caloric restriction and induced further weight loss …","Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: The SCALE Maintenance randomized study"
"… and efficacy of liraglutide, 3.0 mg, once daily vs placebo in patients with poor weight loss following metabolic surgery: the BARI-OPTIMISE randomized clinical trial","https://scispace.com/paper/SjFXyWutPKYJ","","","","J Mok
MO Adeleke
A Brown
CG Magee","","https://jamanetwork.com/journals/jamasurgery/articlepdf/2807724/jamasurgery_mok_2023_oi_230046_1696870070.90591.pdf","… a weighing scale (… clinical trial to evaluate the efficacy and safety of liraglutide, 3.0 mg, compared to placebo as an adjunct to a lifestyle intervention in people with suboptimal weight loss …",""
