"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Liraglutide and Cardiovascular Outcomes in Type 2 Diabetes.","https://scispace.com/paper/27295427","2016","Journal Article","The New England journal of medicine","Marso
Daniels
Brown-Frandsen
Kristensen
Mann
Nauck
Nissen
Pocock
Poulter
Ravn
Steinberg
Stockner
Zinman
Bergenstal
Buse","10.1056/NEJMoa1603827","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4985288/pdf","The cardiovascular effect of liraglutide, a glucagon-like peptide 1 analogue, when added to standard care in patients with type 2 diabetes, remains unknown."
"Liraglutide for Children 6 to <12 Years of Age with Obesity - A Randomized Trial.","https://scispace.com/paper/39258838","2025","Journal Article","The New England journal of medicine","Fox
Barrientos-Pérez
Bomberg
Dcruz
Gies
Harder-Lauridsen
Jalaludin
Sahu
Weimers
Zueger
Arslanian","10.1056/NEJMoa2407379","","No medications are currently approved for the treatment of nonmonogenic, nonsyndromic obesity in children younger than 12 years of age. Although the use of liraglutide has been shown to induce weight loss in adults and adolescents with obesity, its safety and efficacy have not been established in children."
"A Randomized, Controlled Trial of 3.0 mg of Liraglutide in Weight Management.","https://scispace.com/paper/26132939","2015","Journal Article","The New England journal of medicine","Pi-Sunyer
Astrup
Fujioka
Greenway
Halpern
Krempf
Lau
le Roux
Violante Ortiz
Jensen
Wilding","10.1056/NEJMoa1411892","","Obesity is a chronic disease with serious health consequences, but weight loss is difficult to maintain through lifestyle intervention alone. Liraglutide, a glucagon-like peptide-1 analogue, has been shown to have potential benefit for weight management at a once-daily dose of 3.0 mg, injected subcutaneously."
"Efficacy of Liraglutide for Weight Loss Among Patients With Type 2 Diabetes: The SCALE Diabetes Randomized Clinical Trial.","https://scispace.com/paper/26284720","2015","Journal Article","JAMA","Davies
Bergenstal
Bode
Kushner
Lewin
Skjøth
Andreasen
Jensen
DeFronzo","10.1001/jama.2015.9676","","Weight loss of 5% to 10% can improve type 2 diabetes and related comorbidities. Few safe, effective weight-management drugs are currently available."
"3 years of liraglutide versus placebo for type 2 diabetes risk reduction and weight management in individuals with prediabetes: a randomised, double-blind trial.","https://scispace.com/paper/28237263","2017","Journal Article","Lancet (London, England)","le Roux
Astrup
Fujioka
Greenway
Lau
Van Gaal
Ortiz
Wilding
Skjøth
Manning
Pi-Sunyer","10.1016/S0140-6736(17)30069-7","","Liraglutide 3·0 mg was shown to reduce bodyweight and improve glucose metabolism after the 56-week period of this trial, one of four trials in the SCALE programme. In the 3-year assessment of the SCALE Obesity and Prediabetes trial we aimed to evaluate the proportion of individuals with prediabetes who were diagnosed with type 2 diabetes."
"Effect of liraglutide 3.0 mg in individuals with obesity and moderate or severe obstructive sleep apnea: the SCALE Sleep Apnea randomized clinical trial.","https://scispace.com/paper/27005405","2016","Journal Article","International journal of obesity (2005)","Blackman
Foster
Zammit
Rosenberg
Aronne
Wadden
Claudius
Jensen
Mignot","10.1038/ijo.2016.52","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4973216/pdf","Obesity is strongly associated with prevalence of obstructive sleep apnea (OSA), and weight loss has been shown to reduce disease severity."
"Liraglutide and Renal Outcomes in Type 2 Diabetes.","https://scispace.com/paper/28854085","2017","Journal Article","The New England journal of medicine","Mann
Ørsted
Brown-Frandsen
Marso
Poulter
Rasmussen
Tornøe
Zinman
Buse","10.1056/NEJMoa1616011","","In a randomized, controlled trial that compared liraglutide, a glucagon-like peptide 1 analogue, with placebo in patients with type 2 diabetes and high cardiovascular risk who were receiving usual care, we found that liraglutide resulted in lower risks of the primary end point (nonfatal myocardial infarction, nonfatal stroke, or death from cardiovascular causes) and death. However, the long-term effects of liraglutide on renal outcomes in patients with type 2 diabetes are unknown."
"Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: the SCALE Maintenance randomized study.","https://scispace.com/paper/23812094","2013","Journal Article","International journal of obesity (2005)","Wadden
Hollander
Klein
Niswender
Woo
Hale
Aronne","10.1038/ijo.2013.120","","Liraglutide, a once-daily human glucagon-like peptide-1 analog, induced clinically meaningful weight loss in a phase 2 study in obese individuals without diabetes. The present randomized phase 3 trial assessed the efficacy of liraglutide in maintaining weight loss achieved with a low-calorie diet (LCD)."
"Liraglutide 3.0 mg and Intensive Behavioral Therapy (IBT) for Obesity in Primary Care: The SCALE IBT Randomized Controlled Trial.","https://scispace.com/paper/32090517","2020","Journal Article","Obesity (Silver Spring, Md.)","Wadden
Tronieri
Sugimoto
Lund
Auerbach
Jensen
Rubino","10.1002/oby.22726","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7065111/pdf","Previous studies have shown additive weight loss when intensive behavioral therapy (IBT) was combined with weight-loss medication. The present multisite study provides the first evaluation, in primary care, of the effect of the Centers for Medicare and Medicaid Services-based IBT benefit, delivered alone (with placebo) or in combination with liraglutide 3.0 mg."
"Efficacy and Safety of Liraglutide 3.0 mg in Individuals With Overweight or Obesity and Type 2 Diabetes Treated With Basal Insulin: The SCALE Insulin Randomized Controlled Trial.","https://scispace.com/paper/32139381","2020","Journal Article","Diabetes care","Garvey
Birkenfeld
Dicker
Mingrone
Pedersen
Satylganova
Skovgaard
Sugimoto
Jensen
Mosenzon","10.2337/dc19-1745","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7171937/pdf","Most individuals with type 2 diabetes also have obesity, and treatment with some diabetes medications, including insulin, can cause further weight gain. No approved chronic weight management medications have been prospectively investigated in individuals with overweight or obesity and insulin-treated type 2 diabetes. The primary objective of this study was to assess the effect of liraglutide 3.0 mg versus placebo on weight loss in this population."
