"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Cardiovascular safety of liraglutide: Pooled analysis of Major adverse cardiovascular events across weight management and Type 2 Diabetes development programs","https://scispace.com/paper/cardiovascular-safety-of-liraglutide-pooled-analysis-of-4jduu6nj2o","2016","Journal Article","Diabetologie Und Stoffwechsel","Stephan Jacob
T Wehrhahn
I Caterson
Stephen C. Bain
J Gross
J House
A Salisbury
Steven P. Marso
Florian M.M. Baeres
Morten Donsmark","10.1055/S-0036-1580943","","The cardiovascular safety of liraglutide in individuals with overweight/obesity and those with type 2 diabetes (T2D) is unknown. A meta-analysis of five phase II/III liraglutide (dose up to 3.0 mg) weight management (WM) trials was performed. Additional sensitivity meta-analyses of 21 liraglutide T2D trials (dose up to 1.8 mg) and a pre-specified pooled analysis of all WM and T2D trials (27 trials; WM+T2D) were also conducted.

The primary endpoint was first occurrence of adjudicated major adverse cardiovascular events (MACE) (non-fatal myocardial infarction, non-fatal stroke or cardiovascular death) with liraglutide (any dose) or pooled total comparator (placebo, active) and analysis was using a Cox proportional hazards model stratified by trial. Prospective adjudication (blinded, independent) was implemented in three of the WM trials; post-hoc adjudication was conducted for all other trials. For WM trials, the observation period was from the first drug dose to the last drug dose plus a 30-day follow-up; for the SCALE Obesity and Prediabetes trial, data to October 1, 2014 were included.

For WM trials (liraglutide: n=3,872; comparator: n=2,036), baseline characteristics were: 71% women; history of CV disease, 9%; mean age, 47 yrs; mean BMI, 38 kg/m2. For T2D trials (liraglutide: n=5,511; comparator: n=2,748): 43% women; history of CV disease, 13%; mean age, 56 yrs; mean BMI, 30 kg/m2.

In WM trials (n=20 events), the hazard ratio (HR) \[95% confidence interval (CI)] for MACE (liraglutide/comparator) was 0.45 [0.18; 1.10\] (Figure 1A). In T2D trials (n=49 events), the HR was 0.64 \[0.35, 1.15\] (Figure 1A). For the WM+T2D analysis (n=69 events), the HR was 0.57 \[0.35, 0.94\] (Figure 1B).

In a pooled analysis of WM+T2D trials, MACE was significantly lower in patients treated with liraglutide. The dedicated cardiovascular outcomes trial, LEADER, will provide further insights into the cardiovascular safety of liraglutide.

 ![][1] [1]: /embed/graphic-1.gif","In a pooled analysis of WM+T2D trials, MACE was significantly lower in patients treated with liraglutide, and the dedicated cardiovascular outcomes trial, LEADER, will provide further insights into the cardiovascular safety of lirAGlutid."
"Series: Cardiovascular outcome trials for diabetes drugs Liraglutide and LEADER","https://scispace.com/paper/series-cardiovascular-outcome-trials-for-diabetes-drugs-3ah4o795qr","2020","Journal Article","","Miles Fisher","10.15277/BJD.2020.267","https://scispace.com/pdf/series-cardiovascular-outcome-trials-for-diabetes-drugs-3ah4o795qr.pdf","LEADER (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) was an FDA-mandated cardiovascular outcome trial with liraglutide and was the first trial with a glucagon-like peptide-1 (GLP-1) receptor agonist to demonstrate a significant reduction in cardiovascular events. It compared liraglutide and placebo in 9,340 people with type 2 diabetes and either existing cardiovascular disease or age >60 years with at least one cardiovascular risk factor. LEADER demonstrated superiority for major cardiovascular events (cardiovascular death, non-fatal myocardial infarction, non-fatal stroke), and cardiovascular deaths were significantly reduced, as was all-cause mortality. Hospitalisation for heart failure, which was a secondary outcome, was not significantly reduced. Compared with the EMPA-REG OUTCOME trial, the curves for major adverse cardiovascular events in LEADER separated later, and the absence of a clear effect on hospitalisation for heart failure or on estimated glomerular filtration rate suggests that the mechanism of cardiovascular benefit for liraglutide was different from that for empagliflozin","The absence of a clear effect on hospitalisation for heart failure or on estimated glomerular filtration rate suggests that the mechanism of cardiovascular benefit for liraglutide was different from that for empagliflozin."
"Cardiovascular Effects of Liraglutide.","https://scispace.com/paper/cardiovascular-effects-of-liraglutide-2c6un7gq1u","2019","Journal Article","Current Hypertension Reviews","Nasser Mikhail","10.2174/1573402114666180507152620","","Background Liraglutide is a glucagon-like 1 (GLP-1) agonist approved for treatment of type 2 diabetes and obesity. Objective To review the cardiovascular effects of liraglutide including macrovascular and microvascular events, its use in heart failure, and its effects on heart rate and blood pressure. Results The impact of liraglutide on cardiovascular outcomes was examined in a large welldesigned study published in 2016, the LEADER trial. This study included 9,340 patients with advanced type 2 diabetes and high baseline cardiovascular risk. The primary outcome was the first occurrence of death from cardiovascular causes, non-fatal myocardial infarction, or non-fatal stroke. After a median follow-up of 3.8 years, patients randomized to liraglutide had significant reduction in the composite primary outcome compared to patients randomized to placebo, hazard ratio (HR) 0.87; 95% CI 0.78-0.97. Death from cardiovascular causes was significantly reduced with liraglutide therapy (HR, 0.78; 95% CI 0.66-0.93), as well as death from any cause (HR, 0.85; 95% CI 0.74-0.97). In 2017, the LEADER investigators reported that nephropathy events were significantly lower after liraglutide therapy than placebo (HR 0.78; 95% CI 0.67-0.92), but there was no significant difference in retinopathy events. Meanwhile, other studies suggested that the use of liraglutide may be harmful in patients with severe heart failure, in part due to increase in heart rate. Conclusion Liraglutide is a useful therapy in patients with advanced type 2 diabetes complicated by cardiovascular disease, except patients with severe heart failure. Further studies are needed to evaluate the long-term effects of liraglutide, and to see whether its beneficial effects extend to patients with type 2 diabetes and low cardiac risk.","Liraglutide is a useful therapy in patients with advanced type 2 diabetes complicated by cardiovascular disease, except patients with severe heart failure, and further studies are needed to evaluate the long-term effects, and to see whether its beneficial effects extend to patients with type 1 diabetes and low cardiac risk."
"Liraglutide and cardiovascular outcomes in adults with overweight or obesity: A post hoc analysis from SCALE randomized controlled trials","https://scispace.com/paper/liraglutide-and-cardiovascular-outcomes-in-adults-with-4629yvlwqv","2018","Journal Article","Diabetes, Obesity and Metabolism","Melanie J. Davies
Louis J. Aronne
Ian D. Caterson
Anne B. Thomsen
P. B. Jacobsen
Steven P. Marso","10.1111/DOM.13125","https://onlinelibrary.wiley.com/doi/pdf/10.1111/dom.13125","The cardiovascular safety of liraglutide, a glucagon-like peptide-1 receptor agonist approved for weight management at a dose of 3.0 mg, was evaluated post hoc using data from 5908 participants in 5 randomized, double-blind, placebo-controlled clinical trials. Participants were randomized to liraglutide or a comparator group (placebo or orlistat). The objective was to evaluate whether cardiovascular risk was increased with liraglutide treatment. The primary composite outcome of this time-to-event analysis was the first occurrence of cardiovascular death, nonfatal myocardial infarction or nonfatal stroke. These cardiovascular events were adjudicated prospectively for three of the trials and retrospectively for two trials by an event adjudication committee. The primary outcome was analyzed using a Cox proportional hazards model, stratified by trial. With liraglutide 3.0 mg, 8 participants had positively adjudicated cardiovascular events (1.54 events/1000 person-years) compared to 10 participants in the comparators group (3.65 events/1000 person-years). The hazard ratio for liraglutide 3.0 mg compared to comparators was 0.42 (95% confidence interval, 0.17-1.08). In this analysis, liraglutide 3.0 mg treatment was not associated with excess cardiovascular risk. However, the wide confidence intervals and retrospective adjudication of events in two of the trials are limitations of the analysis.","In this analysis, liraglutide 3.0 mg treatment was not associated with excess cardiovascular risk, however, the wide confidence intervals and retrospective adjudication of events in two of the trials are limitations of the analysis."
"Effect of Liraglutide on Cardiovascular Events in Patients With Type 2 Diabetes Mellitus and Polyvascular Disease: Results of the LEADER Trial.","https://scispace.com/paper/effect-of-liraglutide-on-cardiovascular-events-in-patients-bt3260wnji","2018","Journal Article","Circulation","Subodh Verma
Deepak L. Bhatt
Stephen C. Bain
John B. Buse
Johannes F.E. Mann
Steven P. Marso
Michael A. Nauck
Neil Poulter
Richard E. Pratley
Bernard Zinman
Marie M. Michelsen
Tea Monk Fries
Søren Rasmussen
Lawrence A. Leiter","10.1161/CIRCULATIONAHA.118.033898","https://scispace.com/pdf/effect-of-liraglutide-on-cardiovascular-events-in-patients-bt3260wnji.pdf","The presence of polyvascular disease, defined as atherosclerosis involving >1 distinct vascular territory, is a strong, independent predictor of cardiovascular events.1–4 In the LEADER trial (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results),5 the human glucagon-like peptide 1 analog liraglutide reduced cardiovascular events in patients with type 2 diabetes mellitus at high cardiovascular risk. In this post hoc analysis of LEADER, we evaluated the effects of liraglutide stratified by a number of atherosclerotic vascular territories (coronary, cerebrovascular, and peripheral).

LEADER (ClinicalTrials.gov, NCT01179048) was a randomized trial of liraglutide (1.8 mg or maximum tolerated dose) versus placebo in 9340 patients with type 2 diabetes mellitus and high cardiovascular risk (median follow-up, 3.8 years).5 The primary outcome was a composite of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke (major adverse cardiovascular events [MACE]). The key secondary expanded outcome (expanded MACE) also included hospitalization for unstable angina, coronary revascularization, or hospitalization for heart failure.

The ethics committee or institutional review board at each participating center approved the trial protocol. Patients provided informed consent. Cardiovascular outcomes were prospectively adjudicated by an independent, blinded event adjudication committee. Atherosclerotic vascular territories included coronary (myocardial infarction, ≥50% coronary artery stenosis, percutaneous coronary intervention or coronary artery bypass graft surgery, angina pectoris, or asymptomatic ischemia), cerebrovascular (stroke, transient ischemic attack, ≥50% intracranial or carotid artery stenosis), and peripheral (≥50% peripheral artery stenosis) arteries. Information was extracted from patients’ baseline medical history. Risk groups were determined by number of vascular territories involved: polyvascular disease as ≥2, single vascular disease as 1, and a group with no documented atherosclerotic cardiovascular disease (ASCVD).

The hazard ratios (HRs) comparing risk groups were calculated using a Cox proportional hazards model with treatment and risk group as factors. The treatment effect of liraglutide versus …","In this post hoc analysis of LEADER, the effects of liraglutide stratified by a number of atherosclerotic vascular territories (coronary, cerebrovascular, and peripheral) are evaluated."
"Series: Cardiovascular outcome trials for diabetes drugs.","https://scispace.com/paper/series-cardiovascular-outcome-trials-for-diabetes-drugs-1a1i7rmx","2022","Journal Article","The British journal of diabetes","Miles Fisher","10.15277/bjd.2022.387","","LEADER was a landmark cardiovascular outcome trial with the GLP-1 receptor agonist liraglutide, which demonstrated signiﬁcant reductions in major adverse cardiovascular events (MACE, a composite of cardiovascular death, non-fatal myocardial infarction and non-fatal stroke), driven by a reduction in cardiovascular deaths and accompanied by a signiﬁcant reduction in all-cause mortality. Shortly afterwards, the SUSTAIN-6 trial with once-weekly semaglutide demonstrated non-inferiority for MACE, with a nominal reduction in MACE that was driven by a reduction in the risk of non-fatal strokes. Since then, a further six cardiovascular trials have been published with GLP-1 receptor agonists, with major differences in study design and outcomes.
Four trials have been performed with once-weekly formulations. The EXSCEL trial with once-weekly exenatide showed non-inferiority for MACE, but not superiority, with a reduction in all-cause mortality which was an exploratory outcome. The Harmony Outcomes trial with albiglutide demonstrated signiﬁcant reductions in MACE, driven by reductions in fatal or non-fatal myocardial infarction. REWIND, with dulaglutide, also demonstrated signiﬁcant reductions in MACE, this time driven by reductions in strokes. The AMPLITUDE-O trial with efpeglenatide showed signiﬁcant reductions in MACE, but none of the individual components of MACE was signiﬁcantly reduced as a secondary endpoint, and in contrast to other trials there was also a signiﬁcant reduction in heart failure events. The ﬁfth trial was the PIONEER 6 trial with the oral formulation of semaglutide, and this showed non-inferiority for MACE, but not superiority, with reductions in cardiovascular deaths and all-cause mortality which were secondary outcomes. Finally, FREEDOM-CVO with a subcutaneous mini-pump of exenatide showed non-inferiority for MACE and MACE plus hospitalisation for unstable angina. A reduction in albuminuria was seen in several of these trials, but there was no deﬁnite effect on eGFR or end-stage renal disease.
Meta-analysis of the cardiovascular outcome trials with GLP-1 receptor agonists has demonstrated signiﬁcant reductions in MACE, cardiovascular death, fatal or non-fatal stroke, fatal or non-fatal myocardial infarction, and all-cause mortality. It remains unclear why updated guidance from NICE on the management of T2DM in adults fails to acknowledge these evidence-based cardiovascular beneﬁts.","In this article , a meta-analysis of the cardiovascular outcome trials with GLP-1 receptor agonists has demonstrated signiﬁcant reductions in major adverse cardiovascular events (MACE), a composite of cardiovascular death, non-fatal myocardial infarction, and nonfatal stroke."
"Liraglutide Effects in Insulin-Treated Patients in LEADER","https://scispace.com/paper/liraglutide-effects-in-insulin-treated-patients-in-leader-5u50v4sqef","2018","Journal Article","Diabetes","C.J.J. Tack
Stephan Jacob
Cyrus Desouza
Stephen C. Bain
Michael A. Nauck
John R. Petrie
Neil R Poulter
Richard E. Pratley
Helen Vanya B. K. Stegmann
Heidrun Bosch-Traberg
Elena Startseva
Bernard Zinman","10.2337/DB18-438-P","","Combining GLP-1 analogs and insulin has complementary benefits, but long-term data are sparse. In the LEADER cardiovascular (CV) outcomes trial (N=9340; median follow-up 3.8 years; NCT01179048), rates of major CV events and hypoglycemia were lower when liraglutide vs. placebo was added to standard care (frequently including insulin) in patients with type 2 diabetes (T2D) at high risk for CV disease, and there were improvements in control of glycemia, body weight, systolic blood pressure (SBP) and lipids. This post-hoc subgroup analysis assessed these outcomes by baseline insulin use: no insulin vs. basal-only vs. other. At baseline, 5171 (55%) patients were not on insulin treatment, 3159 (34%) were on basal-only insulin and 1010 (11%) were treated with other insulin regimens (9.7% premix). Insulin use at baseline was balanced overall between randomized treatment groups, but fewer patients randomized to liraglutide (29%) vs. placebo (43%) initiated in-trial insulin. In the basal-only subgroup, liraglutide reduced A1C vs. placebo (estimated treatment difference [ETD]: −0.48%, 95% CI: −0.57; −0.38), with a significant reduction in severe hypoglycemia rate (estimated rate ratio: 0.42, 95% CI: 0.26; 0.68). Liraglutide also reduced weight (ETD: −2.5 kg, 95% CI: −3.0; −2.1) and there were trends for reductions in SBP (ETD: −1.1 mmHg, 95% CI: −2.4; 0.1) and LDL cholesterol (ETD: -1.3 mg/dL, 95% CI: -3.6; 1.0). The CV risk reduction observed with liraglutide in the full trial population was similar in the basal-only subgroup (estimated hazard ratio: 0.84, 95% CI: 0.70; 1.00). Results were similar in the no-insulin subgroup. There was heterogeneity in the results for the smaller, other insulin subgroup with reductions in A1C and weight, but no significant differences in other endpoints. In conclusion, in basal insulin-treated patients with T2D and high CV risk, treatment with liraglutide improved glycemic control, reduced body weight and halved the severe hypoglycemia risk, with a similar CV risk reduction to patients not on insulin. Disclosure C. Tack: Advisory Panel; Self; Merck Sharp & Dohme Corp., Novo Nordisk A/S, AstraZeneca. Research Support; Self; AstraZeneca. Speaker9s Bureau; Self; Novo Nordisk A/S. S. Jacob: Advisory Panel; Self; AstraZeneca, Boehringer Ingelheim GmbH. Speaker9s Bureau; Self; Boehringer Ingelheim GmbH, AstraZeneca, Eli Lilly and Company. Board Member; Self; Novo Nordisk A/S. Speaker9s Bureau; Self; Novo Nordisk Foundation. Advisory Panel; Self; MSD K.K.. Speaker9s Bureau; Self; MSD K.K., Menarini Group, Roche Diabetes Care Health and Digital Solutions. C. Desouza: Consultant; Self; Novo Nordisk A/S, Sanofi. Research Support; Self; Merck & Co., Inc.. Advisory Panel; Self; Medscape. S.C. Bain: Research Support; Self; Novo Nordisk Inc., AstraZeneca. M.A. Nauck: Advisory Panel; Self; AstraZeneca, Boehringer Ingelheim GmbH, Eli Lilly and Company, Fractyl Laboratories, Inc., GlaxoSmithKline plc., Berlin-Chemie AG, Merck Sharp & Dohme Corp., Novo Nordisk A/S. Speaker9s Bureau; Self; AstraZeneca, Boehringer Ingelheim GmbH, Eli Lilly and Company, Berlin-Chemie AG, Merck Sharp & Dohme Corp., Medscape, Novo Nordisk A/S. Research Support; Self; AstraZeneca, Berlin-Chemie AG, Eli Lilly and Company, Merck Sharp & Dohme Corp., Novartis AG, GlaxoSmithKline plc., Novo Nordisk A/S. Consultant; Self; Nordic Bioscience, Empros. J. Petrie: Advisory Panel; Self; Novo Nordisk A/S. Other Relationship; Self; Boehringer Ingelheim GmbH. Speaker9s Bureau; Self; Pfizer Inc.. Consultant; Self; Novo Nordisk A/S. Research Support; Self; Merck KGaA, Itamar Medical Ltd., Janssen Pharmaceuticals, Inc.. Other Relationship; Self; Diabetes UK, Applied Clinical Intelligence Ltd, Bayer AG, QuintilesIMS. N.R. Poulter: Advisory Panel; Self; AstraZeneca, Novo Nordisk A/S, Amgen Inc.. Research Support; Self; Servier. Speaker9s Bureau; Self; AstraZeneca, Novo Nordisk A/S, Amgen Inc., Servier. Other Relationship; Self; International Society of Hypertension. R.E. Pratley: Other Relationship; Self; AstraZeneca, Boehringer Ingelheim Pharmaceuticals, Inc., Eisai Inc., GlaxoSmithKline plc., Janssen Pharmaceuticals, Inc., Lexicon Pharmaceuticals, Inc., Ligand Pharmaceuticals, Inc., Eli Lilly and Company, Merck & Co., Inc., Novo Nordisk Inc., Pfizer Inc., Sanofi-Aventis, Takeda Development Center Americas, Inc. H. Stegmann: Employee; Self; Novo Nordisk A/S. Stock/Shareholder; Self; Novo Nordisk A/S. H. Bosch-Traberg: Employee; Self; Novo Nordisk A/S. Stock/Shareholder; Self; Novo Nordisk A/S. E. Startseva: Employee; Self; Novo Nordisk A/S. B. Zinman: Consultant; Self; Novo Nordisk A/S, Boehringer Ingelheim Pharmaceuticals, Inc., AstraZeneca, Eli Lilly and Company, Janssen Pharmaceuticals, Inc., Sanofi, Merck & Co., Inc., Abbott.","In basal insulin-treated patients with T2D and high CV risk, treatment with liraglutide improved glycemic control, reduced body weight and halved the severe hypoglycemia risk, with a similar CV risk reduction to patients not on insulin."
"Effects of glucagon-like peptide-1 receptor agonists liraglutide and semaglutide on cardiovascular and renal outcomes across body mass index categories in type 2 diabetes: Results of the LEADER and SUSTAIN 6 trials.","https://scispace.com/paper/effects-of-glucagon-like-peptide-1-receptor-agonists-1ep7khr2hk","2020","Journal Article","Diabetes, Obesity and Metabolism","Subodh Verma
Darren K. McGuire
Stephen C. Bain
Deepak L. Bhatt
Lawrence A. Leiter
C. David Mazer
Tea Monk Fries
Richard E. Pratley
Søren Rasmussen
Hrvoje Vrazic
Bernard Zinman
John B. Buse","10.1111/DOM.14160","https://scispace.com/pdf/effects-of-glucagon-like-peptide-1-receptor-agonists-1ep7khr2hk.pdf","Associations between body mass index (BMI) and the cardiovascular (CV) and kidney efficacy of glucagon-like peptide-1 receptor agonists (GLP-1 RAs) in patients with type 2 diabetes (T2D) are uncertain; therefore, data analysed separately from the Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER) trial and the Trial to Evaluate Cardiovascular and Other Long-term Outcomes with Semaglutide in Subjects with Type 2 Diabetes (SUSTAIN 6) were examined. These international, randomized, placebo-controlled trials investigated liraglutide and semaglutide (both subcutaneous) in patients with T2D and at high risk of CV events. In post hoc analyses, patients were categorized by baseline BMI (<25, ≥25-<30, ≥30-<35 and ≥35 kg/m2 ), and CV and kidney outcomes with GLP-1 RA versus placebo were analysed. All baseline BMI data from LEADER (n = 9331) and SUSTAIN 6 (n = 3290) were included (91% and 92% of patients with overweight or obesity, respectively). In SUSTAIN 6, nominally significant heterogeneity of semaglutide efficacy by baseline BMI was observed for CV death/myocardial infarction/stroke (major adverse CV events, primary outcome of both; Pinteraction = .02); otherwise, there was no statistical heterogeneity for either GLP-1 RA versus placebo across BMI categories for key CV and kidney outcomes. The lack of statistical heterogeneity from these cardiorenal outcomes implies that liraglutide and semaglutide may be beneficial for many patients and is probable not to depend on their baseline BMI, but further study is needed.","The lack of statistical heterogeneity from these cardiorenal outcomes implies that liraglutide and semaglUTide may be beneficial for many patients and is probable not to depend on their baseline BMI, but further study is needed."
"Effects of Liraglutide on Cardiovascular Outcomes in Type 2 Diabetes Patients With and Without Baseline Metformin Use: Post Hoc Analyses of the LEADER Trial.","https://scispace.com/paper/effects-of-liraglutide-on-cardiovascular-outcomes-in-type-2-3wyqkygb99","2020","Journal Article","Diabetes Care","Matthew J Crowley
Matthew J Crowley
Darren K. McGuire
Anastasia-Stefania Alexopoulos
Anastasia-Stefania Alexopoulos
Thomas Jensen
Søren Rasmussen
Hans A. Saevereid
Subodh Verma
John B. Buse","10.2337/DC20-0437","https://scispace.com/pdf/effects-of-liraglutide-on-cardiovascular-outcomes-in-type-2-3wyqkygb99.pdf","Glucagon-like peptide 1 receptor agonists (GLP-1RAs) reduce cardiovascular (CV) events among patients with type 2 diabetes and high CV risk. Because consensus professional society recommendations endorse metformin as the first-line medication for type 2 diabetes, the CV efficacy of GLP-1RAs has primarily been studied with background metformin therapy (1). However, the European Society of Cardiology now recommends GLP-1RAs as a first-line type 2 diabetes treatment for patients at high CV risk (2). These discordant recommendations raise the question of how background metformin might influence the CV benefits of GLP-1RAs. Using data from the LEADER trial, we sought to answer this question by exploring possible heterogeneity in the CV efficacy of liraglutide related to baseline metformin treatment (3).

The Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER) trial (NCT01179048, ClinicalTrials.gov) has been described elsewhere (3). Patients with type 2 diabetes and high CV risk underwent double-blind randomization to daily liraglutide versus placebo in addition to existing care.

Each patient contributed data from randomization until censoring. The primary outcome was time from randomization to first occurrence of a composite of CV death, myocardial infarction, or stroke. Prespecified secondary outcomes included an expanded composite (primary plus coronary revascularization or hospitalization for unstable angina or heart failure), the composite components, and all-cause death. All outcomes were centrally adjudicated.

Metformin treatment was identified at the baseline trial visit and each visit thereafter. Within each baseline metformin treatment subgroup, effect estimates for liraglutide versus placebo (hazard ratio [HR], 95% CI) were derived using Cox proportional hazards regression models; multivariable adjustment for baseline demographic and clinical factors was performed. Inverse probability for treatment weighting (IPTW) was used to account for imbalances in covariates between baseline metformin treatment subgroups (4). For multivariable analyses with IPTW, heterogeneity in the association between baseline metformin …","The LEADER trial data were sought to answer the question of how background metformin might influence the CV benefits of GLP-1RAs by exploring possible heterogeneity in the CV efficacy of liraglutide related to baseline met formin treatment."
"A Randomized, Controlled Trial of 3.0 mg of Liraglutide in Weight Management","https://scispace.com/paper/a-randomized-controlled-trial-of-3-0-mg-of-liraglutide-in-4r2cnsnret","2015","Journal Article","The New England Journal of Medicine","Xavier Pi-Sunyer
Arne Astrup
Ken Fujioka
Frank L. Greenway
Alfredo Halpern
Michel Krempf
David C.W. Lau
Carel W. le Roux
Rafael Violante Ortiz
Christine B. Jensen
John P.H. Wilding","10.1056/NEJMOA1411892","https://scispace.com/pdf/a-randomized-controlled-trial-of-3-0-mg-of-liraglutide-in-4r2cnsnret.pdf","BACKGROUND Obesity is a chronic disease with serious health consequences, but weight loss is difficult to maintain through lifestyle intervention alone. Liraglutide, a glucagonlike peptide-1 analogue, has been shown to have potential benefit for weight management at a once-daily dose of 3.0 mg, injected subcutaneously. METHODS We conducted a 56-week, double-blind trial involving 3731 patients who did not have type 2 diabetes and who had a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of at least 30 or a BMI of at least 27 if they had treated or untreated dyslipidemia or hypertension. We randomly assigned patients in a 2:1 ratio to receive once-daily subcutaneous injections of liraglutide at a dose of 3.0 mg (2487 patients) or placebo (1244 patients); both groups received counseling on lifestyle modification. The coprimary end points were the change in body weight and the proportions of patients losing at least 5% and more than 10% of their initial body weight. RESULTS At baseline, the mean (±SD) age of the patients was 45.1±12.0 years, the mean weight was 106.2±21.4 kg, and the mean BMI was 38.3±6.4; a total of 78.5% of the patients were women and 61.2% had prediabetes. At week 56, patients in the liraglutide group had lost a mean of 8.4±7.3 kg of body weight, and those in the placebo group had lost a mean of 2.8±6.5 kg (a difference of −5.6 kg; 95% confi dence interval, −6.0 to −5.1; P<0.001, with last-observation-carried-forward impu tation). A total of 63.2% of the patients in the liraglutide group as compared with 27.1% in the placebo group lost at least 5% of their body weight (P<0.001), and 33.1% and 10.6%, respectively, lost more than 10% of their body weight (P<0.001). The most frequently reported adverse events with liraglutide were mild or moderate nausea and diarrhea. Serious events occurred in 6.2% of the patients in the liraglutide group and in 5.0% of the patients in the placebo group. CONCLUSIONS In this study, 3.0 mg of liraglutide, as an adjunct to diet and exercise, was associated with reduced body weight and improved metabolic control. (Funded by Novo Nordisk; SCALE Obesity and Prediabetes NN8022-1839 ClinicalTrials.gov number, NCT01272219.)","3.0 mg of liraglutide, as an adjunct to diet and exercise, was associated with reduced body weight and improved metabolic control in patients with type 2 diabetes and prediabetes."
