"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Tirzepatide: A Promising Drug for Type 2 Diabetes and Beyond","https://scispace.com/paper/tirzepatide-a-promising-drug-for-type-2-diabetes-and-beyond-1pmm3w76","2023","Journal Article","Cureus","Suganya Giri Ravindran
Aakash Baskar","10.7759/cureus.38379","https://scispace.com/pdf/tirzepatide-a-promising-drug-for-type-2-diabetes-and-beyond-1pmm3w76.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews tirzepatide’s efficacy, noting dose‑dependent weight loss, cardiovascular outcome data from SURPASS and SURMOUNT trials, and reports on its adverse‑event profile.","Tirzepatide is a promising drug with dual-acting glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide 1 (GLP-1) receptor activation that has revolutionized the treatment of type 2 diabetes mellitus (T2DM) as an adjunct to diet and exercise. In phase 3 clinical trials (SURPASS 1-5), the dose-dependent efficacy and safety of tirzepatide were assessed by once-weekly subcutaneous injection (5 mg, 10 mg, and 15 mg), as monotherapy or combination therapy, in individuals with T2DM. Tirzepatide has been shown to achieve better glycemic control in terms of glycosylated hemoglobin reduction and improved fasting and postprandial glucose levels as compared to other diabetic medications. Moreover, the studies demonstrate a reduction in body weight (-6.2 to -12.9 kg), and other cardiovascular benefits by altering the lipid profile, reducing blood pressure, and visceral adiposity. Tirzepatide has acceptable side effects and is well tolerated, with a low risk of hypoglycemia. The SURPASS 4 clinical trial has shown positive cardiovascular outcomes in people with T2DM and elevated cardiovascular risk. Additionally, encouraging results from SURMOUNT trials and ongoing SURPASS-CVOT studies will shed more light on cardiovascular safety in the future. In this review, we have summarized the clinical trials and their respective outcomes and highlighted the potential future indications for tirzepatide in the management of obesity, heart failure, and nonalcoholic steatohepatitis.","In the SURMOUNT-1 trial, tirzepatide led to significant weight reduction at 72 weeks:
- 5 mg: -15.0% mean weight reduction.
- 10 mg: -19.5% mean weight reduction.
- 15 mg: -20.9% mean weight reduction.
- Placebo: -3.1% mean weight reduction.
- Proportion achieving ≥5% weight loss: 85% (5 mg), 89% (10 mg), 91% (15 mg).
- Proportion achieving ≥20% weight loss: 48% (5 mg), 67% (10 mg), 71% (15 mg).","The SURPASS 4 clinical trial showed tirzepatide did not increase cardiovascular risk. A prespecified meta-analysis of SURPASS T2DM clinical development program concluded tirzepatide was not linked to an increased risk for cardiovascular events (MACE, cardiovascular death, myocardial infarction, stroke) in people with T2DM. No specific hazard ratios or confidence intervals are reported for these outcomes. Heart failure outcomes are not addressed.","Tirzepatide has acceptable side effects and is well tolerated, with a low risk of hypoglycemia. Nausea rates were 17-22%, diarrhea 13-16%, and vomiting 6-10% for tirzepatide (5 mg, 10 mg, 15 mg). Serious adverse events were 5-7% across tirzepatide groups, compared to 3% for semaglutide. The overall mortality rate was low, with 41 deaths in tirzepatide groups and 39 in others across all trials, 19 of which were COVID-19 related."
"Tirzepatide and cardiometabolic parameters in obesity: Summary of current evidence","https://scispace.com/paper/tirzepatide-and-cardiometabolic-parameters-in-obesity-xjfaeznn5yms","2025","Journal Article","Diabetes, Obesity and Metabolism","Naveed Sattar
Luis‐Emilio García‐Pérez
Ángel Rodríguez
R. Kapoor
Adam Stefański
Emily R. Hankosky","10.1111/dom.16549","https://dom-pubs.onlinelibrary.wiley.com/doi/pdf/10.1111/dom.16549","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Summarizes tirzepatide’s effects on weight loss, cardiometabolic and cardiovascular outcomes, reports adverse events, and references SURMOUNT trial data.","Abstract Globally, cardiovascular diseases (CVDs) account for around one‐third of all deaths. Clinical trial evidence suggests that treatment of people with obesity or type 2 diabetes (T2D) and CVD with glucagon‐like peptide‐1 (GLP‐1) receptor agonists reduces the risk of major adverse cardiovascular events, heart failure outcomes and all‐cause mortality. Tirzepatide is a once‐weekly, dual glucose‐dependent insulinotropic polypeptide (GIP) and GLP‐1 receptor agonist that has demonstrated dose‐dependent efficacy in people with obesity, T2D or both, in terms of glycaemic control and bodyweight reduction in clinical trials. This narrative review summarizes the current evidence regarding the effects of tirzepatide treatment on cardiometabolic parameters, including lipid profile, blood pressure and markers of renal function. Additionally, it summarizes the reported impact of tirzepatide treatment on other relevant parameters, such as body composition, liver fat, progression to T2D among individuals with prediabetes, and incidence of heart failure events. Considering the changing landscape of clinical trial evidence of tirzepatide's effects, this review aims to compile the available evidence, which suggests a promising outlook for the cardiometabolic benefits of tirzepatide. ","No weight loss data reported.","Clinical trial evidence suggests GLP-1 receptor agonists reduce major adverse cardiovascular events (MACE), heart failure outcomes, and all-cause mortality in people with obesity or T2D and CVD. Tirzepatide's impact on heart failure events is summarized. No specific numerical values for MACE, cardiovascular death, myocardial infarction, stroke, or hazard ratios are reported in the metadata.","No adverse event data, including gastrointestinal adverse events, discontinuation rates, serious adverse events, or other safety concerns, is reported in the provided metadata for tirzepatide."
"Cardiovascular effects of tirzepatide","https://scispace.com/paper/cardiovascular-effects-of-tirzepatide-i8tkcf3pcqd8","2025","Journal Article","Journal of Endocrinology","Priya Sumithran
Anthony Russell
Sophia Zoungas","10.1530/joe-24-0259","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses tirzepatide’s effects on weight loss, cardiovascular safety, gastrointestinal adverse events, and cites SURMOUNT-1 trial data.","Tirzepatide is a first-in-class dual agonist at receptors for glucagon-like peptide-1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP) for the treatment of T2D and obesity with unprecedented efficacy for glycaemic control and reductions in body weight as well as improvements in blood pressure and lipid profile compared with placebo and GLP-1 receptor agonists. To date, clinical trials of tirzepatide have fulfilled the requirement by regulatory authorities of demonstrated cardiovascular safety in high-risk patients. Whether cardiovascular benefits will be found with dual GLP-1/GIP receptor agonists remains uncertain, and the contribution of GIP receptor activation to cardiovascular risk has not been established. Several ongoing large-scale cardiovascular outcome trials for tirzepatide will provide a clearer understanding of where tirzepatide should be positioned in the treatment of established atherosclerotic cardiovascular disease or people at high risk, in relation to current standard of care cardioprotective agents and approaches. ","No specific numerical data on mean/median percent weight loss, dose used, duration of treatment, or proportion of patients achieving ≥5%, ≥10%, ≥15% weight loss for tirzepatide is reported. The paper mentions ""reductions in body weight"" with ""unprecedented efficacy"" but does not provide quantitative outcomes.

No weight loss data reported.","Tirzepatide has demonstrated cardiovascular safety in high-risk patients. Whether cardiovascular benefits will be found remains uncertain, with ongoing large-scale cardiovascular outcome trials expected to provide a clearer understanding. Specific numerical values for MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals are not reported.","The paper states that clinical trials of tirzepatide have fulfilled regulatory requirements for demonstrated cardiovascular safety in high-risk patients. However, it does not provide specific data on gastrointestinal adverse events, discontinuation rates, serious adverse events, or other notable safety concerns.

No adverse event data reported."
"Cardiovascular outcomes of semaglutide and tirzepatide in type 2 diabetes mellitus and obesity: a systematic review and meta-analysis","https://scispace.com/paper/0T7vSl0XQzoJ","","","","XY Zhou
Q Wu
H Lu
JJ Xie
YF Zhang
Y Xu","","https://link.springer.com/content/pdf/10.1186/s13098-026-02163-7_reference.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews tirzepide’s weight loss effects, cardiovascular outcomes, adverse events, and cites SURMOUNT trial data in a systematic meta‑analysis.","","No weight loss data reported.","No cardiovascular outcomes data reported. The abstract is empty, and the snippet mentions ""cardiovascular outcomes"" in the context of the paper's review, but no specific numerical data for MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios for tirzepatide is present in the metadata.","Not available in metadata."
"Cardiovascular adverse event reporting profile of tirzepatide: a real-world pharmacovigilance analysis of heart failure, arrhythmias, and ischemic events","https://scispace.com/paper/Pa8EkFq9LrAJ","","","","D Chen
Z Wang
Z Xie
Y Chen
S Luo","","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes tirzepatide’s cardiovascular adverse events (heart failure, arrhythmias, ischemic events) and references SURMOUNT-2 obesity trial, covering weight loss and broader safety profile.","","No weight loss data reported. The metadata mentions ""SURMOUNT-2 obesity trial, covering weight loss"" but does not provide specific numerical outcomes for percent body weight reduction, dose used, duration of treatment, or proportion of patients achieving specific weight loss thresholds.","No cardiovascular outcomes data reported.","The paper analyzes tirzepatide’s cardiovascular adverse events including heart failure, arrhythmias, and ischemic events. It references SURMOUNT-2 obesity trial, covering weight loss and broader safety profile. The snippet mentions ""Number of reports containing all other adverse events for tirzepatide"". Specific percentages or rates for gastrointestinal adverse events, discontinuation rates, or serious adverse events are not detailed."
"Medicatie voor obesitas: vooruitgang en uitdagingen","https://scispace.com/paper/medicatie-voor-obesitas-vooruitgang-en-uitdagingen-3a0dtgb0fd4b","2024","Journal Article","Nederlands tijdschrift voor diabetologie","Marcel H.A. Muskiet
Mariëtte R. Boon","10.1007/s12467-024-1569-4","https://scispace.compdf/medicatie-voor-obesitas-vooruitgang-en-uitdagingen-3a0dtgb0fd4b.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses tirzepatide data from SURMOUNT trials showing 16‑22% weight loss; also notes GI adverse events and improved cardiometabolic risk factors.","","Tirzepatide (10 and 15 mg) in SURPASS-2 showed a relative weight reduction of up to -5.5 kg compared to semaglutide 1.0 mg. In SURMOUNT-1, tirzepatide resulted in 16.0-22.5% weight loss over 72 weeks. In patients with T2DM, tirzepatide led to 40-69% achieving ≥10% weight loss.","Tirzepatide's cardiovascular safety is being investigated in the SURPASS-CVOT study (NCT04255433) for T2DM and cardiovascular disease patients, and SURMOUNT-MMO (NCT05556512) for obesity. Its effects on heart failure are studied in SUMMIT (NCT04847557). No specific MACE, cardiovascular death, myocardial infarction, stroke, or hazard ratio data for tirzepatide are reported in this paper.","Tirzepatide's most reported side effects were gastrointestinal, including nausea, diarrhea, and vomiting. Most were mild to moderate and improved over time. Only 4-7% of participants in SURMOUNT-1 and -2 stopped medication due to side effects. The paper does not specify serious adverse events for tirzepatide."
"Tirzepatide in obesity management: efficacy and safety - insights from recent clinical trials","https://scispace.com/paper/tirzepatide-in-obesity-management-efficacy-and-safety-7hoijke163lx","2024","Journal Article","Archiv EuroMedica","Jakub Cecot
Konrad Zarzecki
Miłosz Mandryk
Agnieszka Parfianowicz
Jakub Plizga
Agnieszka Głuszczyk
Alicja Surma
Martyna Dilaj
Nazar Holdun
Filip Grajnert","10.35630/2024/14/4.412","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses tirzepatide's weight loss efficacy and adverse events, citing SURMOUNT trials; does not address cardiovascular outcomes.","Aims: This study aims to evaluate the efficacy and safety of tirzepatide, a dual agonist of glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP-1) receptors, in promoting weight loss in patients with obesity. Methods: A comprehensive literature review was conducted using PubMed and Google Scholar databases for articles published between 2020 and 2024. Keywords included tirzepatide, LY3298176, tirzepatide obesity, tirzepatide side effects, and tirzepatide adverse effects. Studies included were randomized, placebo-controlled, and involved patients with a body mass index (BMI) ≥ 30 kg/m² or ≥ 27 kg/m² with at least one weight-related comorbidity. Results: Analysis covered 5,385 participants from phase 2 and 3 trials, with 3,517 treated with tirzepatide and 1,868 receiving placebo. Tirzepatide demonstrated significant weight reduction across studies: SURMOUNT-1 (15.0%, 19.5%, 20.9% weight loss for 5, 10, 15 mg doses respectively), SURMOUNT-2 (12.8%, 14.7% for 10, 15 mg doses), NASH SYNERGY (10.7%, 13.3%, 15.6% for 5, 10, 15 mg doses), and SURMOUNT-OSA (17.7%, 19.6% for maximum tolerated dose). Adverse effects were mostly gastrointestinal, with nausea, diarrhea, and vomiting being the most common, leading to a discontinuation rate of 4.6%. Conclusions: Tirzepatide demonstrates superior efficacy in weight management compared to existing treatments, with an acceptable safety profile. Its dual agonist action offers a promising therapeutic option for obesity, warranting further research into its long-term benefits and impacts on obesity-related comorbidities. ","Tirzepatide demonstrated significant weight reduction: SURMOUNT-1 showed 15.0%, 19.5%, 20.9% weight loss for 5, 10, 15 mg doses respectively. SURMOUNT-2 reported 12.8%, 14.7% for 10, 15 mg doses. NASH SYNERGY achieved 10.7%, 13.3%, 15.6% for 5, 10, 15 mg doses, and SURMOUNT-OSA 17.7%, 19.6% for maximum tolerated dose. Duration and specific proportion data are not detailed in the metadata.","No cardiovascular outcomes data reported. The paper focuses on weight reduction and gastrointestinal adverse effects, not specific cardiovascular event rates or hazard ratios.","Adverse effects were mostly gastrointestinal, with nausea, diarrhea, and vomiting being the most common. These led to a discontinuation rate of 4.6%. The metadata does not provide specific percentages for individual gastrointestinal events or mention serious adverse events."
"Safety and Effectiveness of Tirzepatide Use in Obesity Without Type 2 Diabetes Mellitus","https://scispace.com/paper/safety-and-effectiveness-of-tirzepatide-use-in-obesity-b60gb8zfy3","2024","Journal Article","Cureus","Ali M Al Zweihary","10.7759/cureus.51788","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews tirzepatide’s weight loss benefits, cardiovascular improvements, and mild gastrointestinal adverse events in non‑diabetic obesity, but does not reference SURMOUNT trials.","The challenge of obesity persists globally, requiring effective and safe treatment solutions. This literature review investigates the safety and effectiveness of tirzepatide, a new therapeutic agent, in managing obesity in patients who do not have type 2 diabetes mellitus (T2DM). A thorough search through electronic databases resulted in 25 relevant studies, among which 10 met the inclusion criteria. The results consistently demonstrate that tirzepatide for obese individuals without T2DM leads to significant weight loss, improved metabolic parameters, and better cardiovascular health. Adverse effects were generally mild and temporary, with gastrointestinal disturbances being the most frequent problem experienced by participants. These findings indicate the potential for adopting tirzepatide as a therapy option for non-diabetic individuals with obesity. However, further long-term research is necessary to determine its sustained efficacy and remain secure over time.","The paper states that tirzepatide leads to ""significant weight loss"" for obese individuals without T2DM. However, specific numerical values for mean/median percent weight loss, dose used, duration of treatment, or the proportion of patients achieving ≥5%, ≥10%, or ≥15% weight loss are not reported in the metadata. No weight loss data reported.","The paper states that tirzepatide for obese individuals without T2DM leads to improved metabolic parameters and better cardiovascular health. However, specific numerical data for MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals are not reported in the metadata.","Adverse effects were generally mild and temporary, with gastrointestinal disturbances being the most frequent problem experienced by participants. The metadata does not provide specific percentages or rates for gastrointestinal adverse events, discontinuation rates, or serious adverse events. No other notable safety concerns are mentioned beyond mild and temporary adverse effects."
"SAT658 Tirzepatide Reduces The Predicted Risk Of Developing Atherosclerotic Cardiovascular Disease: A Post-hoc Analysis Of The Surmount-1 Trial","https://scispace.com/paper/sat658-tirzepatide-reduces-the-predicted-risk-of-developing-44ftwmolyp","2023","Journal Article","Journal of the Endocrine Society","Emily R. Hankosky
Hui Wang
Neff M Lisa
Hongjun Kan
Fangyu Wang
Nadia Ahmad
Adam Stefański
W. Timothy Garvey","10.1210/jendso/bvad114.106","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses tirzepatide data from SURMOUNT-1 to show weight loss and reduced predicted ASCVD risk, but does not report adverse events.","Abstract Disclosure: E.R. Hankosky: Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. H. Wang: Other; Self; Eli Lilly &amp; Company. N.M. Lisa: Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. H. Kan: Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. F. Wang: Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. N.N. Ahmad: Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. A. Stefanski: Grant Recipient; Self; Eli Lilly &amp; Company. Employee; Self; Eli Lilly &amp; Company. Stock Owner; Self; Eli Lilly &amp; Company. W. Garvey: Consulting Fee; Self; Eli Lilly &amp; Company, Novo Nordisk, Boehringer Ingelheim, Pfizer, Inc., Fractyl Laboratories, Merck. Grant Recipient; Self; Eli Lilly &amp; Company, Novo Nordisk, Pfizer, Inc. Background: Tirzepatide (TZP) resulted in substantial and sustained body weight reduction among participants with obesity or overweight in SURMOUNT-1, a phase 3 randomized clinical trial. Using predictive modelling, the current study assessed the impact of TZP treatment on the 10-year risk of developing atherosclerotic cardiovascular disease (ASCVD) among SURMOUNT-1 participants. Methods: The American College of Cardiology/American Heart Association (ACC/AHA) risk engine was applied to data from SURMOUNT-1 participants free of ASCVD at baseline. ASCVD risk scores were calculated at baseline, 24, and 72 weeks. The model inputs were age, total cholesterol, high density lipoprotein, systolic blood pressure, hypertension treatment, diabetes, and smoking status. Mean percent change in the 10-year risk score from baseline to week 72 was compared between TZP groups and placebo (PBO) using Mixed Model for Repeated Measures (MMRM), adjusted for baseline risk scores and country; risk scores were analyzed on log-scale. Since the risk score was low in the overall SURMOUNT-1 population, a subgroup analysis was conducted in participants with higher ASCVD risk at baseline (score≥7.5%, ACC/AHA intermediate-to-high risk). Results: A total of 2461 participants (TZP 5 mg, n=614; 10 mg, n=616; 15 mg, n=609; PBO, n=622) were included (mean age=45 years; female=68%; White=70%). At baseline, the median 10-year predicted risk score ranged from 1.5%–1.6% and did not differ across treatment groups. Median absolute risk scores for TZP 5/10/15 mg and PBO groups were 1.4%, 1.2%, 1.3%, and 1.6% at week 24, and 1.3%, 1.2%, 1.1%, and 1.7% at week 72, respectively. At week 72, MMRM-estimated relative change in risk from baseline was -16.4%, -23.5%, -22.4%, and 12.7% for TZP 5/10/15mg and PBO, leading to significantly greater reduction for TZP groups compared to PBO (TZP 5 mg: -25.8%; 10 mg: -32.1%; 15 mg: -31.1%; p≤0.001). Among 272 participants (TZP 5 mg, n=83; 10 mg, n=66; 15 mg, n=55; PBO, n=68) with intermediate-to-high baseline ASCVD risk, median risk scores for TZP 5/10/15 mg and PBO groups were: baseline: 11.3%, 10.5%, 10.9%, 10.1%; week 72: 11.3%, 9.0%, 10.3%, 11.7%, respectively. MMRM-estimated relative risk reduction at week 72 was -10.3%, -20.6%, -16.1%, and 6.4% for TZP 5/10/15 mg and PBO groups, respectively. Consistent with the primary analysis, relative risk reduction was significantly greater in TZP groups compared to PBO (TZP 5 mg = -15.7%; 10 mg = -25.3%; 15 mg = -21.1%; p≤0.01). Conclusion: TZP treatment significantly reduced the 10-year predicted risk of developing ASCVD compared to PBO, though the magnitude of reduction in absolute risk scores was small due to low baseline risk in the overall population. Among participants with higher ASCVD risk at baseline, TZP treatment resulted in larger absolute reductions in risk along with significant relative risk reduction consistent with the primary analysis. Presentation: Saturday, June 17, 2023 ","Not available in metadata. The paper states Tirzepatide resulted in substantial and sustained body weight reduction but does not provide specific mean/median percent weight loss, nor the proportion of patients achieving specific weight loss percentages (e.g., ≥5%, ≥10%, ≥15%). It mentions treatment duration of 72 weeks and doses of 5 mg, 10 mg, and 15 mg.","Tirzepatide significantly reduced the 10-year predicted risk of developing atherosclerotic cardiovascular disease (ASCVD). At week 72, the relative change in risk from baseline was -16.4%, -23.5%, -22.4% for TZP 5/10/15mg, respectively, compared to 12.7% for placebo. For participants with higher baseline ASCVD risk, relative risk reduction was -10.3%, -20.6%, -16.1% for TZP 5/10/15 mg, versus 6.4% for placebo. No data on MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals were reported.","No adverse event data reported."
"US Population Eligibility and Estimated Impact of Tirzepatide Treatment on Obesity Prevalence and Cardiovascular Disease Events","https://scispace.com/paper/us-population-eligibility-and-estimated-impact-of-5aeccyv66m","2024","Journal Article","Cardiovascular Drugs and Therapy","Nathan D. Wong
Hridhay Karthikeyan
Wenjun Fan","10.1007/s10557-024-07583-z","https://scispace.compdf/us-population-eligibility-and-estimated-impact-of-5aeccyv66m.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses tirzepatide weight‑loss data from SURMOUNT‑1 to estimate US obesity prevalence reduction and 10‑year CVD risk decline; does not report adverse events.","Abstract Purpose Tirzepatide promotes weight loss and reduces risk factors for cardiovascular disease (CVD) in adults with overweight and obesity. We examined the number of US adults eligible for tirzepatide and its impact on obesity and CVD events. Methods We identified US adults aged ≥ 18 years from the cross-sectional US National Health and Nutrition Examination Survey (NHANES) 2015–2018 eligible for tirzepatide based on SURMOUNT-1 trial eligibility criteria. Weight changes in SURMOUNT-1 from tirzepatide 15 mg treatment were used to project the impact on weight change and obesity prevalence in the population assuming titration to this dosage. We estimated 10-year CVD risks from BMI-based Framingham CVD risk scores before and after applying tirzepatide 15 mg treatment BMI and risk factor effects from SURMOUNT-1, the differences in estimated risks multiplied by the eligible NHANES weighted population representing the estimated “preventable” CVD events. Results We identified 4015 US adults (estimated population size of 93.4 million [M]) to fit SURMOUNT-1 eligibility criteria, representing 38% of US adults. When the effects of 15 mg tirzepatide were applied, we estimated 70.6% (65.9 M) and 56.7% (53.0 M) of adults to show ≥ 15% and ≥ 20% reductions in weight, respectively, translating to 58.8% (55.0 M) fewer persons with obesity. Among those without CVD, estimated 10-year CVD risks were 10.1% “before” and 7.7% “after” tirzepatide “treatment” reflecting a 2.4% absolute (and 23.6% relative) risk reduction translating to 2.0 million preventable CVD events over 10 years. Conclusion Tirzepatide treatment in appropriate US adults may substantially reduce obesity prevalence and CVD events, impacting beneficially on associated healthcare costs. Graphical Abstract ","Tirzepatide 15 mg treatment in SURMOUNT-1 resulted in up to 20.9% reductions in body weight. The study projected 90.9%, 83.5%, 70.6%, and 56.7% of tirzepatide-treated persons would achieve ≥5%, ≥10%, ≥15%, and ≥20% weight reductions, respectively. These effects were applied to the US population.","No cardiovascular outcomes data for tirzepatide, including MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals, are reported in this paper. The paper mentions that the SURMOUNT-MMO cardiovascular outcomes trial is ongoing and will further inform on the role of these therapies in reducing CVD outcomes.","Not addressed in this paper."
