"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Tirzepatide and cardiometabolic parameters in obesity: Summary of current evidence","https://scispace.com/paper/tirzepatide-and-cardiometabolic-parameters-in-obesity-xjfaeznn5yms","2025","Journal Article","Diabetes, Obesity and Metabolism","Naveed Sattar
Luis‐Emilio García‐Pérez
Ángel Rodríguez
R. Kapoor
Adam Stefański
Emily R. Hankosky","10.1111/dom.16549","https://dom-pubs.onlinelibrary.wiley.com/doi/pdf/10.1111/dom.16549","… the changing landscape of clinical trial evidence of tirzepatide's effects, this … SURMOUNT-1 3-year study reported decreased incidence of gastrointestinal adverse events with tirzepatide …","Abstract Globally, cardiovascular diseases (CVDs) account for around one‐third of all deaths. Clinical trial evidence suggests that treatment of people with obesity or type 2 diabetes (T2D) and CVD with glucagon‐like peptide‐1 (GLP‐1) receptor agonists reduces the risk of major adverse cardiovascular events, heart failure outcomes and all‐cause mortality. Tirzepatide is a once‐weekly, dual glucose‐dependent insulinotropic polypeptide (GIP) and GLP‐1 receptor agonist that has demonstrated dose‐dependent efficacy in people with obesity, T2D or both, in terms of glycaemic control and bodyweight reduction in clinical trials. This narrative review summarizes the current evidence regarding the effects of tirzepatide treatment on cardiometabolic parameters, including lipid profile, blood pressure and markers of renal function. Additionally, it summarizes the reported impact of tirzepatide treatment on other relevant parameters, such as body composition, liver fat, progression to T2D among individuals with prediabetes, and incidence of heart failure events. Considering the changing landscape of clinical trial evidence of tirzepatide's effects, this review aims to compile the available evidence, which suggests a promising outlook for the cardiometabolic benefits of tirzepatide. "
"Comparison of tirzepatide and dulaglutide on major adverse cardiovascular events in participants with type 2 diabetes and atherosclerotic cardiovascular …","https://scispace.com/paper/G4BUCGlvcBsJ","","","","SJ Nicholls
DL Bhatt
JB Buse
S Del Prato","","","… of tirzepatide have not been definitively assessed in a cardiovascular outcomes trial. … determine whether tirzepatide produces a greater CV benefit than dulaglutide (superiority analysis). …",""
"… of major adverse cardiovascular events and all-cause mortality under treatment with GLP-1 RAs or the dual GIP/GLP-1 receptor agonist tirzepatide in overweight or …","https://scispace.com/paper/OGjDHKpa3nUJ","","","","MI Stefanou
L Palaiodimou","","https://journals.sagepub.com/doi/pdf/10.1177/17562864241281903","… The most common adverse events associated with tirzepatide were gastrointestinal, primarily occurring during dose escalation. SURMOUNT-3 was a phase III, double-blind RCT that …",""
"… the predicted risk of atherosclerotic cardiovascular disease and improves cardiometabolic risk factors in adults with obesity or overweight: SURMOUNT‐1 post hoc …","https://scispace.com/paper/fdRRQYoh27kJ","","","","ER Hankosky
H Wang
LM Neff
H Kan","","https://dom-pubs.onlinelibrary.wiley.com/doi/pdf/10.1111/dom.15318","… This was a post hoc analysis of the SURMOUNT-1 clinical trial … between tirzepatide- and placebo-treated groups. Details of the … for a cardiovascular outcomes trial. The duration of the …",""
"Tirzepatide cardiovascular event risk assessment: a pre-specified meta-analysis","https://scispace.com/paper/tirzepatide-cardiovascular-event-risk-assessment-a-pre-gi8nk8rg","2022","Journal Article","Nature Medicine","Naveed Sattar
Darren K. McGuire
Imre Pavo
Govinda Weerakkody
Hiroshi Nishiyama
R. Wiese
Sophia Zoungas","10.1038/s41591-022-01707-4","https://www.nature.com/articles/s41591-022-01707-4.pdf","… Its association with cardiovascular outcomes requires evaluation. This pre-specified … the levels usually explained by weight loss 6,7,8 . Additionally, tirzepatide’s anorexigenic effect …","Tirzepatide is a novel, once weekly, dual GIP/GLP-1 receptor agonist and is under development for the treatment of type 2 diabetes (T2D) and obesity. Its association with cardiovascular outcomes requires evaluation. This pre-specified cardiovascular meta-analysis included all seven randomized controlled trials with a duration of at least 26 weeks from the tirzepatide T2D clinical development program, SURPASS. The pre-specified primary objective of this meta-analysis was the comparison of the time to first occurrence of confirmed four-component major adverse cardiovascular events (MACE-4; cardiovascular death, myocardial infarction, stroke and hospitalized unstable angina) between pooled tirzepatide groups and control groups. A stratified Cox proportional hazards model, with treatment as a fixed effect and trial-level cardiovascular risk as the stratification factor, was used for the estimation of hazard ratios (HRs) and confidence intervals (CIs) comparing tirzepatide to control. Data from 4,887 participants treated with tirzepatide and 2,328 control participants were analyzed. Overall, 142 participants, 109 from the trial with high cardiovascular risk and 33 from the six trials with lower cardiovascular risk, had at least one MACE-4 event. The HRs comparing tirzepatide versus controls were 0.80 (95% CI, 0.57-1.11) for MACE-4; 0.90 (95% CI, 0.50-1.61) for cardiovascular death; and 0.80 (95% CI, 0.51-1.25) for all-cause death. No evidence of effect modifications was observed for any subgroups, although the evidence was stronger for participants with high cardiovascular risk. Tirzepatide did not increase the risk of major cardiovascular events in participants with T2D versus controls. "
"Tirzepatide in Metabolic Diseases: Clinical Efficacy and Safety Beyond Diabetes and Obesity","https://scispace.com/paper/3B_e3adHlREJ","","","","S Dong
Y Xu
R Gan
A Zhang
J He","","","… and SURMOUNT clinical trial programs have consistently demonstrated tirzepatide's … studies to evaluate sustained efficacy and delayed adverse events; (2) mechanistic investigations …",""
"Cardiovascular effects of tirzepatide","https://scispace.com/paper/cardiovascular-effects-of-tirzepatide-i8tkcf3pcqd8","2025","Journal Article","Journal of Endocrinology","Priya Sumithran
Anthony Russell
Sophia Zoungas","10.1530/joe-24-0259","","… with T2D, gastrointestinal adverse events were reported in 40–46% of tirzepatide-treated … In the SURMOUNT-1 trial of tirzepatide with a behavioural intervention, the change in 24-h …","Tirzepatide is a first-in-class dual agonist at receptors for glucagon-like peptide-1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP) for the treatment of T2D and obesity with unprecedented efficacy for glycaemic control and reductions in body weight as well as improvements in blood pressure and lipid profile compared with placebo and GLP-1 receptor agonists. To date, clinical trials of tirzepatide have fulfilled the requirement by regulatory authorities of demonstrated cardiovascular safety in high-risk patients. Whether cardiovascular benefits will be found with dual GLP-1/GIP receptor agonists remains uncertain, and the contribution of GIP receptor activation to cardiovascular risk has not been established. Several ongoing large-scale cardiovascular outcome trials for tirzepatide will provide a clearer understanding of where tirzepatide should be positioned in the treatment of established atherosclerotic cardiovascular disease or people at high risk, in relation to current standard of care cardioprotective agents and approaches. "
"Tirzepatide vs. semaglutide for obesity, glycemic control, and cardiovascular outcomes: a narrative review of clinical trials","https://scispace.com/paper/5Z-ie_ikCzsJ","","","","MH Harbi
AM Ashour
NM Alorfi
MM Aldurdunji","","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1764664/pdf","… favors tirzepatide for weight loss and glycemic control, comparative cardiovascular outcomes … studies were included to supplement the randomized clinical trial data. Utilizing large-scale …",""
"Cardiovascular outcomes of semaglutide and tirzepatide in type 2 diabetes mellitus and obesity: a systematic review and meta-analysis","https://scispace.com/paper/0T7vSl0XQzoJ","","","","XY Zhou
Q Wu
H Lu
JJ Xie
YF Zhang
Y Xu","","https://link.springer.com/content/pdf/10.1186/s13098-026-02163-7_reference.pdf","… , parallel-arm, phase 1 clinical trial. The lancet Diabetes & endocrinology. 2022;10(6):418‐29. … once weekly for the treatment of obesity in people with type 2 diabetes (SURMOUNT-2): a …",""
"Cardiovascular outcomes of semaglutide and tirzepatide for patients with type 2 diabetes in clinical practice","https://scispace.com/paper/cardiovascular-outcomes-of-semaglutide-and-tirzepatide-for-jqka20iigv0f","2025","Journal Article","Nature Medicine","Nils Krüger
Sebastian Schneeweiss
Rishi J. Desai
Sushama Kattinakere-Sreedhara
Kenshiro Fuse
Georg Hahn
Heribert Schunkert
Shirley V. Wang","10.1038/s41591-025-04102-x","https://www.nature.com/articles/s41591-025-04102-x_reference.pdf","… control and weight loss.However, evidence on the cardiovascular benefits of tirzepatide is … To provide timely, complementary evidence, we conducted a comparison of tirzepatide and …","Abstract Cardiovascular outcome trials of the incretin-based medicines tirzepatide and semaglutide have shown benefits in populations with varying levels of cardiovascular risk. However, without direct head-to-head comparisons, treatment decisions rely on indirect evidence from heterogeneous trial populations, leaving optimal treatment choices uncertain. We therefore conducted five cohort studies to assess the effectiveness of tirzepatide and semaglutide in patients with elevated cardiovascular risk, including obesity and type 2 diabetes, enrolled in insurance programs in United States between 2018 and 2025. First, we emulated two cardiovascular outcome trials, SUSTAIN-6 (semaglutide versus sitagliptin as placebo proxy) and SURPASS-CVOT (tirzepatide versus dulaglutide), to benchmark and critically evaluate our design, data, and analytic framework. Second, we assessed each drug in expanded populations reflective of patients routinely seen in clinical practice. Third, we directly compared tirzepatide versus semaglutide. Baseline confounders were balanced using propensity score matching. For the primary composite end point of myocardial infarction, stroke, or all-cause mortality, benchmarking identified high agreement between the reference trials and their emulations for all individual end points except for all-cause mortality in SUSTAIN-6, informing subsequent analyses. In expanded populations, comparing semaglutide versus sitagliptin for the composite outcome of myocardial infarction or stroke yielded a hazard ratio of 0.82 (95% CI, 0.74 to 0.91), and comparing tirzepatide versus dulaglutide for the composite outcome including mortality yielded a hazard ratio of 0.87 (0.75 to 1.01). In the head-to-head comparison of tirzepatide versus semaglutide, the hazard ratio was 1.06 (0.95 to 1.18). These findings support a comparable cardiovascular benefit of tirzepatide and semaglutide in clinical practice and demonstrate how rigorously designed real-world evidence can complement randomized clinical trials. "
