"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Tirzepatide for the Treatment of Obstructive Sleep Apnea and Obesity.","https://scispace.com/paper/38912654","2024","Journal Article","The New England journal of medicine","Malhotra
Grunstein
Fietze
Weaver
Redline
Azarbarzin
Sands
Schwab
Dunn
Chakladar
Bunck
Bednarik","10.1056/NEJMoa2404881","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11598664/pdf","Obstructive sleep apnea is characterized by disordered breathing during sleep and is associated with major cardiovascular complications; excess adiposity is an etiologic risk factor. Tirzepatide may be a potential treatment."
"Tirzepatide as Compared with Semaglutide for the Treatment of Obesity.","https://scispace.com/paper/40353578","2025","Journal Article","The New England journal of medicine","Aronne
Horn
le Roux
Ho
Falcon
Gomez Valderas
Das
Lee
Glass
Senyucel
Dunn","10.1056/NEJMoa2416394","","Tirzepatide and semaglutide are highly effective medications for obesity management. The efficacy and safety of tirzepatide as compared with semaglutide in adults with obesity but without type 2 diabetes is unknown."
"Tirzepatide Once Weekly for the Treatment of Obesity.","https://scispace.com/paper/35658024","2022","Journal Article","The New England journal of medicine","Jastreboff
Aronne
Ahmad
Wharton
Connery
Alves
Kiyosue
Zhang
Liu
Bunck
Stefanski","10.1056/NEJMoa2206038","","Obesity is a chronic disease that results in substantial global morbidity and mortality. The efficacy and safety of tirzepatide, a novel glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, in people with obesity are not known."
"Tirzepatide for Obesity Treatment and Diabetes Prevention.","https://scispace.com/paper/39536238","2025","Journal Article","The New England journal of medicine","Jastreboff
le Roux
Stefanski
Aronne
Halpern
Wharton
Wilding
Perreault
Zhang
Battula
Bunck
Ahmad
Jouravskaya","10.1056/NEJMoa2410819","","Obesity is a chronic disease and causal precursor to myriad other conditions, including type 2 diabetes. In an earlier analysis of the SURMOUNT-1 trial, tirzepatide was shown to provide substantial and sustained reductions in body weight in persons with obesity over a 72-week period. Here, we report the 3-year safety outcomes with tirzepatide and its efficacy in reducing weight and delaying progression to type 2 diabetes in persons with both obesity and prediabetes."
"Tirzepatide for Heart Failure with Preserved Ejection Fraction and Obesity.","https://scispace.com/paper/39555826","2025","Journal Article","The New England journal of medicine","Packer
Zile
Kramer
Baum
Litwin
Menon
Ge
Weerakkody
Ou
Bunck
Hurt
Murakami
Borlaug","10.1056/NEJMoa2410027","","Obesity increases the risk of heart failure with preserved ejection fraction. Tirzepatide, a long-acting agonist of glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptors, causes considerable weight loss, but data are lacking with respect to its effects on cardiovascular outcomes."
"Tirzepatide once weekly for the treatment of obesity in people with type 2 diabetes (SURMOUNT-2): a double-blind, randomised, multicentre, placebo-controlled, phase 3 trial.","https://scispace.com/paper/37385275","2023","Journal Article","Lancet (London, England)","Garvey
Frias
Jastreboff
le Roux
Sattar
Aizenberg
Mao
Zhang
Ahmad
Bunck
Benabbad
Zhang","10.1016/S0140-6736(23)01200-X","","Weight reduction is essential for improving health outcomes in people with obesity and type 2 diabetes. We assessed the efficacy and safety of tirzepatide, a glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, versus placebo, for weight management in people living with obesity and type 2 diabetes."
"Tirzepatide for Weight Reduction in Chinese Adults With Obesity: The SURMOUNT-CN Randomized Clinical Trial.","https://scispace.com/paper/38819983","2024","Journal Article","JAMA","Zhao
Cheng
Lu
Liu
Chen
Zhang
Wang
Yuan
Li","10.1001/jama.2024.9217","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11337071/pdf","Obesity has become a global public health concern and China has the largest number of affected people worldwide."
"Continued Treatment With Tirzepatide for Maintenance of Weight Reduction in Adults With Obesity: The SURMOUNT-4 Randomized Clinical Trial.","https://scispace.com/paper/38078870","2024","Journal Article","JAMA","Aronne
Sattar
Horn
Bays
Wharton
Lin
Ahmad
Zhang
Liao
Bunck
Jouravskaya
Murphy","10.1001/jama.2023.24945","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10714284/pdf","The effect of continued treatment with tirzepatide on maintaining initial weight reduction is unknown."
"Tirzepatide after intensive lifestyle intervention in adults with overweight or obesity: the SURMOUNT-3 phase 3 trial.","https://scispace.com/paper/37840095","2023","Journal Article","Nature medicine","Wadden
Chao
Machineni
Kushner
Ard
Srivastava
Halpern
Zhang
Chen
Bunck
Ahmad
Forrester","10.1038/s41591-023-02597-w","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10667099/pdf","The effects of tirzepatide, a glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, on weight reduction after successful intensive lifestyle intervention are unknown. This double-blind, placebo-controlled trial randomized (1:1) adults with body mass index ≥30 or ≥27 kg/m"
"Efficacy and safety of once-weekly tirzepatide in Japanese patients with obesity disease (SURMOUNT-J): a multicentre, randomised, double-blind, placebo-controlled phase 3 trial.","https://scispace.com/paper/40031941","2025","Journal Article","The lancet. Diabetes & endocrinology","Kadowaki
Kiyosue
Shingaki
Oura
Yokote","10.1016/S2213-8587(24)00377-2","","Data on tirzepatide in Asian patients with obesity are limited. This study aimed to gain a better understanding of tirzepatide for treatment of Japanese patients with obesity disease (BMI ≥25 kg/m"
