"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Improvements in Cardiometabolic Risk Factors by Weight Reduction: A Post Hoc Analysis of Adults With Obesity Randomly Assigned to Tirzepatide","https://scispace.com/paper/improvements-in-cardiometabolic-risk-factors-by-weight-0m3e36es8cn1","2025","Journal Article","Annals of Internal Medicine","Bruno Linetzky
Naveed Sattar
Subodh Verma
Harlan M. Krumholz
Canmao Xie
Hildegard Hoffmann
Sarah Zimner‐Rapuch
Amelia Torcello‐Gómez
Adam Stefański","10.7326/annals-24-02623","","Tirzepatide reduced weight and improved cardiometabolic risk factors for participants in the SURMOUNT-1 trial. The changes in cardiometabolic risk factors by degree of tirzepatide-induced weight reduction across a wide spectrum of weight loss have not been reported. To determine changes in cardiometabolic risk factors by weight reduction. Post hoc analysis of the phase 3, randomized, double-blind, SURMOUNT-1 trial (ClinicalTrials.gov: NCT04184622). 119 sites in 9 countries. Adults (n = 1605) with obesity, or overweight with weight-related complications (excluding diabetes), randomly assigned to tirzepatide treatment groups. Once-weekly tirzepatide, 5, 10, or 15 mg. Changes from baseline to week 72 in cardiometabolic risk factors by weight reduction. Participants had a mean age of 45.4 years (SD, 12.2) and mean body mass index of 37.9 kg/m2 (SD, 6.7), and 68% were female. The greater weight reduction categories had higher percentages of female and White participants. Participants who lost at least 35% of their body weight from baseline to week 72 had mean changes of up to -14.2 mm Hg (95% CI, -16.1 to -12.3 mm Hg) for systolic blood pressure, -9.2 mm Hg (CI, -10.6 to -7.8 mm Hg) for diastolic blood pressure, -32.4 cm (CI, -33.5 to -31.3 cm) for waist circumference, -59.7% (CI, -63.6% to -55.3%) for the homeostatic model assessment of insulin resistance (HOMA-IR), and -0.65 percentage point (CI, -0.70 to -0.61 percentage point) for hemoglobin A1c. The relationship between percentage weight reduction and changes in cardiometabolic risk factors seemed mostly linear for waist circumference and blood pressure, with a steeper slope for systolic than diastolic blood pressure. Decreases in HOMA-IR and hemoglobin A1c were observed even with modest weight reduction, with the steepest effect occurring between less than 5% and less than 20% weight reduction. Improvements in levels of triglycerides, high-density lipoprotein (HDL) cholesterol, low-density lipoprotein cholesterol, and non-HDL cholesterol were primarily observed only after weight reductions greater than 10%. Results were consistent after adjustment for baseline differences. The analysis was post hoc and should be regarded as hypothesis-generating. Duration and sample size precluded evaluation of cardiovascular outcomes. In SURMOUNT-1, tirzepatide-associated improvements in cardiometabolic risk factors positively related to the degree of weight reduction, but the pattern varied depending on outcome measure. Eli Lilly and Company. ","This post hoc analysis of the SURMOUNT-1 trial found that tirzepatide-induced weight reduction was associated with improved cardiometabolic risk factors, with greater weight loss yielding greater improvements in blood pressure, waist circumference, and insulin resistance."
"Tirzepatide in obesity management: efficacy and safety - insights from recent clinical trials","https://scispace.com/paper/tirzepatide-in-obesity-management-efficacy-and-safety-7hoijke163lx","2024","Journal Article","Archiv EuroMedica","Jakub Cecot
Konrad Zarzecki
Miłosz Mandryk
Agnieszka Parfianowicz
Jakub Plizga
Agnieszka Głuszczyk
Alicja Surma
Martyna Dilaj
Nazar Holdun
Filip Grajnert","10.35630/2024/14/4.412","","Aims: This study aims to evaluate the efficacy and safety of tirzepatide, a dual agonist of glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP-1) receptors, in promoting weight loss in patients with obesity. Methods: A comprehensive literature review was conducted using PubMed and Google Scholar databases for articles published between 2020 and 2024. Keywords included tirzepatide, LY3298176, tirzepatide obesity, tirzepatide side effects, and tirzepatide adverse effects. Studies included were randomized, placebo-controlled, and involved patients with a body mass index (BMI) ≥ 30 kg/m² or ≥ 27 kg/m² with at least one weight-related comorbidity. Results: Analysis covered 5,385 participants from phase 2 and 3 trials, with 3,517 treated with tirzepatide and 1,868 receiving placebo. Tirzepatide demonstrated significant weight reduction across studies: SURMOUNT-1 (15.0%, 19.5%, 20.9% weight loss for 5, 10, 15 mg doses respectively), SURMOUNT-2 (12.8%, 14.7% for 10, 15 mg doses), NASH SYNERGY (10.7%, 13.3%, 15.6% for 5, 10, 15 mg doses), and SURMOUNT-OSA (17.7%, 19.6% for maximum tolerated dose). Adverse effects were mostly gastrointestinal, with nausea, diarrhea, and vomiting being the most common, leading to a discontinuation rate of 4.6%. Conclusions: Tirzepatide demonstrates superior efficacy in weight management compared to existing treatments, with an acceptable safety profile. Its dual agonist action offers a promising therapeutic option for obesity, warranting further research into its long-term benefits and impacts on obesity-related comorbidities. ","This study evaluates tirzepatide's efficacy and safety in obesity management, analyzing 5,385 participants from phase 2 and 3 trials, demonstrating significant weight reduction and an acceptable safety profile with gastrointestinal adverse effects."
"Tirzepatide once weekly for the treatment of obesity in people with type 2 diabetes (SURMOUNT-2): a double-blind, randomised, multicentre, placebo-controlled, phase 3 trial","https://scispace.com/paper/tirzepatide-once-weekly-for-the-treatment-of-obesity-in-3f12aosf","2022","Journal Article","The New England Journal of Medicine","W. Timothy Garvey
Ania M. Jastreboff
Carel W. le Roux
Naveed Sattar
Diego Aizenberg
Huzhang Mao
Shuyu Zhang
Nadia N. Ahmad
Mathijs C. Bunck
Imane Benabbad
Xiaotian M. Zhang
Federico C Perez Manghi
Cesar J Zaidman
Marisa Liliana Vico
Pablo R. Costanzo
Leonardo Serra
Ignacio MacKinnon
Miguel N. Hissa
M. Vidotti
José Francisco Kerr Saraiva
B. Alves
Denise Reis Franco
S. Murthy
Ghanshyam Goyal
Yoshimitsu Yamasaki
Nobuyuki Sato
Satoshi Inoue
Taro Asakura
M. Shestakova
E. Khaykina
Ekaterina A. Troshina
Natalia V Vorokhobina
Alexander Ametov
Shih-Te Tu
Chwen-Yi Yang
I. Lee
Chien-Ning Huang
Horng Yih Ou
George Freeman
Sriram Machineni
K Klein
Senan Sultan
Alan A. Parsa
Alexy González
Anuj Bhargava
Susan R. Brian
Carlos Ince
Stephen Plantholt
J. Cole
Dámaris Opazo Vega
José Neuman de Souza
Jane Rohlf
Barry S. Horowitz
Rodolfo J. Galindo
Jamy D. Ard
Brian Curtis
Neil J. Fraser
José M. Mandry
Rizwana Mohseni
Ronald K. Mayfield
Charles B. Vance
Stephen Ong
Alexander Murray
Amer Al-Karadsheh
Tamer G. Yacoub
Kevin Roberts
David Fried
Julio Rosenstock
B. Bode
Juan P. Frias
Leslie J. Klaff
Ronald L. Brazg
Joanna Van
Anjanette Tan
Toby Briskin
M. J. Rhee
Tira Chaicha-Brom
Paul Hartley
L. de Nunez
Gregorio Cortes-Maisonet
G. Soucie
Stanley H. Hsia
Thomas C. Jones","10.1056/nejmoa2206038","","BACKGROUND
Obesity is a chronic disease that results in substantial global morbidity and mortality. The efficacy and safety of tirzepatide, a novel glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, in people with obesity are not known.


METHODS
In this phase 3 double-blind, randomized, controlled trial, we assigned 2539 adults with a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or more, or 27 or more and at least one weight-related complication, excluding diabetes, in a 1:1:1:1 ratio to receive once-weekly, subcutaneous tirzepatide (5 mg, 10 mg, or 15 mg) or placebo for 72 weeks, including a 20-week dose-escalation period. Coprimary end points were the percentage change in weight from baseline and a weight reduction of 5% or more. The treatment-regimen estimand assessed effects regardless of treatment discontinuation in the intention-to-treat population.


RESULTS
At baseline, the mean body weight was 104.8 kg, the mean BMI was 38.0, and 94.5% of participants had a BMI of 30 or higher. The mean percentage change in weight at week 72 was -15.0% (95% confidence interval [CI], -15.9 to -14.2) with 5-mg weekly doses of tirzepatide, -19.5% (95% CI, -20.4 to -18.5) with 10-mg doses, and -20.9% (95% CI, -21.8 to -19.9) with 15-mg doses and -3.1% (95% CI, -4.3 to -1.9) with placebo (P<0.001 for all comparisons with placebo). The percentage of participants who had weight reduction of 5% or more was 85% (95% CI, 82 to 89), 89% (95% CI, 86 to 92), and 91% (95% CI, 88 to 94) with 5 mg, 10 mg, and 15 mg of tirzepatide, respectively, and 35% (95% CI, 30 to 39) with placebo; 50% (95% CI, 46 to 54) and 57% (95% CI, 53 to 61) of participants in the 10-mg and 15-mg groups had a reduction in body weight of 20% or more, as compared with 3% (95% CI, 1 to 5) in the placebo group (P<0.001 for all comparisons with placebo). Improvements in all prespecified cardiometabolic measures were observed with tirzepatide. The most common adverse events with tirzepatide were gastrointestinal, and most were mild to moderate in severity, occurring primarily during dose escalation. Adverse events caused treatment discontinuation in 4.3%, 7.1%, 6.2%, and 2.6% of participants receiving 5-mg, 10-mg, and 15-mg tirzepatide doses and placebo, respectively.


CONCLUSIONS
In this 72-week trial in participants with obesity, 5 mg, 10 mg, or 15 mg of tirzepatide once weekly provided substantial and sustained reductions in body weight. (Supported by Eli Lilly; SURMOUNT-1 ClinicalTrials.gov number, NCT04184622.).","In this 72-week trial in participants with obesity, 5 mg, 10 mg, or 15 mg of tirzepatide once weekly provided substantial and sustained reductions in body weight."
"Abstract 4367801: Tirzepatide Achieves Greater Weight and Blood Pressure Reduction Than Semaglutide in Routine Clinical Practice","https://scispace.com/paper/abstract-4367801-tirzepatide-achieves-greater-weight-and-y6419iqkr1bd","2025","Journal Article","Circulation","Chungsoo Kim
Ania Jastreboff
Harlan Krumholz
Yuan Lu","10.1161/circ.152.suppl_3.4367801","","Introduction: Although trials like SURMOUNT-5 demonstrated tirzepatide’s superiority over semaglutide in patients with obesity, real-world practice includes broader populations and varied use patterns. This study assesses the comparative effectiveness of the two agents on weight and blood pressure in routine clinical care. Methods: We conducted a retrospective cohort study using the Epic Cosmos EHR database covering 300 million patients in the U.S. Adults (≥18 years) with obesity (BMI ≥30 kg/m 2 ) or overweight (BMI ≥27 kg/m 2 ) and at least one obesity-related or cardiovascular comorbidity were included if they initiated injectable semaglutide or tirzepatide between June 2021 and April 2025. Patients with type 2 diabetes were excluded. Eligible patients had baseline weight and BP measurements within 90 days before treatment and follow-up at 3, 6, and 12 months. Only patients with treatment persistence for at least 12 months were included, considering treatment changes and discontinuations. Primary outcomes were percent change in weight and absolute changes in systolic and diastolic BP over 12 months. A subgroup analysis was conducted among patients with hypertension. Results: A total of 12,590 patients were included, with 10,525 receiving semaglutide and 2,065 receiving tirzepatide. The mean (SD) ages were 51.0 (12.7) and 51.7 (12.3) years, and the proportion of female patients was 8,441 (80.2%) and 1,604 (77.7%) in the semaglutide and tirzepatide groups, respectively. Baseline characteristics were similar: BMI 39.8 (7.7) vs. 39.7 (7.8) kg/m 2 , SBP 127.9 (14.6) vs. 128.3 (14.3) mmHg, DBP 79.3 (9.3) vs. 79.8 (9.3) mmHg. Comorbid hypertension was present in 5,824 (55.3%) and 1,101 (53.3%). At 12 months, tirzepatide showed greater reductions in weight (–16.3% [95% CI, –16.7 to –15.9] vs. –11.4% [–11.6 to –11.2]), SBP (–7.8 [–8.4 to –7.1] vs. –5.6 mmHg [–5.9 to –5.3]), and DBP (–3.7 [–4.2 to –3.2] vs. –2.6 mmHg [–2.8 to –2.4]) than semaglutide (Figure 1). Among patients with hypertension, mean SBP reductions were –9.1 (–9.9 to –8.3) mmHg with tirzepatide and –7.0 (–7.4 to –6.6) mmHg with semaglutide. Conclusion: In this large real-world study of patients without diabetes, tirzepatide led to substantially greater weight and blood pressure reductions than semaglutide, reinforcing and extending trial findings to routine clinical practice and highlighting its potential for risk reduction. ",""
"Tirzepatide after intensive lifestyle intervention in adults with overweight or obesity: the SURMOUNT-3 phase 3 trial.","https://scispace.com/paper/tirzepatide-after-intensive-lifestyle-intervention-in-adults-5597u0nekd","2023","Journal Article","news@nature.com","Thomas A Wadden
Ariana M Chao
Sriram Machineni
Robert F Kushner
J. Ard
Gitanjali Srivastava
Bruno Halpern
Shuyu Zhang
Jiaxun Chen
Mathijs C. Bunck
Nadia N Ahmad
Tammy Forrester","10.1038/s41591-023-02597-w","","The effects of tirzepatide, a glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, on weight reduction after successful intensive lifestyle intervention are unknown. This double-blind, placebo-controlled trial randomized (1:1) adults with body mass index ≥30 or ≥27 kg/m2 and at least one obesity-related complication (excluding diabetes), who achieved ≥5.0% weight reduction after a 12-week intensive lifestyle intervention, to tirzepatide maximum tolerated dose (10 or 15 mg) or placebo once weekly for 72 weeks (n = 579). The treatment regimen estimand assessed effects regardless of treatment adherence in the intention-to-treat population. The coprimary endpoint of additional mean per cent weight change from randomization to week 72 was met with changes of -18.4% (standard error (s.e.) 0.7) with tirzepatide and 2.5% (s.e. 1.0) with placebo (estimated treatment difference -20.8 percentage points (95% confidence interval (CI) -23.2%, -18.5%; P < 0.001). The coprimary endpoint of the percentage of participants achieving additional weight reduction ≥5% was met with 87.5% (s.e. 2.2) with tirzepatide and 16.5% (s.e. 3.0) with placebo achieving this threshold (odds ratio 34.6%; 95% CI 19.2%, 62.6%; P < 0.001). The most common adverse events with tirzepatide were gastrointestinal, with most being mild to moderate in severity. Tirzepatide provided substantial additional reduction in body weight in participants who had achieved ≥5.0% weight reduction with intensive lifestyle intervention. ClinicalTrials.gov registration: NCT04657016 . ","Once-weekly treatment with tirzepatide was demonstrated to result in clinically meaningful additional weight loss in adults with overweight or obesity following initial successful weight loss of at least 5% body weight with intensive lifestyle intervention."
"Tirzepatide compared to semaglutide and 10-year cardiovascular disease risk reduction in obesity: Post hoc analysis of the SURMOUNT-5 trial","https://scispace.com/paper/tirzepatide-compared-to-semaglutide-and-10-year-wqp7pf8dn2np","2025","Journal Article","European heart journal open","Mamas Mamas
Harold Bays
Rui Li
Navneet Upadhyay
Tracy Irani
Çağrı Şenyücel
Julia P. Dunn
Hong Liu‐Seifert","10.1093/ehjopen/oeaf117","","Approximately two-thirds of obesity-related mortality is attributable to cardiovascular disease (CVD). The aim of this analysis is to examine predicted CVD risk reduction following weight loss in persons with obesity for primary prevention between tirzepatide and semaglutide, and projected CVD events that could be potentially prevented in the USA. SURMOUNT-5 was a Phase 3b, open-label, randomized trial conducted in participants with obesity and without Type-2 diabetes, comparing tirzepatide (10 or 15 mg) with semaglutide (1.7 or 2.4 mg) and administered via weekly subcutaneous injection. Predicted 10-year CVD risks were compared between treatments at baseline and up to 72 weeks post-treatment among participants without prior CVD. The impact of cardiovascular risk reduction was estimated as the projected preventable CVD events over 10 years for tirzepatide and semaglutide in the USA. The average predicted 10-year CVD risk score before treatment was 9.3%. Treatment with tirzepatide was associated with significantly greater reduction in predicted 10-year CVD risk compared with semaglutide (absolute reduction from baseline of 2.4% and 1.4%, respectively, P < 0.001). Translating risk reduction to the US population who met treatment eligibility criteria and without prior CVD (∼85 million), an estimated 2 million CVD events could be potentially prevented over 10 years after 72 weeks of tirzepatide treatment, vs. 1.15 million with semaglutide. In SURMOUNT-5, treatment with tirzepatide was associated with greater predicted 10-year CVD risk reduction compared with semaglutide. This post hoc analysis suggests tirzepatide treatment may provide greater benefit in primary prevention of CVD than semaglutide in people with obesity and overweight. ClinicalTrials.gov: NCT05822830. ","This post hoc analysis of the SURMOUNT-5 trial found that tirzepatide significantly reduced predicted 10-year cardiovascular disease risk compared to semaglutide in people with obesity, potentially preventing 2 million CVD events over 10 years in the US population."
"Efficacy and safety of once-weekly tirzepatide for weight management compared to placebo: An updated systematic review and meta-analysis including the latest SURMOUNT-2 trial","https://scispace.com/paper/efficacy-and-safety-of-once-weekly-tirzepatide-for-weight-2zu0dwegrn","2024","Journal Article","Endocrine","Wei Qin
Jun Yang
Nie Ying
Chao Deng
Qing Ruan
Jun Ruan
Peng Zhou
Kai Duan","10.1007/s12020-024-03896-z","https://scispace.compdf/efficacy-and-safety-of-once-weekly-tirzepatide-for-weight-2zu0dwegrn.pdf","Abstract Aim Tirzepatide, a newly developed dual glucose-dependent insulinotropic peptide (GIP) and glucagon-like peptide-1 (GLP-1) receptor agonist, has received approval for treating type 2 diabetes (T2D) and is currently being studied for its potential in long-term weight control. We aim to explore the safety and efficacy of once-weekly subcutaneous tirzepatide for weight loss in T2D or obese patients. Methods A comprehensive search was performed on various databases including PubMed, Embase, Cochrane Library, Web of Science, and ClinicalTrials.gov from inception up to April 29, 2024, to identify randomized controlled trials (RCTs) that assessed the efficacy of once-weekly tirzepatide compared to a placebo in adults with or without T2D. The mean difference (MD) and risk ratio (RR) were calculated for continuous and dichotomous outcomes, respectively. The risk of bias was evaluated using the RoB-2 tool (Cochrane), while the statistical analysis was conducted utilizing RevMan 5.4.1 software. Results Seven RCTs comprising 4795 individuals ranging from 12 to 72 weeks were identified. Compared to the placebo group, tirzepatide at doses of 5, 10, and 15 mg demonstrated significant dose-dependent weight loss. The mean difference (MD) in the percentage change in body weight (BW) was −8.07% (95% CI −11.01, −5.13; p &lt; 0.00001), −10.79% (95% CI −13.86, −7.71; p &lt; 0.00001), and −11.83% (95% CI −14.52, −9.14; p &lt; 0.00001), respectively. Additionally, the MD in the absolute change in BW was −7.5 kg (95% CI −10.9, −4.1; p &lt; 0.0001), −11.0 kg (95% CI −16.9, −5.2; p = 0.0002), and −11.5 kg (95% CI −16.2, −6.7; p &lt; 0.00001), for the 5, 10, and 15 mg doses, respectively. All three doses of tirzepatide also significantly reduced body mass index and waist circumference. Furthermore, it led to a greater percentage of patients experiencing weight loss exceeding 5, 10, 15, 20, and 25%. Moreover, tirzepatide showed great success in reducing blood pressure, blood sugar levels, and lipid profiles. In terms of safety, gastrointestinal side effects were the most frequently reported adverse events in all three doses of tirzepatide groups, which were generally mild-to-moderate and transient. Conclusion Tirzepatide treatment could lead to remarkable and sustained weight loss that is well-tolerated and safe, representing a novel and valuable therapeutic strategy for long-term weight management. ","Once-weekly tirzepatide is effective and safe for weight management, demonstrating significant dose-dependent weight loss and favorable safety profile."
"Tirzepatide cardiovascular benefits and adverse events assessment: a Bayesian network meta-analysis","https://scispace.com/paper/tirzepatide-cardiovascular-benefits-and-adverse-events-4x7tzv57zn","2024","Preprint","","Xinyi Gong
Cheng Pan
Yiqun Han
Q.M. Li
Chunhua Song
Yanyan Zhao","10.21203/rs.3.rs-4159026/v1","","Abstract Objective To comprehensively assess the cardiovascular benefits and adverse events of tirzepatide (including different control groups, different dosages and different patients). Method A systematic search was conducted on PubMed, Web of Science,The Cochrane Library and ClinicalTrials.gov. Randomized controlled trials (RCTs) of at least 26 weeks that compared tirzepatide (TZP) at doses of 5mg, 10mg, and 15 mg once weekly with another antihyperglycemic drug or placebo in adults with obesity or type 2 dabetes mellitus(T2DM) were included. Data Synthesis was performed using R 4.2.2 and Stata 18.0 software. Each outcome was presented as a relative risk (RR) with a 95% confidence interval (CI). The results were also displayed using network plots, the surface under the cumulative ranking curve value (SUCRA), league table and forest plot. Results A total of 14 RCTs with 14654 participants with T2DM or obesity were included inthis study. Generally, compared to placebo, insulin and glucagon-like peptide-1 receptor agonists (GLP-1RAs), TZP did not increase the risk of four-component major adverse cardiovascular events (MACE-4) (RR [95% CI], 0.54[0.25 to 1.06], 0.85 [0.45 to 1.81], 1.00 [0.34 to 2.92], respectively) and significantly increased total adverse events(TAEs)(RR[95% CI], 1.09[1.01,1.19], 1.22 [1.11,1.35], 1.03 [0.91,1.16], respectively). Compared to placebo, TZP 5mg, TZP 10mg and TZP 15mg all reduced the incidence of MACE-4 (RR [95% CI], 0.47 [0.23 to 1.12], 0.46 [0.15 to 1.48], 0.38 [0.17 to 0.84], respectively) and increased the risk of TAEs (RR[95% CI] 1.04[0.96,1.13], 1.07[0.99,1.16], 1.10[1.02,1.19], respectively). Compared to GLP-1 RAs, TZP 5 mg, TZP 10 mg, and TZP 15 mg all increased the risk of TAEs(RR [95% CI], 1.01[0.91,1.11], 1.04[0.94,1.14], 1.07[0.97,1.17], respectively) and TZP 15mg reduced the risk of MACE-4 (0.82 [0.31 to 2.22]). Compared to obesity, patients with T2DM experienced greater benefits of MACE-4 (RR[95% CI], 0.44[0.04 to 2.65])and lower risk of TAEs (RR [95% CI], 0.95 [0.77 to 1.24]). Additionlay, TZP reduced all-cause death (ACD) and serious adverse events(SAEs) but increased the risk of DAEs. And these benefits were not superior to those of GLP-1RAs, while the risk of adverse events leading to discontinuation of study treatment (DAEs) was higher than that of GLP-1RAs. TZP 15mg was more effective in reducing ACD and SAEs, but also increased the risk of discontinuation. among patients who use TZP, T2DM patients had greater benefits in ACD and less risk of SAEs and DAEs compared to obeity patients. Conclusions TZP is not inferior to GLP-1 RAs in reducing cardiovascular events. The effect is greater with TZP 15mg, but there are also more adverse events. Additionally, the use of TZP in T2DM patients may have a greater effect and fewer adverse events than in obesity patients. ","Tirzepatide cardiovascular benefits and adverse events assessment: TZP is not inferior to GLP-1 RAs in reducing cardiovascular events. TZP 15mg is more effective in reducing ACD and SAEs, but also increases the risk of discontinuation."
"Tirzepatide: A Novel Cardiovascular Protective Agent in Type 2 Diabetes Mellitus and Obesity.","https://scispace.com/paper/tirzepatide-a-novel-cardiovascular-protective-agent-in-type-4wl4cy6wyo","2024","","Current Problems in Cardiology","Muhammad Bilal Sardar
Zain Ali Nadeem
Muhammad Babar","10.1016/j.cpcardiol.2024.102489","","Cardiovascular disease (CVD) remains a major global health concern, and obesity and diabetes mellitus have been found to be important risk factors. Tirzepatide a dual glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP1) receptor agonist has been shown to have cardioprotective effects. Noteworthy benefits of Tirzepatide include decreased cardiovascular risk factors in people with Type 2 diabetes mellitus (T2DM). In the SURPASS-4 trial, tirzepatide significant decreased blood pressure, body weight, and HbA1c. Furthermore, the SURMOUNT-1 trial demonstrated the effectiveness of tirzepatide in reducing cardiometabolic risk factors in people with obesity without T2DM. Together, the dual receptor agonism improves lipid profiles, increases insulin secretion, reduces inflammation, and promotes endothelial integrity. Tirzepatide shows promise as a comprehensive therapeutic option for managing cardiovascular risk factors in patients with T2DM and obesity. While further studies are needed to assess the long-term cardiovascular benefits, current evidence supports tirzepatide's potential impact on cardiovascular health beyond its antidiabetic properties. ","Tirzepatide, a dual GIP/GLP1 receptor agonist, demonstrates cardioprotective effects in Type 2 diabetes mellitus and obesity by reducing cardiovascular risk factors, improving lipid profiles, and promoting endothelial integrity, offering a comprehensive therapeutic option for managing cardiovascular risk."
"Redefining diabesity management: Tirzepatide's role in improving cardiovascular outcomes","https://scispace.com/paper/redefining-diabesity-management-tirzepatide-s-role-in-vw2cwel387az","2025","Journal Article","","Mohammad Atiqur Rahman
Mohammad Atiqur Rahman","10.3329/jacedb.v4i20.84909","https://scispace.compdf/redefining-diabesity-management-tirzepatide-s-role-in-vw2cwel387az.pdf","Diabesity, the convergence of type 2 diabetes mellitus (T2DM) and obesity—constitutes a major global health challenge, driving disproportionate cardiovascular morbidity and mortality. In Bangladesh alone, an estimated 14 million individuals live with diabetes (prevalence 13.2%), while 31% of adults have elevated BMI (≥25 kg/m²), including 6% with obesity. Conventional antidiabetic therapies emphasize glycemic control; however, persistent residual cardiovascular risk underscores the necessity for interventions targeting the intertwined mechanisms of adiposity, insulin resistance, and cardiometabolic dysfunction. Tirzepatide, a first-in-class dual agonist of glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP-1) receptors, represents a paradigm shift in diabesity management. Data from the SURPASS program demonstrate unprecedented reductions in HbA1c (up to –2.5%) and body weight (15–20%), surpassing outcomes achieved with established GLP-1 receptor agonists and insulin. Beyond glycemic and weight control, tirzepatide improves cardiometabolic health through reductions in blood pressure, favorable modulation of lipid profiles, and attenuation of systemic inflammation. Preliminary cardiovascular outcomes further suggest a protective role against major adverse cardiovascular events (MACE), reinforcing its potential as a cardiometabolic disease modifier rather than a glucose-lowering agent alone. By simultaneously addressing T2DM and obesity, tirzepatide exemplifies an integrated therapeutic strategy aligned with contemporary priorities that emphasize cardiovascular risk reduction alongside glycemic targets. Ongoing large-scale outcome trials, including SURPASS-CVOT, will elucidate its definitive impact on morbidity and mortality. Collectively, tirzepatide advances the therapeutic frontier, offering a transformative approach for patients at the nexus of diabetes, obesity, and cardiovascular disease. [J Assoc Clin Endocrinol Diabetol Bangladesh, 2025;4(Suppl 1): S33] ",""
