"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","CNN Architecture and Performance Metrics"
"Artificial Intelligence for Diabetic Retinopathy Screening: Performance of Deep Learning Models","https://scispace.com/paper/artificial-intelligence-for-diabetic-retinopathy-screening-nlt2iyelr31u","2025","Journal Article","European Journal of Public Health","F Zaier
M. Zribi","10.1093/eurpub/ckaf161.318","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses EfficientNet-B5 and ResNet-50 CNNs to detect diabetic retinopathy in retinal fundus images, comparing performance metrics (AUC, sensitivity, specificity) across EyePACS and APTOS datasets.","Abstract Background Diabetic Retinopathy (DR) remains a leading cause of preventable blindness, with rising prevalence particularly in low-resource settings. Traditional DR screening relies on specialist ophthalmologic assessment, posing barriers to early detection. Recent advances in deep learning have enabled the development of automated tools that may enhance the scalability and accessibility of DR screening. Objectives To compare the performance of two convolutional neural network (CNN) architectures-EfficientNet-B5 and ResNet-50-for automated DR detection using publicly available retinal fundus image datasets. Methods We utilized a transfer learning approach on two large datasets: EyePACS 2015 (n = 35,126) for training/validation and APTOS 2019 (n = 3,662) for external testing. Images were preprocessed with resizing, cropping, and contrast enhancement. The EfficientNet-B5 and ResNet-50 models were independently trained and evaluated using key metrics: accuracy, sensitivity, specificity, area under the ROC curve (AUC), and Quadratic Weighted Kappa (QWK), with classification across DR severity levels. Results EfficientNet-B5 achieved a QWK of 92%, sensitivity of 98%, specificity of 93%, and AUC of 96% on the test dataset. ResNet-50 demonstrated similarly high performance with an accuracy of 96%, QWK of 86%, sensitivity of 94%, specificity of 97%, and AUC of 96%. Both models showed robust generalization across severity grades, indicating strong discriminative capabilities. Conclusions The results highlighted that our models are viable architectures for AI-driven DR screening, with EfficientNet-B5 showing slightly higher agreement scores and ResNet-50 offering stronger specificity. These models hold promise for deployment in DR screening programs, especially in resource-limited settings where ophthalmologic expertise is scarce. Future work should focus on clinical validation and integration into public health systems to improve early DR detection and reduce vision-related morbidity. Key messages • Integrating artificial intelligence (AI) into diabetic retinopathy screening can enhance early detection and support equitable access to eye care, particularly in resource-limited settings. • AI-based screening tools offer a scalable and effective approach to strengthen public health strategies aimed at preventing vision loss from diabetic complications. ","The study compared two CNN architectures: EfficientNet-B5 and ResNet-50.

For EfficientNet-B5, performance metrics included a QWK of 92%, sensitivity of 98%, specificity of 93%, and AUC of 96%.
ResNet-50 achieved an accuracy of 96%, QWK of 86%, sensitivity of 94%, specificity of 97%, and AUC of 96%.

The datasets used were EyePACS 2015 (for training/validation) and APTOS 2019 (for external testing). Both models showed robust generalization, with EfficientNet-B5 having higher agreement scores and ResNet-50 offering stronger specificity."
"Diabetic Retinopathy Prediction Using Deep Learning: Insights From CNN","https://scispace.com/paper/diabetic-retinopathy-prediction-using-deep-learning-insights-btxq0l3b5wr0","2025","Journal Article","","Ranga Swamy Sirisati
V. Navyasri
T. Swathi
M. Akhila
Astried Astried","10.58723/ijaaiml.v2i3.420","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ResNet50 and InceptionV3 CNN architectures on the EyePACS dataset to classify diabetic retinopathy, reporting 98.5% accuracy, sensitivity, specificity, and AUC metrics.","Background of study: Diabetic Retinopathy (DR) is a severe microvascular complication of diabetes mellitus that can lead to vision loss if not detected early. With over 93 million individuals affected globally, the need for accurate and efficient diagnostic systems has become urgent. Traditional screening methods depend on manual interpretation of fundus images by ophthalmologists, which is time-consuming and prone to subjectivity.Aims: This research seeks to create and assess a deep learning diagnostic model designed to reliably identify the severity levels of diabetic retinopathy using retinal fundus images. The research also explores model interpretability using Shapley Additive Explanations (SHAP) to increase transparency in AI-assisted medical diagnosis.Methods: Convolutional Neural Networks (CNNs) were implemented using transfer learning with pretrained architectures such as ResNet50 and InceptionV3. The EyePACS dataset, containing images categorized into five DR severity levels, was used for model training. Preprocessing techniques, including contrast enhancement, histogram equalization, and data augmentation, improved image quality and model generalization. The models were optimized with the Adam and assessed through accuracy, precision, recall, F1-score, and AUC. Additionally, SHAP analysis was employed to interpret and illustrate the model’s predictions.Results: The proposed CNN-based model achieved 98.5% accuracy, with a sensitivity and specificity of 0.99, demonstrating strong performance across multiple DR stages. Comparison with existing studies revealed a notable improvement in diagnostic accuracy. SHAP visualizations confirmed that critical retinal features such as microaneurysms, hemorrhages, and cotton-wool spots were key predictors influencing model decisions.Conclusion: The findings validate the efficacy of deep learning, particularly CNNs, in enhancing early detection and classification of diabetic retinopathy. The integration of SHAP interpretability bridges the gap between AI predictions and clinical trust, making this approach a promising tool for large-scale automated DR screening and supporting ophthalmologists in timely diagnosis and treatment.","The study utilized CNNs with transfer learning, specifically employing pretrained ResNet50 and InceptionV3 architectures. The models were trained on the EyePACS dataset, categorized into five DR severity levels. Key performance metrics reported include 98.5% accuracy, and a sensitivity and specificity of 0.99. The models were also assessed through precision, recall, F1-score, and AUC. SHAP analysis provided interpretability."
"Deep Insights in to Diabetic Retinopathy Detection: A Review of Techniques in Deep Learning","https://scispace.com/paper/deep-insights-in-to-diabetic-retinopathy-detection-a-review-hkwlu5jhbuw3","2024","Repository","","Sheetal S. Patil
Bhageshree Supekar
V.V. Phule
Atharva Ranjane
Dr.   Praveen Blessington Thummalakunta","10.5281/zenodo.18171975","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews CNN architectures and preprocessing for diabetic retinopathy detection using retinal images, explicitly evaluating performance metrics (sensitivity, specificity, AUC) and the impact of dataset characteristics.","Diabetic retinopathy (DR) is a prominent global cause of blindness that affects a large proportion of people with diabetes. To stop irreversible visual deterioration, early detection and treatment are essential. Deep learning algorithms have shown a great deal of promise recently in automating the processing of retinal pictures to detect DR. This study attempts to do a thorough analysis of the different deep learning methods used in the diagnosis of diabetic retinopathy. The study offers a thorough examination of several convolutional neural network (CNN) architectures. Furthermore, the study explores pre-processing methods and their effects on model performance, including image augmentation and normalization. Additionally, the study assesses how dataset diversity and size affect DR detection methods' efficacy. The performance of the examined algorithms is evaluated by comparative assessments of various evaluation measures, including sensitivity, specificity, and the area under the receiver operating characteristics curve. The article also discusses the drawbacks and restrictions of the current methods and makes recommendations for possible directions for further study in this area. Researchers, physicians, and practitioners working toward the development of reliable and accurate automated systems for diabetic retinopathy identification are expected to find this thorough evaluation to be a useful resource. ","The study offers a thorough examination of several convolutional neural network (CNN) architectures. Performance is evaluated using sensitivity, specificity, and the area under the receiver operating characteristics curve. The paper assesses how dataset diversity and size affect DR detection methods' efficacy. Specific CNN architectures, exact performance metric values (percentages), and dataset names are not reported in the metadata."
"Performance analysis of pretrained convolutional neural network models for ophthalmological disease classification.","https://scispace.com/paper/performance-analysis-of-pretrained-convolutional-neural-2mxnm70v","2023","Journal Article","Arquivos Brasileiros De Oftalmologia","Büşra Emir
Ertugrul Colak","10.5935/0004-2749.2022-0124","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses VGG16, Inceptionv3, and ResNet50 to classify eight ocular diseases, including diabetic retinopathy, using a 10,000-image fundus dataset, while reporting sensitivity, specificity, and AUC metrics.","PURPOSE
This study aimed to evaluate the classification performance of pretrained convolutional neural network models or architectures using fundus image dataset containing eight disease labels.


METHODS
A publicly available ocular disease intelligent recognition database has been used for the diagnosis of eight diseases. This ocular disease intelligent recognition database has a total of 10,000 fundus images from both eyes of 5,000 patients for the following eight diseases: healthy, diabetic retinopathy, glaucoma, cataract, age-related macular degeneration, hypertension, myopia, and others. Ocular disease classification performances were investigated by constructing three pretrained convolutional neural network architectures including VGG16, Inceptionv3, and ResNet50 models with adaptive moment optimizer. These models were implemented in Google Colab, which made the task straight-forward without spending hours installing the environment and supporting libraries. To evaluate the effectiveness of the models, the dataset was divided into 70%, 10%, and 20% for training, validation, and testing, respectively. For each classification, the training images were augmented to 10,000 fundus images.


RESULTS
ResNet50 achieved an accuracy of 97.1%; sensitivity, 78.5%; specificity, 98.5%; and precision, 79.7%, and had the best area under the curve and final score to classify cataract (area under the curve = 0.964, final score = 0.903). By contrast, VGG16 achieved an accuracy of 96.2%; sensitivity, 56.9%; specificity, 99.2%; precision, 84.1%; area under the curve, 0.949; and final score, 0.857.


CONCLUSIONS
These results demonstrate the ability of the pretrained convolutional neural network architectures to identify ophthalmological diseases from fundus images. ResNet50 can be a good architecture to solve problems in disease detection and classification of glaucoma, cataract, hypertension, and myopia; Inceptionv3 for age-related macular degeneration, and other disease; and VGG16 for normal and diabetic retinopathy.","The study used VGG16, Inceptionv3, and ResNet50 CNN architectures. ResNet50 achieved 97.1% accuracy, 78.5% sensitivity, 98.5% specificity, 79.7% precision, and AUC of 0.964 for cataract. VGG16 achieved 96.2% accuracy, 56.9% sensitivity, 99.2% specificity, 84.1% precision, and AUC of 0.949. The dataset used was a publicly available ocular disease intelligent recognition database with 10,000 fundus images for eight diseases."
"Understanding inherent image features in CNN-based assessment of diabetic retinopathy","https://scispace.com/paper/understanding-inherent-image-features-in-cnn-based-4izvmyhsy7","2021","Journal Article","Scientific Reports","Roc Reguant
Søren Brunak
Sajib Saha","10.1038/S41598-021-89225-0","https://scispace.com/pdf/understanding-inherent-image-features-in-cnn-based-4izvmyhsy7.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CNNs to analyze retinal fundus images for diabetic retinopathy, reporting AUC, sensitivity, and specificity while comparing multiple architectures trained on EyePACS and DIARETDB1 datasets.","Diabetic retinopathy (DR) is a leading cause of blindness and affects millions of people throughout the world. Early detection and timely checkups are key to reduce the risk of blindness. Automated grading of DR is a cost-effective way to ensure early detection and timely checkups. Deep learning or more specifically convolutional neural network (CNN)—based methods produce state-of-the-art performance in DR detection. Whilst CNN based methods have been proposed, no comparisons have been done between the extracted image features and their clinical relevance. Here we first adopt a CNN visualization strategy to discover the inherent image features involved in the CNN’s decision-making process. Then, we critically analyze those features with respect to commonly known pathologies namely microaneurysms, hemorrhages and exudates, and other ocular components. We also critically analyze different CNNs by considering what image features they pick up during learning to predict and justify their clinical relevance. The experiments are executed on publicly available fundus datasets (EyePACS and DIARETDB1) achieving an accuracy of 89 ~ 95% with AUC, sensitivity and specificity of respectively 95 ~ 98%, 74 ~ 86%, and 93 ~ 97%, for disease level grading of DR. Whilst different CNNs produce consistent classification results, the rate of picked-up image features disagreement between models could be as high as 70%.","The study utilized Inception-v3, ResNet50, InceptionResNet, and Xception CNN architectures. Key performance metrics across these models included an accuracy of 89–95%, AUC of 95–98%, sensitivity of 74–86%, and specificity of 93–97% for disease level grading of DR. The experiments were conducted on two publicly available fundus datasets: EyePACS and DIARETDB1."
"Analysis of diabetic retinopathy detection techniques using CNN models","https://scispace.com/paper/analysis-of-diabetic-retinopathy-detection-techniques-using-iagr9460","2022","Book Chapter","","Anna Corrias","10.1007/978-981-19-1076-0_6","https://www.researchgate.net/profile/Dr-Palanivel-Rajan-S/publication/360068863_Augmented_Intelligence_Deep_Learning_Models_for_Healthcare/links/641ad464a1b72772e41cafbb/Augmented-Intelligence-Deep-Learning-Models-for-Healthcare.pdf#page=100","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses DenseNet, EfficientNet, and standard CNN models to classify diabetic retinopathy severity in fundus images, reporting performance via AUC, precision, recall, specificity, and F1-score on APTOS/Kaggle datasets.","Diabetic Retinopathy (DR) is an eye disease and is caused by changes in retinal blood vessels. It is common in diabetes patients. Severity level of DR classified based on changes in the DR-lesions in the retina. Microaneurysms (MAs) is inflammation of walls of blood vessels inside the retina, and is an early indicator of Diabetic Retinopathy. In the early stages, detecting Diabetic retinopathy is difficult, even for an experienced expert diagnostic procedure can be hard. So, a Computer-Aided Diagnosis (CAD) method should be proposed to automate the diagnosis of Diabetic Retinopathy by classifying fundus images into five severity classes to provide appropriate suggestions to Diabetic Retinopathy patients. We have taken the APTOS and Kaggle Diabetic Retinopathy dataset to train the models and to detect the severity levels of Diabetic Retinopathy. In this chapter, DenseNet, EfficientNet and Convolution Neural Network models are used to detect Diabetic Retinopathy. ","DenseNet, EfficientNet, and Convolution Neural Network models were used to detect Diabetic Retinopathy. The models were trained and evaluated using the APTOS and Kaggle Diabetic Retinopathy datasets. Key performance metrics such as sensitivity, specificity, AUC/AUROC, and accuracy values are Not reported in the metadata. The study aims to classify fundus images into five severity classes for automated diagnosis."
"Enhancing diabetic retinopathy detection using cnn ensembles and grad-cam on retinal fundus images","https://scispace.com/paper/enhancing-diabetic-retinopathy-detection-using-cnn-ensembles-iibmqpk453kk","2025","Journal Article","","Araoluwa Simileolu Filani
OLASUPO MODUPE ADEGOKE
ADEMOLA TOLUWASE AMUDIPE
Araoluwa Simileolu Filani
OLASUPO MODUPE ADEGOKE
ADEMOLA TOLUWASE AMUDIPE","10.70382/tijsrat.v09i9.063","https://scispace.compdf/enhancing-diabetic-retinopathy-detection-using-cnn-ensembles-iibmqpk453kk.pdf","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ResNet18, ResNet50, and EfficientNetB3 ensembles on the APTOS 2019 dataset. Performance metrics include accuracy, ROC AUC, and PR AUC, but omit sensitivity and specificity.","Diabetic Retinopathy (DR) is a progressive eye disease and a leading cause of blindness among individuals with diabetes. Early detection is critical for preventing irreversible vision loss. In this paper, we propose an automated DR detection system using deep learning and ensemble methods to improve classification accuracy across five DR severity levels. The system was trained on the APTOS 2019 Blindness Detection dataset comprising 3,662 retinal fundus images. Three convolutional neural network (CNN) models-ResNet18, ResNet50, and EfficientNetB3-were implemented individually and then combined using ensemble techniques: majority voting, weighted voting, and stacked ensemble with a random forest meta-classifier. Image preprocessing techniques such as LAB color conversion, CLAHE, denoising, and data augmentation were used to enhance diagnostic features. The ensemble models significantly outperformed the individual CNNs, with the stacked ensemble achieving the best results: 85.27% accuracy, 0.933 ROC AUC, and 0.7352 PR AUC. The system's interpretability was improved using Grad-CAM, providing visual heatmaps of model decision regions. These results demonstrate that ensemble learning, coupled with interpretable AI, offers a robust and clinically relevant approach to DR detection. ","The study utilized ResNet18, ResNet50, and EfficientNetB3 CNN architectures. The APTOS 2019 Blindness Detection dataset, comprising 3,662 retinal fundus images, was used for training.

Key performance metrics for the stacked ensemble were:
*   Accuracy: 85.27%
*   ROC AUC: 0.9330
*   PR AUC: 0.7352

For individual CNNs, ResNet50 showed the best performance with 83.20% accuracy. Sensitivity and specificity values were not explicitly reported for the final models, though earlier studies mentioned comparable sensitivity and specificity to ophthalmologists."
"Diabetic retinopathy detection system using hybrid convolutional neural network","https://scispace.com/paper/diabetic-retinopathy-detection-system-using-hybrid-uoduk2wlvnx6","2025","Journal Article","","Jehoiada Wong
Ivan Sebastian Edbert","10.1109/icimcis68501.2025.11327102","","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses hybrid CNN-Transformer models (MaxViT) to detect diabetic retinopathy in EyePACS, APTOS, and Messidor fundus images, comparing performance against classic CNNs like ResNet50 and InceptionV3 using AUC metrics.","Diabetic retinopathy (DR) screening systems often drop 15–20% of performance when moving different clinics because of the data differences. Pure CNNs often miss the big picture, while Transformers overlook tiny details. To tackle this, we ran a head to head test of hybrid CNN-Transformer models across datasets. We trained six top models—classic CNNs like InceptionV3, ResNet50, and DenseNet121; pure Transformer (ViTBase); and hybrids ConvNeXt and MaxViT—on 35,126 EyePACS images, using smart sampling and targeted augmentations to handle imbalance in the dataset. We then tested them cold on 3,662 APTOS and 1,748 Messidor images. MaxViT stood out with a 91.8% AUC (95% CI: 90.5–93.1%), beating CNNs by 1.5–2.9%, slashing cross-dataset performance dips by 38% (p < 0.001; just 2.5% drop vs. 4.2% for ResNet50), and cutting false positives by 15% thanks to its clever grid-window attention that nails both micro-lesions and the overall retinal pattern. ","The study compared classic CNNs (InceptionV3, ResNet50, DenseNet121), a pure Transformer (ViTBase), and hybrid models (ConvNeXt, MaxViT). MaxViT achieved a 91.8% AUC (95% CI: 90.5–93.1%), outperforming CNNs by 1.5–2.9%. It reduced cross-dataset performance dips by 38% (2.5% drop vs. 4.2% for ResNet50) and cut false positives by 15%. The models were trained on 35,126 EyePACS images and tested on 3,662 APTOS and 1,748 Messidor images. Sensitivity, specificity, and accuracy values were not reported."
"A Hybrid Convolutional Neural Network Model for Automatic Diabetic Retinopathy Classification From Fundus Images","https://scispace.com/paper/a-hybrid-convolutional-neural-network-model-for-automatic-25i3rklr","2023","Journal Article","IEEE Journal of Translational Engineering in Health and Medicine","","10.1109/jtehm.2023.3282104","https://scispace.com/pdf/a-hybrid-convolutional-neural-network-model-for-automatic-25i3rklr.pdf","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a hybrid CNN model combining Resnet50 and Inceptionv3 to classify diabetic retinopathy from fundus images. Performance metrics lack AUC, though accuracy, sensitivity, specificity, precision, and F1 are reported.","<italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">Objective:</i> Diabetic Retinopathy (DR) is a retinal disease that can cause damage to blood vessels in the eye, that is the major cause of impaired vision or blindness, if not treated early. Manual detection of diabetic retinopathy is time-consuming and prone to human error due to the complex structure of the eye. <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">Methods &amp; Results:</i> various automatic techniques have been proposed to detect diabetic retinopathy from fundus images. However, these techniques are limited in their ability to capture the complex features underlying diabetic retinopathy, particularly in the early stages. In this study, we propose a novel approach to detect diabetic retinopathy using a convolutional neural network (CNN) model. The proposed model extracts features using two different deep learning (DL) models, Resnet50 and Inceptionv3, and concatenates them before feeding them into the CNN for classification. The proposed model is evaluated on a publicly available dataset of fundus images. The experimental results demonstrate that the proposed CNN model achieves higher accuracy, sensitivity, specificity, precision, and f1 score compared to state-of-the-art methods, with respective scores of 96.85%, 99.28%, 98.92%, 96.46%, and 98.65%. ","The paper proposes a hybrid CNN model for diabetic retinopathy (DR) classification, utilizing Inceptionv3 and ResNet50 for feature extraction. These extracted features are concatenated and fed into a CNN for classification. The model was evaluated on a publicly available dataset of fundus images, which includes 44,119 images across five DR classes (No DR, Mild, Moderate, Severe, PDR) from an open-source dataset (likely Kaggle, as mentioned elsewhere). The proposed IR-CNN model achieved an accuracy of 96.85%, sensitivity of 99.28%, specificity of 98.92%, precision of 96.46%, and F1 score of 98.65% with data augmentation. AUC/AUROC values were not reported for the proposed model."
"Deep Learning Framework with Feature Fusion for Enhanced Detection of Diabetic Retinopathy in Retinal Fundus Images","https://scispace.com/paper/deep-learning-framework-with-feature-fusion-for-enhanced-deq9x6ru5rx7","2025","Journal Article","","M. Praveen Kumar
V. Khanaa","10.1109/iccds64403.2025.11209536","","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ResNet, DenseNet, and Inception models with attention fusion to detect diabetic retinopathy in fundus images, reporting sensitivity (recall), specificity, and AUC, while mentioning benchmark datasets without naming them.","The condition called diabetic retinopathy (DR) is responsible for many cases of vision loss worldwide and should be caught early for proper treatment. An improved deep learning framework is introduced, which joins together different deep feature networks to find DR in retinal fundus photos. It utilizes ResNet, DenseNet, and Inception models, then combines their detected features using attention fusion. The framework performed well on benchmark datasets with an accuracy of 97.85%, precision of 96.72%, recall of 95.68%, specificity of 98.12%, F1 score of 96.20%, and AUC of 98.45% using Adam optimizer and fine-tuning. These results perform much better than those from using any single model. It provides an effective and reliable method to detect DR, assist healthcare experts in choosing the best course of action, and prepare for future upgrades with cutting-edge methods.","A deep learning framework for diabetic retinopathy detection utilizes ResNet, DenseNet, and Inception models with attention fusion. This framework achieved an accuracy of 97.85%, precision of 96.72%, recall of 95.68%, specificity of 98.12%, F1 score of 96.20%, and an AUC of 98.45%. The models were fine-tuned using the Adam optimizer. The framework performed well on benchmark datasets, significantly outperforming individual models. Dataset(s) used: Not reported."
