"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Using deep learning architectures for detection and classification of diabetic retinopathy","https://scispace.com/paper/using-deep-learning-architectures-for-detection-and-3qsv3san","2023","Journal Article","Sensors","Cheena Mohanty
Biswaranjan Acharya
Fotios Kokkoras
Vassilis C. Gerogiannis
Ioannis Karamitsos
Andreas Kanavos","10.3390/s23125726","https://scispace.com/pdf/using-deep-learning-architectures-for-detection-and-3qsv3san.pdf","… By leveraging the strengths of both the DL architecture and … the dataset used in our study and describes how the dataset was … The results of the comparison are presented in Figure 11. …","Diabetic retinopathy (DR) is a common complication of long-term diabetes, affecting the human eye and potentially leading to permanent blindness. The early detection of DR is crucial for effective treatment, as symptoms often manifest in later stages. The manual grading of retinal images is time-consuming, prone to errors, and lacks patient-friendliness. In this study, we propose two deep learning (DL) architectures, a hybrid network combining VGG16 and XGBoost Classifier, and the DenseNet 121 network, for DR detection and classification. To evaluate the two DL models, we preprocessed a collection of retinal images obtained from the APTOS 2019 Blindness Detection Kaggle Dataset. This dataset exhibits an imbalanced image class distribution, which we addressed through appropriate balancing techniques. The performance of the considered models was assessed in terms of accuracy. The results showed that the hybrid network achieved an accuracy of 79.50%, while the DenseNet 121 model achieved an accuracy of 97.30%. Furthermore, a comparative analysis with existing methods utilizing the same dataset revealed the superior performance of the DenseNet 121 network. The findings of this study demonstrate the potential of DL architectures for the early detection and classification of DR. The superior performance of the DenseNet 121 model highlights its effectiveness in this domain. The implementation of such automated methods can significantly improve the efficiency and accuracy of DR diagnosis, benefiting both healthcare providers and patients."
"A survey on deep-learning-based diabetic retinopathy classification","https://scispace.com/paper/a-survey-on-deep-learning-based-diabetic-retinopathy-2ss57ifh","2023","Journal Article","Diagnostics","Anil Sebastian
Omar Elharrouss
Somaya Al-Maadeed
Noor Almaadeed","10.3390/diagnostics13030345","https://scispace.com/pdf/a-survey-on-deep-learning-based-diabetic-retinopathy-2ss57ifh.pdf","… involved a comparison of three types of deep-learning-based … ImageNet dataset was used to pre-train the VGG architecture… -50 architecture trained on the ImageNet dataset—was used …","The number of people who suffer from diabetes in the world has been considerably increasing recently. It affects people of all ages. People who have had diabetes for a long time are affected by a condition called Diabetic Retinopathy (DR), which damages the eyes. Automatic detection using new technologies for early detection can help avoid complications such as the loss of vision. Currently, with the development of Artificial Intelligence (AI) techniques, especially Deep Learning (DL), DL-based methods are widely preferred for developing DR detection systems. For this purpose, this study surveyed the existing literature on diabetic retinopathy diagnoses from fundus images using deep learning and provides a brief description of the current DL techniques that are used by researchers in this field. After that, this study lists some of the commonly used datasets. This is followed by a performance comparison of these reviewed methods with respect to some commonly used metrics in computer vision tasks."
"Deep learning in automatic diabetic retinopathy detection and grading systems: a comprehensive survey and comparison of methods","https://scispace.com/paper/deep-learning-in-automatic-diabetic-retinopathy-detection-264v859two","2024","Journal Article","IEEE Access","Israa Y. AbuShawish
Sudipta Modak
Esam Abdel‐Raheem
Soliman A. Mahmoud
Abir Hussain","10.1109/access.2024.3415617","https://uwindsor.scholaris.ca/bitstreams/39060c79-ffcc-4c78-b781-58e33d8f457e/download","… the Diabetic Retinopathy Resized (DRR) dataset in Kaggle. The images in this dataset are … However, this architecture is very complex with 201 total layers which require approximately …","Diabetic Retinopathy is one of the leading global causes of vision impairment and blindness in humans. It has seen a rise in prevalence, necessitating the development of advanced automatic detection methods. This paper presents a survey of the evolution in deep learning techniques for diabetic retinopathy detection, emphasizing the transition from traditional machine learning to sophisticated deep learning architectures such as convolutional neural networks. It discusses the role of transfer learning, end-to-end learning, and hybrid models in overcoming medical detection challenges while highlighting the need for artificial intelligence interpretability and real-time screening integration in clinical workflows. Building on this survey, the paper introduces a focused study on cross-dataset deployment of transfer learning for diabetic retinopathy detection and grading. Consequently, this paper evaluates 26 pre-trained models from various convolutional neural network families to provide a comprehensive comparison between the state-of-the-art CNN architectures in the field. Additionally, this study also employs Grad-CAM visualization to interpret the model’s decision-making, bridging advanced artificial intelligence techniques with practical healthcare applications for diabetic retinopathy."
"A lightweight robust deep learning model gained high accuracy in classifying a wide range of diabetic retinopathy images","https://scispace.com/paper/a-lightweight-robust-deep-learning-model-gained-high-15cvi2mg","2023","Journal Article","IEEE Access","MAK Raiaan
K Fatema
IU Khan
S Azam","10.1109/access.2023.3272228","https://ieeexplore.ieee.org/iel7/6287639/6514899/10113630.pdf","… and ResNet50 were introduced for comparison with their proposed … They utilized the ""Kaggle diabetic Retinopathy"" dataset, … These characteristics indicate that the shallow architecture of …","Diabetic retinopathy (DR) is a common complication of diabetes mellitus, and retinal blood vessel damage can lead to vision loss and blindness if not recognized at an early stage. Manual DR detection using large fundus image data is time-consuming and error-prone. An effective automatic DR detection system can be significantly faster and potentially more accurate. This study aims to classify fundus images into five DR classes, using deep learning methods, with the highest possible accuracy and the lowest possible computational time. Three distinct DR datasets, APTOS, Messidor2, and IDRiD, are merged, resulting in 5,819 raw images. Before training the model, various image preprocessing techniques are applied to remove artifacts and noise from the images and improve their quality. Three augmentation techniques: geometric, photometric, and elastic deformation, are used to create a balanced dataset. A shallow convolutional neural network (CNN) is developed using three blocks of convolutional layers and maxpool layers with a categorical cross-entropy loss function, Adam optimizer, 0.0001 learning rate, and 64 batch size as a base model, and this is also employed to determine the best data augmentation method for further processing. A study to optimize the performance is then conducted by changing different components and hyperparameters of the base model, resulting in our proposed RetNet-10 model. Six cutting-edge models are employed for comparison. Our proposed RetNet-10 model performed the best, with a testing accuracy of 98.65%. MobileNetV2, VGG16, Xception, VGG19, InceptionV3 and ResNet50 achieved testing accuracies of 91.42%, 90.16%,89.57%, 88.21%, 87.68% and 87.23%, respectively. The model is also trained with several k values to assess its robustness. After image processing and data augmentation, using the combined dataset, and fine-tuning the base model, our proposed RetNet-10 model outperformed other automated methods for DR diagnosis. "
"Comparative analysis of deep learning methods of detection of diabetic retinopathy","https://scispace.com/paper/comparative-analysis-of-deep-learning-methods-of-detection-2xtewsgl9a","2020","Journal Article","Cogent engineering","Alexandr Pak
Atabay Ziyaden
Kuanysh Tukeshev
Assel Jaxylykova
Dana Abdullina","10.1080/23311916.2020.1805144","https://www.tandfonline.com/doi/pdf/10.1080/23311916.2020.1805144","… architecture, eg, for the development of low-cost embedded software. This paper proposes a comparison … on the dataset that was produced with the help of a smartphone. This paper …","Diabetic retinopathy is a common complication of diabetes, that affects blood vessels in the light-sensitive tissue called the retina. It is the most common cause of vision loss among people with d..."
"General deep learning model for detecting diabetic retinopathy","https://scispace.com/paper/general-deep-learning-model-for-detecting-diabetic-2bxe5bk4jz","2021","Journal Article","BMC Bioinformatics","Ping-Nan Chen
Chia-Chiang Lee
Chang-Min Liang
Shu-I Pao
Ke-Hao Huang
Ke-Feng Lin
Ke-Feng Lin","10.1186/S12859-021-04005-X","https://link.springer.com/content/pdf/10.1186/s12859-021-04005-x.pdf","… The comparison of preoperative and postoperative data can … module 1 used the preprocessed EyePACS dataset and pre-… , we use a two-stage training model architecture. In the first …","Doctors can detect symptoms of diabetic retinopathy (DR) early by using retinal ophthalmoscopy, and they can improve diagnostic efficiency with the assistance of deep learning to select treatments and support personnel workflow. Conventionally, most deep learning methods for DR diagnosis categorize retinal ophthalmoscopy images into training and validation data sets according to the 80/20 rule, and they use the synthetic minority oversampling technique (SMOTE) in data processing (e.g., rotating, scaling, and translating training images) to increase the number of training samples. Oversampling training may lead to overfitting of the training model. Therefore, untrained or unverified images can yield erroneous predictions. Although the accuracy of prediction results is 90%–99%, this overfitting of training data may distort training module variables. This study uses a 2-stage training method to solve the overfitting problem. In the training phase, to build the model, the Learning module 1 used to identify the DR and no-DR. The Learning module 2 on SMOTE synthetic datasets to identify the mild-NPDR, moderate NPDR, severe NPDR and proliferative DR classification. These two modules also used early stopping and data dividing methods to reduce overfitting by oversampling. In the test phase, we use the DIARETDB0, DIARETDB1, eOphtha, MESSIDOR, and DRIVE datasets to evaluate the performance of the training network. The prediction accuracy achieved to 85.38%, 84.27%, 85.75%, 86.73%, and 92.5%. Based on the experiment, a general deep learning model for detecting DR was developed, and it could be used with all DR databases. We provided a simple method of addressing the imbalance of DR databases, and this method can be used with other medical images."
"DiaNet: A deep learning based architecture to diagnose diabetes using retinal images only","https://scispace.com/paper/dianet-a-deep-learning-based-architecture-to-diagnose-55n4wko0h4","2021","Journal Article","IEEE Access","Mohammad Tariqul Islam
Hamada R. H. Al-Absi
Essam A. Ruagh
Tanvir Alam","10.1109/ACCESS.2021.3052477","https://ieeexplore.ieee.org/iel7/6287639/9312710/09328261.pdf","… Using a relatively small-sized dataset, we develop a multi-stage … In comparison, QBBNet, which was trained only on the … a deep learning algorithm for detection of diabetic retinopathy in …","Diabetes is one of the leading fatal diseases globally, putting a huge burden on the global healthcare system. Early diagnosis of diabetes is hence, of utmost importance and could save many lives. However, current techniques to determine whether a person has diabetes or has the risk of developing diabetes are primarily reliant upon clinical biomarkers. In this article, we propose a novel deep learning architecture to predict if a person has diabetes or not from a photograph of his/her retina. Using a relatively small-sized dataset, we develop a multi-stage convolutional neural network (CNN)-based model DiaNet that can reach an accuracy level of over 84% on this task, and in doing so, successfully identifies the regions on the retina images that contribute to its decision-making process, as corroborated by the medical experts in the field. This is the first study that highlights the distinguishing capability of the retinal images for diabetes patients in the Qatari population to the best of our knowledge. Comparing the performance of DiaNet against the existing clinical data-based machine learning models, we conclude that the retinal images contain sufficient information to distinguish the Qatari diabetes cohort from the control group. In addition, our study reveals that retinal images may contain prognosis markers for diabetes and other comorbidities like hypertension and ischemic heart disease. The results led us to believe that the inclusion of retinal images into the clinical setup for the diagnosis of diabetes is warranted in the near future."
"A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning","https://scispace.com/paper/a-critical-review-on-diagnosis-of-diabetic-retinopathy-using-3vkmoy28","2022","Journal Article","Multimedia Tools and Applications","Dolly Das
Saroj Kr. Biswas
Sivaji Bandyopadhyay","10.1007/s11042-022-12642-4","https://link.springer.com/content/pdf/10.1007/s11042-022-12642-4.pdf","… Deep Learning (DL), a new domain of ML, is introduced. DL models can handle a smaller dataset with … It establishes a comparison on different kinds of DR lesions identified on different …","Diabetic Retinopathy (DR) is a health condition caused due to Diabetes Mellitus (DM). It causes vision problems and blindness due to disfigurement of human retina. According to statistics, 80% of diabetes patients battling from long diabetic period of 15 to 20 years, suffer from DR. Hence, it has become a dangerous threat to the health and life of people. To overcome DR, manual diagnosis of the disease is feasible but overwhelming and cumbersome at the same time and hence requires a revolutionary method. Thus, such a health condition necessitates primary recognition and diagnosis to prevent DR from developing into severe stages and prevent blindness. Innumerable Machine Learning (ML) models are proposed by researchers across the globe, to achieve this purpose. Various feature extraction techniques are proposed for extraction of DR features for early detection. However, traditional ML models have shown either meagre generalization throughout feature extraction and classification for deploying smaller datasets or consumes more of training time causing inefficiency in prediction while using larger datasets. Hence Deep Learning (DL), a new domain of ML, is introduced. DL models can handle a smaller dataset with help of efficient data processing techniques. However, they generally incorporate larger datasets for their deep architectures to enhance performance in feature extraction and image classification. This paper gives a detailed review on DR, its features, causes, ML models, state-of-the-art DL models, challenges, comparisons and future directions, for early detection of DR. "
"A deep learning based approach for grading of diabetic retinopathy using large fundus image dataset","https://scispace.com/paper/a-deep-learning-based-approach-for-grading-of-diabetic-3vu0dh5q","2022","Journal Article","Diagnostics","Ayesha Mehboob
Muhammad Akram
Norah Saleh Alghamdi
Anum Abdul Salam","10.3390/diagnostics12123084","https://scispace.com/pdf/a-deep-learning-based-approach-for-grading-of-diabetic-3vu0dh5q.pdf","… Kaggle’s Diabetic retinopathy dataset. We have evaluated the proposed architecture using … publicly available for a comparison of detecting Diabetic Retinopathy using Neural Networks, …","Diabetic Retinopathy affects one-third of all diabetic patients and may cause vision impairment. It has four stages of progression, i.e., mild non-proliferative, moderate non-proliferative, severe non-proliferative and proliferative Diabetic Retinopathy. The disease has no noticeable symptoms at early stages and may lead to chronic destruction, thus causing permanent blindness if not detected at an early stage. The proposed research provides deep learning frameworks for autonomous detection of Diabetic Retinopathy at an early stage using fundus images. The first framework consists of cascaded neural networks, spanned in three layers where each layer classifies data into two classes, one is the desired stage and the other output is passed to another classifier until the input image is classified as one of the stages. The second framework takes normalized, HSV and RGB fundus images as input to three Convolutional Neural Networks, and the resultant probabilistic vectors are averaged together to obtain the final output of the input image. Third framework used the Long Short Term Memory Module in CNN to emphasize the network in remembering information over a long time span. Proposed frameworks were tested and compared on the large-scale Kaggle fundus image dataset EYEPAC. The evaluations have shown that the second framework outperformed others and achieved an accuracy of 78.06% and 83.78% without and with augmentation, respectively."
"Comparison of smartphone-based retinal imaging systems for diabetic retinopathy detection using deep learning","https://scispace.com/paper/comparison-of-smartphone-based-retinal-imaging-systems-for-3h1uvkpshd","2020","Journal Article","BMC Bioinformatics","Mahmut Karakaya
Recep E. Hacisoftaoglu","10.1186/S12859-020-03587-2","https://link.springer.com/content/pdf/10.1186/s12859-020-03587-2.pdf","… Second, we introduce the layout of the adopted deep learning architecture for DR detection. … the dataset, we randomly selected 686 no DR images and removed the rest from the dataset …","Diabetic retinopathy (DR), the most common cause of vision loss, is caused by damage to the small blood vessels in the retina. If untreated, it may result in varying degrees of vision loss and even blindness. Since DR is a silent disease that may cause no symptoms or only mild vision problems, annual eye exams are crucial for early detection to improve chances of effective treatment where fundus cameras are used to capture retinal image. However, fundus cameras are too big and heavy to be transported easily and too costly to be purchased by every health clinic, so fundus cameras are an inconvenient tool for widespread screening. Recent technological developments have enabled to use of smartphones in designing small-sized, low-power, and affordable retinal imaging systems to perform DR screening and automated DR detection using image processing methods. In this paper, we investigate the smartphone-based portable retinal imaging systems available on the market and compare their image quality and the automatic DR detection accuracy using a deep learning framework. Based on the results, iNview retinal imaging system has the largest field of view and better image quality compared with iExaminer, D-Eye, and Peek Retina systems. The overall classification accuracy of smartphone-based systems are sorted as 61%, 62%, 69%, and 75% for iExaminer, D-Eye, Peek Retina, and iNview images, respectively. We observed that the network DR detection performance decreases as the field of view of the smartphone-based retinal systems get smaller where iNview is the largest and iExaminer is the smallest. The smartphone-based retina imaging systems can be used as an alternative to the direct ophthalmoscope. However, the field of view of the smartphone-based retina imaging systems plays an important role in determining the automatic DR detection accuracy."
