"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Development and validation of a deep learning algorithm for detection of diabetic retinopathy in retinal fundus photographs","https://scispace.com/paper/development-and-validation-of-a-deep-learning-algorithm-for-4ql9aa9p1e","2016","Journal Article","JAMA","Varun Gulshan
Lily Peng
Marc Coram
Martin C. Stumpe
Derek Wu
Arunachalam Narayanaswamy
Subhashini Venugopalan
Kasumi Widner
Tom Madams
Jorge Cuadros
Ramasamy Kim
Rajiv Raman
Philip C. Nelson
Jessica L. Mega
Dale R. Webster","10.1001/JAMA.2016.17216","https://scispace.com/pdf/development-and-validation-of-a-deep-learning-algorithm-for-4ql9aa9p1e.pdf","… EyePACS images were acquired as a part of routine clinical care for diabetic retinopathy screening, and approximately 40% of the images were acquired with pupil dilation. This data …","Importance Deep learning is a family of computational methods that allow an algorithm to program itself by learning from a large set of examples that demonstrate the desired behavior, removing the need to specify rules explicitly. Application of these methods to medical imaging requires further assessment and validation. Objective To apply deep learning to create an algorithm for automated detection of diabetic retinopathy and diabetic macular edema in retinal fundus photographs. Design and Setting A specific type of neural network optimized for image classification called a deep convolutional neural network was trained using a retrospective development data set of 128 175 retinal images, which were graded 3 to 7 times for diabetic retinopathy, diabetic macular edema, and image gradability by a panel of 54 US licensed ophthalmologists and ophthalmology senior residents between May and December 2015. The resultant algorithm was validated in January and February 2016 using 2 separate data sets, both graded by at least 7 US board-certified ophthalmologists with high intragrader consistency. Exposure Deep learning–trained algorithm. Main Outcomes and Measures The sensitivity and specificity of the algorithm for detecting referable diabetic retinopathy (RDR), defined as moderate and worse diabetic retinopathy, referable diabetic macular edema, or both, were generated based on the reference standard of the majority decision of the ophthalmologist panel. The algorithm was evaluated at 2 operating points selected from the development set, one selected for high specificity and another for high sensitivity. Results The EyePACS-1 data set consisted of 9963 images from 4997 patients (mean age, 54.4 years; 62.2% women; prevalence of RDR, 683/8878 fully gradable images [7.8%]); the Messidor-2 data set had 1748 images from 874 patients (mean age, 57.6 years; 42.6% women; prevalence of RDR, 254/1745 fully gradable images [14.6%]). For detecting RDR, the algorithm had an area under the receiver operating curve of 0.991 (95% CI, 0.988-0.993) for EyePACS-1 and 0.990 (95% CI, 0.986-0.995) for Messidor-2. Using the first operating cut point with high specificity, for EyePACS-1, the sensitivity was 90.3% (95% CI, 87.5%-92.7%) and the specificity was 98.1% (95% CI, 97.8%-98.5%). For Messidor-2, the sensitivity was 87.0% (95% CI, 81.1%-91.0%) and the specificity was 98.5% (95% CI, 97.7%-99.1%). Using a second operating point with high sensitivity in the development set, for EyePACS-1 the sensitivity was 97.5% and specificity was 93.4% and for Messidor-2 the sensitivity was 96.1% and specificity was 93.9%. Conclusions and Relevance In this evaluation of retinal fundus photographs from adults with diabetes, an algorithm based on deep machine learning had high sensitivity and specificity for detecting referable diabetic retinopathy. Further research is necessary to determine the feasibility of applying this algorithm in the clinical setting and to determine whether use of the algorithm could lead to improved care and outcomes compared with current ophthalmologic assessment."
"Diagnostic assessment of deep learning algorithms for diabetic retinopathy screening","https://scispace.com/paper/diagnostic-assessment-of-deep-learning-algorithms-for-4d24tf6oyb","2019","Journal Article","Information Sciences","Tao Li
Yingqi Gao
Kai Wang
Song Guo
Hanruo Liu
Hong Kang","10.1016/J.INS.2019.06.011","","… However, these deep learning models do not perform well in clinical … fundus image datasets. In order to evaluate these methods in clinical situations, we collected 13,673 fundus images …",""
"Deep learning–based algorithms in screening of diabetic retinopathy: a systematic review of diagnostic performance","https://scispace.com/paper/deep-learning-based-algorithms-in-screening-of-diabetic-h17lctx5ra","2019","Journal Article","Ophthalmology Retina","Katrine B. Nielsen
Katrine B. Nielsen
Mie L. Lautrup
Mie L. Lautrup
Jakob Kristian Holm Andersen
Jakob Kristian Holm Andersen
Thiusius Rajeeth Savarimuthu
Jakob Grauslund
Jakob Grauslund
Jakob Grauslund","10.1016/J.ORET.2018.10.014","https://portal.findresearcher.sdu.dk/files/150139260/Deep_Learning_based_Algorithms_in_Screening_of_Diabetic_Retinopathy.pdf","… the use of deep learning in classifying full-scale DR in retinal fundus images of patients with … as a reference standard, and a deep learning performance score. A systematic search on …",""
"Real-time diabetic retinopathy screening by deep learning in a multisite national screening programme: a prospective interventional cohort study","https://scispace.com/paper/real-time-diabetic-retinopathy-screening-by-deep-learning-in-3vjr25cu","2022","Journal Article","The Lancet Digital Health","Paisan Ruamviboonsuk
Richa Tiwari
Rory Sayres
Variya Nganthavee
Kornwipa Hemarat
Apinpat Kongprayoon
Rajiv Raman
Brian Levinstein
Yun Liu
Mike Schaekermann
R. Lee
Sunny Virmani
Kasumi Widner
John S. Chambers
Fred Hersch
Lily Peng
Dale R. Webster","10.1016/s2589-7500(22)00017-6","https://www.thelancet.com/pdfs/journals/landig/PIIS2589-7500(22)00017-6.pdf","… eye disease requiring referral to an ophthalmologist; or inability to have fundus photograph … validation of deep-learning models in the detection of diabetic retinopathy, including our …",""
"Deep learning algorithms for detection of diabetic retinopathy in retinal fundus photographs: A systematic review and meta-analysis","https://scispace.com/paper/deep-learning-algorithms-for-detection-of-diabetic-tgk2trfo47","2020","Journal Article","Computer Methods and Programs in Biomedicine","Mohaimenul Islam
Hsuan Chia Yang
Tahmina Nasrin Poly
Wen-Shan Jian
Yu-Chuan Jack Li","10.1016/J.CMPB.2020.105320","","… Diabetic retinopathy (DR) is one of the leading causes of … Currently, deep learning (DL) approaches have offered … substantial benefits to reduce screening costs, accessibility to …",""
"Automatic detection of diabetic retinopathy in retinal fundus photographs based on deep learning algorithm","https://scispace.com/paper/automatic-detection-of-diabetic-retinopathy-in-retinal-2azha4pu3z","2019","Journal Article","Translational Vision Science & Technology","Feng Li
Liu Zheng
Chen Hua
Minshan Jiang
Xuedian Zhang
Zhizheng Wu","10.1167/TVST.8.6.4","","… based on deep learning for early DR screening in color fundus images… investigated performance of a hybrid deep learning model … images in retinal color fundus images, generating …","Purpose To achieve automatic diabetic retinopathy (DR) detection in retinal fundus photographs through the use of a deep transfer learning approach using the Inception-v3 network. Methods A total of 19,233 eye fundus color numerical images were retrospectively obtained from 5278 adult patients presenting for DR screening. The 8816 images passed image-quality review and were graded as no apparent DR (1374 images), mild nonproliferative DR (NPDR) (2152 images), moderate NPDR (2370 images), severe NPDR (1984 images), and proliferative DR (PDR) (936 images) by eight retinal experts according to the International Clinical Diabetic Retinopathy severity scale. After image preprocessing, 7935 DR images were selected from the above categories as a training dataset, while the rest of the images were used as validation dataset. We introduced a 10-fold cross-validation strategy to assess and optimize our model. We also selected the publicly independent Messidor-2 dataset to test the performance of our model. For discrimination between no referral (no apparent DR and mild NPDR) and referral (moderate NPDR, severe NPDR, and PDR), we also computed prediction accuracy, sensitivity, specificity, area under the receiver operating characteristic curve (AUC), and κ value. Results The proposed approach achieved a high classification accuracy of 93.49% (95% confidence interval [CI], 93.13%-93.85%), with a 96.93% sensitivity (95% CI, 96.35%-97.51%) and a 93.45% specificity (95% CI, 93.12%-93.79%), while the AUC was up to 0.9905 (95% CI, 0.9887-0.9923) on the independent test dataset. The κ value of our best model was 0.919, while the three experts had κ values of 0.906, 0.931, and 0.914, independently. Conclusions This approach could automatically detect DR with excellent sensitivity, accuracy, and specificity and could aid in making a referral recommendation for further evaluation and treatment with high reliability. Translational Relevance This approach has great value in early DR screening using retinal fundus photographs."
"Diabetic retinopathy detection and stage classification in eye fundus images using active deep learning","https://scispace.com/paper/diabetic-retinopathy-detection-and-stage-classification-in-2il0ce7dji","2021","Journal Article","Multimedia Tools and Applications","Imran Qureshi
Jun Ma
Qaisar Abbas","10.1007/S11042-020-10238-4","https://www.academia.edu/download/72426712/Paper2_MTAP_Qureshi2021_Article_DiabeticRetinopathyDetectionAn.pdf","… fundus imaging is a standard visual diagnostic tool for diagnosis of diabetic retinopathy (DR)… DR stage were suggested for annual screening, while repeat fundus analysis for moderate …","Retinal fundus image analysis (RFIA) for diabetic retinopathy (DR) screening can be used to reduce the risk of blindness among diabetic patients. The RFIA screening programs help the ophthalmologists to cope with this paramount visual impairment problem. In this article, an automatic recognition of the DR stage is proposed based on a new multi-layer architecture of active deep learning (ADL). To develop the ADL system, we used the convolutional neural networks (CNN) model to automatically extract features compare to handcrafted-based features. However, the training of CNN procedure requires an immense size of labeled data that makes it almost difficult in the classification phase. As a result, a label-efficient CNN architecture is presented known as ADL-CNN by using one of the active learning methods known as an expected gradient length (EGL). This ADL-CNN model can be seen as a two-stage process. At first, the proposed ADL-CNN system selects both the most informative patches and images by using some ground truth labels of training samples to learn the simple to complex retinal features. Next, it provides useful masks for prognostication to assist clinical specialists for the important eye sample annotation and segment regions-of-interest within the retinograph image to grade five severity-levels of diabetic retinopathy. To test and evaluate the performance of ADL-CNN model, the EyePACS benchmark is utilized and compared with state-of-the-art methods. The statistical metrics are used such as sensitivity (SE), specificity (SP), F-measure and classification accuracy (ACC) to measure the effectiveness of ADL-CNN system. On 54,000 retinograph images, the ADL-CNN model achieved an average SE of 92.20%, SP of 95.10%, F-measure of 93% and ACC of 98%. Hence, the new ADL-CNN architecture is outperformed for detecting DR-related lesions and recognizing the five levels of severity of DR on a wide range of fundus images."
"Automatic diabetic retinopathy diagnosis using adaptive fine-tuned convolutional neural network","https://scispace.com/paper/automatic-diabetic-retinopathy-diagnosis-using-adaptive-fine-mha0iqbe7m","2021","Journal Article","IEEE Access","Fahman Saeed
Muhammad Hussain
Hatim Aboalsamh","10.1109/ACCESS.2021.3065273","https://ieeexplore.ieee.org/iel7/6287639/9312710/09374414.pdf","… Diabetic retinopathy (DR) is a complication of diabetes that leads to blindness. The manual screening of color fundus … Deep learning (DL) techniques have been employed for automatic …","Diabetic retinopathy (DR) is a complication of diabetes that leads to blindness. The manual screening of color fundus images to detect DR at early stages is expensive and time consuming. Deep learning (DL) techniques have been employed for automatic DR screening on fundus images due to their outstanding performance in many applications. However, training a DL model needs a huge amount of data, which are usually unavailable in the case of DR, and overfitting is unavoidable. Employing a two-stage transfer learning method, we developed herein an intelligent computer-aided system using a pre-trained convolutional neural network (CNN) for automatic DR screening on fundus images. A CNN model learns the domain-specific hierarchy of low- to high-level features. Given this, using the regions of interest (ROIs) of lesions extracted from the annotated fundus images, the first layer of a pre-trained CNN model is re-initialized. The model is then fine-tuned, such that the low-level layers learn the local structures of the lesion and normal regions. As the fully connected layer (FC) layers encode high-level features, which are global in nature and domain specific, we replace them with a new FC layer based on the principal component analysis PCA and use it in an unsupervised manner to extract discriminate features from the fundus images. This step reduces the model complexity, significantly avoiding the overfitting problem. This step also lets the model adopt the fundus image structures, making it suitable for DR feature detection. Finally, we add a gradient boosting-based classification layer. The evaluation of the proposed system using a 10-fold cross-validation on two challenging datasets (i.e., EyePACS and Messidor) indicates that it outperforms state-of-the-art methods. It will be useful for the initial screening of DR patients and will help graders in deciding quickly as regards patient referral to an ophthalmologist for further diagnosis and treatment."
"Automatic screening of fundus images using a combination of convolutional neural network and hand-crafted features","https://scispace.com/paper/automatic-screening-of-fundus-images-using-a-combination-of-59p9990ebm","2019","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Balazs Harangi
János Tóth
Agnes Baran
Andras Hajdu","10.1109/EMBC.2019.8857073","","… : Classification of fundus images according to the severity level of diabetic retinopathy and … As for our experimental results based on testing on the Indian Diabetic Retinopathy Image …","Diabetic retinopathy (DR) and especially diabetic macular edema (DME) are common causes of vision loss as complications of diabetes. In this work, we consider an ensemble that organizes a convolutional neural network (CNN) and traditional hand-crafted features into a single architecture for retinal image classification. This approach allows the joint training of a CNN and the fine-tuning of the weights of handcrafted features to provide a final prediction. Our solution is dedicated to the automatic classification of fundus images according to the severity level of DR and DME. For an objective evaluation of our approach, we have tested its performance on the official test datasets of the IEEE International Symposium on Biomedical Imaging (ISBI) 2018 Challenge 2: Diabetic Retinopathy Segmentation and Grading Challenge, section B. Disease Grading: Classification of fundus images according to the severity level of diabetic retinopathy and diabetic macular edema. As for our experimental results based on testing on the Indian Diabetic Retinopathy Image Dataset (IDRiD), the classification accuracies have been found to be 90.07% for the 5-class DR challenge, and 96.85% for the 3-class DME one."
"Development and validation of deep learning models for screening multiple abnormal findings in retinal fundus images","https://scispace.com/paper/development-and-validation-of-deep-learning-models-for-93zivt7q5p","2020","Journal Article","Ophthalmology","Jaemin Son
Joo Young Shin
Hoon Dong Kim
Kyu-Hwan Jung
Kyu Hyung Park
Sang Jun Park","10.1016/J.OPHTHA.2019.05.029","","… curves for diabetic retinopathy-related … deep learning algorithms with region guidance showed reliable performance for detection of multiple findings in macula-centered retinal fundus …",""
