"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs.","https://scispace.com/paper/27898976","2016","Journal Article","JAMA","Gulshan
Peng
Coram
Stumpe
Wu
Narayanaswamy
Venugopalan
Widner
Madams
Cuadros
Kim
Raman
Nelson
Mega
Webster","10.1001/jama.2016.17216","","Deep learning is a family of computational methods that allow an algorithm to program itself by learning from a large set of examples that demonstrate the desired behavior, removing the need to specify rules explicitly. Application of these methods to medical imaging requires further assessment and validation."
"A convolutional neural network for the screening and staging of diabetic retinopathy.","https://scispace.com/paper/32569310","2020","Journal Article","PloS one","Shaban
Ogur
Mahmoud
Switala
Shalaby
Abu Khalifeh
Ghazal
Fraiwan
Giridharan
Sandhu
El-Baz","10.1371/journal.pone.0233514","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7307769/pdf","Diabetic retinopathy (DR) is a serious retinal disease and is considered as a leading cause of blindness in the world. Ophthalmologists use optical coherence tomography (OCT) and fundus photography for the purpose of assessing the retinal thickness, and structure, in addition to detecting edema, hemorrhage, and scars. Deep learning models are mainly used to analyze OCT or fundus images, extract unique features for each stage of DR and therefore classify images and stage the disease. Throughout this paper, a deep Convolutional Neural Network (CNN) with 18 convolutional layers and 3 fully connected layers is proposed to analyze fundus images and automatically distinguish between controls (i.e. no DR), moderate DR (i.e. a combination of mild and moderate Non Proliferative DR (NPDR)) and severe DR (i.e. a group of severe NPDR, and Proliferative DR (PDR)) with a validation accuracy of 88%-89%, a sensitivity of 87%-89%, a specificity of 94%-95%, and a Quadratic Weighted Kappa Score of 0.91-0.92 when both 5-fold, and 10-fold cross validation methods were used respectively. A prior pre-processing stage was deployed where image resizing and a class-specific data augmentation were used. The proposed approach is considerably accurate in objectively diagnosing and grading diabetic retinopathy, which obviates the need for a retina specialist and expands access to retinal care. This technology enables both early diagnosis and objective tracking of disease progression which may help optimize medical therapy to minimize vision loss."
"Diabetic retinopathy detection using adaptive deep convolutional neural networks on fundus images.","https://scispace.com/paper/40634513","2025","Journal Article","Scientific reports","Abbasi
Amin
Alabrah
Choi
Khan
Bin Heyat
Iqbal
Chen","10.1038/s41598-025-09394-0","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12241457/pdf","Diabetic retinopathy (DR) is an age-related macular degeneration eye disease problem that causes pathological changes in the retinal neural and vascular system. Recently, fundus imaging is a popular technology and widely used for clinical diagnosis, diabetic retinopathy, etc. It is evident from the literature that image quality changes due to uneven illumination, pigmentation level effect, and camera sensitivity affect clinical performance, particularly in automated image analysis systems. In addition, low-quality retinal images make the subsequent precise segmentation a challenging task for the computer diagnosis of retinal images. Thus, in order to solve this issue, herein, we proposed an adaptive enhancement-based Deep Convolutional Neural Network (DCNN) model for diabetic retinopathy (DR). In our proposed model, we used an adaptive gamma enhancement matrix to optimize the color channels and contrast standardization used in images. The proposed model integrates quantile-based histogram equalization to expand the perceptibility of the fundus image. Our proposed model provides a remarkable improvement in fundus color images and can be used particularly for low-contrast quality images. We performed several experiments, and the efficiency is evaluated using a large public dataset named Messidor's. Our proposed model efficiently classifies a distinct group of retinal images. The average assessment score for the original and enhanced images is 0.1942 (standard deviation: 0.0799), Peak Signal-to-Noise Ratio (PSNR) 28.79, and Structural Similarity Index (SSIM) 0.71. The best classification accuracy is [Formula: see text], indicating that Convolutional Neural Networks (CNNs) and transfer learning are superior to traditional methods. The results show that the proposed model increases the contrast of a particular color image without altering its structural information."
"Advancing Diabetic Retinopathy Diagnosis: Leveraging Optical Coherence Tomography Imaging with Convolutional Neural Networks.","https://scispace.com/paper/38239418","2023","Journal Article","Romanian journal of ophthalmology","Ahmed
Thrishulamurthy","10.22336/rjo.2023.63","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10793374/pdf","Diabetic retinopathy (DR) is a vision-threatening complication of diabetes, necessitating early and accurate diagnosis. The combination of optical coherence tomography (OCT) imaging with convolutional neural networks (CNNs) has emerged as a promising approach for enhancing DR diagnosis. OCT provides detailed retinal morphology information, while CNNs analyze OCT images for automated detection and classification of DR. This paper reviews the current research on OCT imaging and CNNs for DR diagnosis, discussing their technical aspects and suitability. It explores CNN applications in detecting lesions, segmenting microaneurysms, and assessing disease severity, showing high sensitivity and accuracy. CNN models outperform traditional methods and rival expert ophthalmologists' results. However, challenges such as dataset availability and model interpretability remain. Future directions include multimodal imaging integration and real-time, point-of-care CNN systems for DR screening. The integration of OCT imaging with CNNs has transformative potential in DR diagnosis, facilitating early intervention, personalized treatments, and improved patient outcomes. "
"Data Diversity in Convolutional Neural Network Based Ensemble Model for Diabetic Retinopathy.","https://scispace.com/paper/37218773","2023","Journal Article","Biomimetics (Basel, Switzerland)","Inamullah
Hassan
Alrajeh
Mohammed
Khan","10.3390/biomimetics8020187","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10204421/pdf","The medical and healthcare domains require automatic diagnosis systems (ADS) for the identification of health problems with technological advancements. Biomedical imaging is one of the techniques used in computer-aided diagnosis systems. Ophthalmologists examine fundus images (FI) to detect and classify stages of diabetic retinopathy (DR). DR is a chronic disease that appears in patients with long-term diabetes. Unattained patients can lead to severe conditions of DR, such as retinal eye detachments. Therefore, early detection and classification of DR are crucial to ward off advanced stages of DR and preserve the vision. Data diversity in an ensemble model refers to the use of multiple models trained on different subsets of data to improve the ensemble's overall performance. In the context of an ensemble model based on a convolutional neural network (CNN) for diabetic retinopathy, this could involve training multiple CNNs on various subsets of retinal images, including images from different patients or those captured using distinct imaging techniques. By combining the predictions of these multiple models, the ensemble model can potentially make more accurate predictions than a single prediction. In this paper, an ensemble model (EM) of three CNN models is proposed for limited and imbalanced DR data using data diversity. Detecting the Class 1 stage of DR is important to control this fatal disease in time. CNN-based EM is incorporated to classify the five classes of DR while giving attention to the early stage, i.e., Class 1. Furthermore, data diversity is created by applying various augmentation and generation techniques with affine transformation. Compared to the single model and other existing work, the proposed EM has achieved better multi-class classification accuracy, precision, sensitivity, and specificity of 91.06%, 91.00%, 95.01%, and 98.38%, respectively."
"Diabetic retinopathy screening in the emerging era of artificial intelligence.","https://scispace.com/paper/35639120","2022","Journal Article","Diabetologia","Grauslund","10.1007/s00125-022-05727-0","","Diabetic retinopathy is a frequent complication in diabetes and a leading cause of visual impairment. Regular eye screening is imperative to detect sight-threatening stages of diabetic retinopathy such as proliferative diabetic retinopathy and diabetic macular oedema in order to treat these before irreversible visual loss occurs. Screening is cost-effective and has been implemented in various countries in Europe and elsewhere. Along with optimised diabetes care, this has substantially reduced the risk of visual loss. Nevertheless, the growing number of patients with diabetes poses an increasing burden on healthcare systems and automated solutions are needed to alleviate the task of screening and improve diagnostic accuracy. Deep learning by convolutional neural networks is an optimised branch of artificial intelligence that is particularly well suited to automated image analysis. Pivotal studies have demonstrated high sensitivity and specificity for classifying advanced stages of diabetic retinopathy and identifying diabetic macular oedema in optical coherence tomography scans. Based on this, different algorithms have obtained regulatory approval for clinical use and have recently been implemented to some extent in a few countries. Handheld mobile devices are another promising option for self-monitoring, but so far they have not demonstrated comparable image quality to that of fundus photography using non-portable retinal cameras, which is the gold standard for diabetic retinopathy screening. Such technology has the potential to be integrated in telemedicine-based screening programmes, enabling self-captured retinal images to be transferred virtually to reading centres for analysis and planning of further steps. While emerging technologies have shown a lot of promise, clinical implementation has been sparse. Legal obstacles and difficulties in software integration may partly explain this, but it may also indicate that existing algorithms may not necessarily integrate well with national screening initiatives, which often differ substantially between countries."
"Diabetic retinopathy detection using red lesion localization and convolutional neural networks.","https://scispace.com/paper/31747632","2020","Journal Article","Computers in biology and medicine","Zago
Andreão
Dorizzi
Teatini Salles","10.1016/j.compbiomed.2019.103537","","Detecting the early signs of diabetic retinopathy (DR) is essential, as timely treatment might reduce or even prevent vision loss. Moreover, automatically localizing the regions of the retinal image that might contain lesions can favorably assist specialists in the task of detection. In this study, we designed a lesion localization model using a deep network patch-based approach. Our goal was to reduce the complexity of the model while improving its performance. For this purpose, we designed an efficient procedure (including two convolutional neural network models) for selecting the training patches, such that the challenging examples would be given special attention during the training process. Using the labeling of the region, a DR decision can be given to the initial image, without the need for special training. The model is trained on the Standard Diabetic Retinopathy Database, Calibration Level 1 (DIARETDB1) database and is tested on several databases (including Messidor) without any further adaptation. It reaches an area under the receiver operating characteristic curve of 0.912-95%CI(0.897-0.928) for DR screening, and a sensitivity of 0.940-95%CI(0.921-0.959). These values are competitive with other state-of-the-art approaches."
"Diabetic Retinopathy Screening Using Artificial Intelligence and Handheld Smartphone-Based Retinal Camera.","https://scispace.com/paper/33435711","2022","Journal Article","Journal of diabetes science and technology","Malerbi
Andrade
Morales
Stuchi
Lencione
de Paulo
Carvalho
Nunes
Rocha
Ferraz
Belfort","10.1177/1932296820985567","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9294565/pdf","Portable retinal cameras and deep learning (DL) algorithms are novel tools adopted by diabetic retinopathy (DR) screening programs. Our objective is to evaluate the diagnostic accuracy of a DL algorithm and the performance of portable handheld retinal cameras in the detection of DR in a large and heterogenous type 2 diabetes population in a real-world, high burden setting."
"Explainable Diabetic Retinopathy using EfficientNET","https://scispace.com/paper/33018388","2020","Journal Article","Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference","Chetoui
Akhloufi","10.1109/EMBC44109.2020.9175664","","Diabetic retinopathy (DR) is a medical condition due to diabetes mellitus that can damage the patient retina and cause blood leaks. This condition can cause different symptoms from mild vision problems to complete blindness if it is not timely treated. In this work, we propose the use of a deep learning architecture based on a recent convolutional neural network called EfficientNet to detect referable diabetic retinopathy (RDR) and vision-threatening DR. Tests were conducted on two public datasets, EyePACS and APTOS 2019. The obtained results achieve state-of-the-art performance and show that the proposed network leads to higher classification rates, achieving an Area Under Curve (AUC) of 0.984 for RDR and 0.990 for vision-threatening DR on EyePACS dataset. Similar performances are obtained for APTOS 2019 dataset with an AUC of 0.966 and 0.998 for referable and vision-threatening DR, respectively. An explainability algorithm was also developed and shows the efficiency of the proposed approach in detecting DR signs."
"Diabetic Retinopathy Diagnosis based on Convolutional Neural Network in the Russian Population: A Multicenter Prospective Study.","https://scispace.com/paper/38031785","2024","Journal Article","Current diabetes reviews","Gognieva
Durzhinskaya
Vorobyeva
Chomakhidze
Suvorov
Kuznetsova
Bektimirova
Al-Dwa
Abdullaev
Yusef
Pavlov
Budzinskaya
Sychev
Moshetova
Kopylov","10.2174/0115733998268034231101091236","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11327734/pdf","Diabetic retinopathy is the most common complication of diabetes mellitus and is one of the leading causes of vision impairment globally, which is also relevant for the Russian Federation."
