"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Diabetic Retinopathy Classification With Deep Learning via Fundus Images: A Short Survey","https://scispace.com/paper/diabetic-retinopathy-classification-with-deep-learning-via-39s102f8te","","Journal Article","IEEE Access","Shanshan Zhu
Changchun Xiong
Qing-qing Zhong
Yudong Yao","10.1109/access.2024.3361944","","Diabetic retinopathy (DR) is a microvascular disease that is associated with diabetes mellitus. DR can cause irreversible vision loss and low vision. DR classification, that is, early DR diagnosis and accurate DR grading, is critical for vision protection and immediate treatment. Deep learning-based automated systems led to significant expectations for DR classification based on fundus images with several advantages. In the past several years, many outstanding studies in this area have been conducted and several review articles have been published. However, the new trends and the future directions are need to furtherly analyzed. Thus, we carefully included and read 94 related articles published from 2018 to 2023 through Web of Science, PubMed, Scopus, and IEEE Xplore. From this review, we found that transfer learning has been used as an outstanding strategy for overcoming the issue of the limited data resources to support DR analysis. CNN models of ResNet and VGGNet with layers of tens or even hundreds are the most popular frameworks used for DR classification. The APTOS 2019 and EyePACS are the most widely used datasets for DR classification. In addition, some lightweight DL architectures like SqueezeNet and MobileNet have been proposed for DR classification tasks, especially for limited data resources and computational capabilities. Although deep learning has achieved or surpassed human-level accuracy in DR classification, there is still a long way to go in real clinical workflows. Further improvements in model interpretability, trustworthiness from ophthalmologists, cost-effective and reliable DR screening systems are needed.","It is found that transfer learning has been used as an outstanding strategy for overcoming the issue of the limited data resources to support DR analysis, and CNN models of ResNet and VGGNet with layers of tens or even hundreds are the most popular frameworks used for DR classification."
"A Cross-Lesion Attention Network for Accurate Diabetic Retinopathy Grading with Fundus Images","https://scispace.com/paper/a-cross-lesion-attention-network-for-accurate-diabetic-291yi4l767","","Journal Article","IEEE Transactions on Instrumentation and Measurement","Xiang Liu
Wei Chi","10.1109/tim.2023.3322497","","Diabetic retinopathy (DR) is one of the major causes of blindness in the working-age population. Automatic DR grading with deep learning can help ophthalmologists treat patients in a timely manner. However, it is difficult to accurately grade DR because fundus images contain several different DR-related lesions such as soft exudates (SEs), hemorrhages (HEs), microaneurysms (MAs), and hard exudates (EXs), which are largely different in shape, appearance, and spatial location, and there exists strong multilesion dependency that can greatly affect the final grading results. In this article, a cross-lesion attention network (CLANet) is proposed, which can adaptively learn rich and discriminative imaging features from complicated lesions and model the dependencies of DR-related lesions. It consists of two main parts as follows. First, an adaptive lesion-aware (ALA) module based on adaptive channel-spatial convolution (ACSConv) can dynamically adjust convolution filters with different receptive fields to learn imaging features according to different DR lesions, so as to more flexibly and robustly handle the diversity of DR lesion features. Then, a cross-scale context attention (CSCA) module is developed to explore the dependencies of multiple DR-related lesions by sufficiently taking advantage of the long-range dependence learning ability of context network, which is further aggregated to learn multiscale context features in a coarse-to-fine manner. Experimental results on the public DR grading datasets [i.e., IDRiD, Messidor, and dataset for DR (DDR)] show that the proposed CLANet outperforms the state-of-the-art approaches.","A cross-lesion attention network (CLANet) is proposed, which can adaptively learn rich and discriminative imaging features from complicated lesions and model the dependencies of DR-related lesions."
"Automatic Severity Classification of Diabetic Retinopathy Based on DenseNet and Convolutional Block Attention Module","https://scispace.com/paper/automatic-severity-classification-of-diabetic-retinopathy-1kb4w94b","","Journal Article","IEEE Access","Mohamed M. Farag
Maria A. Fouad
Amr T. Abdel-Hamid","10.1109/ACCESS.2022.3165193","https://ieeexplore.ieee.org/ielx7/6287639/6514899/09750054.pdf","Diabetic Retinopathy (DR) - a complication developed due to heightened blood glucose levels- is deemed one of the most sight-threatening diseases. Unfortunately, DR screening is manually acquired by an ophthalmologist, a process that can be considered erroneous and time-consuming. Accordingly, automated DR diagnostics have become a focus of research in recent years due to the tremendous increase in diabetic patients. Moreover, the recent accomplishments demonstrated by Convolutional Neural Networks (CNN) settle them as state-of-the-art for DR stage identification. This paper proposes a new automatic deep-learning-based approach for severity detection by utilizing a single Color Fundus photograph (CFP). The proposed technique employs DenseNet169’s encoder to construct a visual embedding. Furthermore, Convolutional Block Attention Module (CBAM) is introduced on top of the encoder to reinforce its discriminative power. Finally, the model is trained using cross-entropy loss on the Kaggle Asia Pacific Tele-Ophthalmology Society’s (APTOS) dataset. On the binary classification task, we accomplished (97% accuracy - 97% sensitivity - 98.3% specificity - 0.9455, Quadratic Weighted Kappa score (QWK)) compared to the state-of-the-art. Moreover, Our network showed high competency (82% accuracy - 0.888 (QWK)) for severity grading. The significant contribution of the proposed framework is that it efficiently grades the severity level of diabetic retinopathy while reducing the time and space complexity required, which demonstrates it as a promising candidate for autonomous diagnosis.","The significant contribution of the proposed framework is that it efficiently grades the severity level of diabetic retinopathy while reducing the time and space complexity required, which demonstrates it as a promising candidate for autonomous diagnosis."
"A Lightweight Robust Deep Learning Model Gained High Accuracy in Classifying a Wide Range of Diabetic Retinopathy Images","https://scispace.com/paper/a-lightweight-robust-deep-learning-model-gained-high-tfdgq90k","","Journal Article","IEEE Access","Kaniz Fatema
Inam Ullah Khan
Sami Azam
Md. Rafi Ur Rashid
Md. Saddam Hossain Mukta
Mirjam Jonkman
Friso De Boer","10.1109/ACCESS.2023.3272228","","Diabetic retinopathy (DR) is a common complication of diabetes mellitus, and retinal blood vessel damage can lead to vision loss and blindness if not recognized at an early stage. Manual DR detection using large fundus image data is time-consuming and error-prone. An effective automatic DR detection system can be significantly faster and potentially more accurate. This study aims to classify fundus images into five DR classes, using deep learning methods, with the highest possible accuracy and the lowest possible computational time. Three distinct DR datasets, APTOS, Messidor2, and IDRiD, are merged, resulting in 5,819 raw images. Before training the model, various image preprocessing techniques are applied to remove artifacts and noise from the images and improve their quality. Three augmentation techniques: geometric, photometric, and elastic deformation, are used to create a balanced dataset. A shallow convolutional neural network (CNN) is developed using three blocks of convolutional layers and maxpool layers with a categorical cross-entropy loss function, Adam optimizer, 0.0001 learning rate, and 64 batch size as a base model, and this is also employed to determine the best data augmentation method for further processing. A study to optimize the performance is then conducted by changing different components and hyperparameters of the base model, resulting in our proposed RetNet-10 model. Six cutting-edge models are employed for comparison. Our proposed RetNet-10 model performed the best, with a testing accuracy of 98.65%. MobileNetV2, VGG16, Xception, VGG19, InceptionV3 and ResNet50 achieved testing accuracies of 91.42%, 90.16%,89.57%, 88.21%, 87.68% and 87.23%, respectively. The model is also trained with several k values to assess its robustness. After image processing and data augmentation, using the combined dataset, and fine-tuning the base model, our proposed RetNet-10 model outperformed other automated methods for DR diagnosis.","In this paper , a shallow convolutional neural network (CNN) is developed using three blocks of CNN and maxpool layers with a categorical cross-entropy loss function, Adam optimizer, 0.0001 learning rate, and 64 batch size as a base model, and this was also employed to determine the best data augmentation method for further processing."
"Diabetic Retinopathy Detection and Classification from Fundus Images Using Deep Learning","https://scispace.com/paper/diabetic-retinopathy-detection-and-classification-from-xfc2shxit9jz","","","","Pratiksha Shetgaonkar
Shailendra Aswale
Saurabh Naik
Amey Gaonkar
Swapnil Gawade
Pradnya Mhalsekar","10.1109/ictai53825.2021.9673345","","Diabetic Retinopathy (DR) is one of the severe microvascular conditions that affect the retina of the eye. It can result in permanent partial or total blindness if not discovered and treated early. Across the world, diabetes impacts in excess of 50% of people below 70 years of age. Many diabetic people, however, fail to notice the disease and suffer visual impairments as a result of the time it takes to see an ophthalmologist who screens and analyses the patient’s retina. This research study focuses on the automated detection and categorization of DR based on distinct severity levels using fundus images. The method starts with a pre-processing step to get rid of any extraneous noise from the edges and aids in the focus on the area of interest. The DR fundus images were then categorized into various severity levels using DL models like VGG19, ResNet50, and Inception-V3 Deep Learning (DL) models. The logic for the presented DL model has been tested on the EyePACS (kaggle) DR dataset. In terms of classification accuracy, the suggested DL model with ResNet50 configuration surpassed other models such as VGG19 and Inception-V3 as well as other current models, according to the findings of the research.","This study proposes a deep learning-based approach for automated diabetic retinopathy detection and classification from fundus images, achieving high classification accuracy using ResNet50, surpassing VGG19 and Inception-V3 models on the EyePACS dataset."
"Grading of Diabetic Retinopathy Images Based on Graph Neural Network","https://scispace.com/paper/grading-of-diabetic-retinopathy-images-based-on-graph-neural-917b0wvsyy","","Journal Article","IEEE Access","","10.1109/access.2023.3312709","","Diabetic Retinopathy (DR) has become one of the main reasons for the rise in the number of limited vision people worldwide, while high-definition color fundus images have brought great convenience to the diagnosis of DR. However, manual image reading is time-consuming and labor-intensive, and different doctors may make different diagnoses. At present, intelligent grading based on deep learning has become a hotspot in DR intelligent diagnosis. The existing DR intelligent classification model based on convolutional neural network has achieved good results, but the relationship between the deep features proposed by the network is not considered, while this relationship contains important classification information. In order to overcome the above-mentioned shortcoming of convolutional networks, this article draws on the powerful relationship capture capabilities of graph neural networks and proposes a new DR intelligent classification model. The model is composed of two cascaded networks. The convolutional neural network is used to extract the deep features of the DR image, and the graph neural network is used to further capture the relationship between the deep features of the convolutional network. Finally, the two network outputs are fused by adaptive weight, and give the grading result of the entire network. The proposed model is evaluated on the APTOS2019 and Messidor-2 datasets. Compared with other models, the grading accuracy and F1-score of the proposed model on APTOS2019 are improved by 1.1% and 1.3%, respectively. The grading accuracy and F1-score are improved by 1.4% and 1.8% on Messidor-2, respectively.","This article draws on the powerful relationship capture capabilities of graph neural networks and proposes a new DR intelligent classification model composed of two cascaded networks that is evaluated on the APTOS2019 and Messidor-2 datasets."
"Advance Detection of Diabetic Retinopathy: Deep Learning Approach","https://scispace.com/paper/advance-detection-of-diabetic-retinopathy-deep-learning-2nfduljsjr","","Journal Article","","Ankur Biswas
Rita Banik","10.1007/978-3-031-48876-4_6","","Diabetic retinopathy (DR) is an ophthalmological ailment wherein the diabetic individuals suffer from the formation of blockages, lesions, or hemorrhages predominantly in light-sensitive portion of said retina. Because of the increase in blood sugar, vascular blockage drives new vessel creation, giving rise to mesh-like patterns. As lack of timely treatment of DR results in vision loss, early diagnosis and professional assistance plays a crucial role. This can be achieved with a computer-aided diagnostic (CAD) system based on retinal fundus images. Various steps are involved in a CAD system, including as the detection, segmentation, and categorization of abnormalities in fundus images. This study is an effort to expedite the first screening of DR so as to meet the need of the increasing population of diabetic patients in the future. On publicly accessible datasets, we have trained and validated reliable classification algorithms enabling timely detection of DR. Convolutional neural networks (CNN)-based advanced deep learning models are used to fully use data-driven machine learning techniques for this purpose. We also defined the issue as the detection of DR of any grade (Grades 1–4) vs. No-DR in a binary classification (Grade 0). For training the models, we used 56,839 fundus pictures from the EyePACS dataset. On a test set from EyePACS, the models were put to the test (14,210 images). As compared to the established methods, experimental findings demonstrate superior outcomes through DenseNet with pre-trained weights. In the model’s evaluation on the EyePACS datasets, it achieved good results with an of 97.55% in binary and 78% in multiclass-classification. ","This study proposes a deep learning-based CAD system for early detection of diabetic retinopathy using retinal fundus images, achieving 97.55% accuracy in binary classification and 78% in multiclass classification on the EyePACS dataset."
"Instant Automatic Diagnosis of Diabetic Retinopathy","https://scispace.com/paper/instant-automatic-diagnosis-of-diabetic-retinopathy-vqlpcyt6pj70","","","","Gwenolé Quellec
Mathieu Lamard
Bruno Lay
Alexandre Le Guilcher
Ali Erginay
Béatrice Cochener
Pascale Massin","10.48550/arxiv.1906.11875","","The purpose of this study is to evaluate the performance of the OphtAI system for the automatic detection of referable diabetic retinopathy (DR) and the automatic assessment of DR severity using color fundus photography. OphtAI relies on ensembles of convolutional neural networks trained to recognize eye laterality, detect referable DR and assess DR severity. The system can either process single images or full examination records. To document the automatic diagnoses, accurate heatmaps are generated. The system was developed and validated using a dataset of 763,848 images from 164,660 screening procedures from the OPHDIAT screening program. For comparison purposes, it was also evaluated in the public Messidor-2 dataset. Referable DR can be detected with an area under the ROC curve of AUC = 0.989 in the Messidor-2 dataset, using the University of Iowa's reference standard (95% CI: 0.984-0.994). This is significantly better than the only AI system authorized by the FDA, evaluated in the exact same conditions (AUC = 0.980). OphtAI can also detect vision-threatening DR with an AUC of 0.997 (95% CI: 0.996-0.998) and proliferative DR with an AUC of 0.997 (95% CI: 0.995-0.999). The system runs in 0.3 seconds using a graphics processing unit and less than 2 seconds without. OphtAI is safer, faster and more comprehensive than the only AI system authorized by the FDA so far. Instant DR diagnosis is now possible, which is expected to streamline DR screening and to give easy access to DR screening to more diabetic patients.","This study evaluates OphtAI, a deep learning system for automatic diabetic retinopathy (DR) diagnosis, achieving high accuracy (AUC 0.989-0.997) and outperforming FDA-authorized AI, with instant diagnosis possible in under 2 seconds."
"Grouping and Decoupling Mechanism for Diabetic Retinopathy Image Grading","https://scispace.com/paper/grouping-and-decoupling-mechanism-for-diabetic-retinopathy-vay6b104goe2","","","","Shijie Rao
Jinsong Tang
Yidong Huang
Kaiyu Cui
Shengjin Wang","10.1145/3500931.3501002","","Automatic detection of diabetic retinopathy (DR) by fundus images can help a lot of patients to get diagnosis. However, many excellent deep learning models for image classification do not equally achieve good results on DR detection since fundus image classification is different from typical image classification problem. The lesions are usually small and reflected in the part rather than the whole image. In this paper, we investigate the effect of network depth and the relationship between different DR grades. Then we propose a novel attention network to group and classify DR. Our contributions are mainly in three aspects: 1. Find a suitable network depth for DR detection by experiments. 2.Propose a grouping and decoupling mechanism for DR grading. 3. Design a novel deep convolutional neural network to classify DR, which also generates attention map indicating the location of lesions. Experiments show that our network outperforms other methods on the Messidor dataset. We reach the AUC of 96.9% and the accuracy of 92.7% on binary classification and the accuracy of 81.7% on 4-class grading.","This paper proposes a novel attention network for diabetic retinopathy image grading, addressing the challenges of small lesions and varying image characteristics. It achieves state-of-the-art results on the Messidor dataset with AUC 96.9% and accuracy 92.7% on binary classification."
"Optimal Detection of Diabetic Retinopathy Severity Levels Using Attention-Based CNN and Vision Transformers (Vit)","https://scispace.com/paper/optimal-detection-of-diabetic-retinopathy-severity-levels-qibloh9c8ns5","","","","Gaurang Kakade
Chaitanya Kakade","10.1109/mosicom63082.2024.10881457","","Diagnosing diabetic retinopathy (DR) from colour fundus images is challenging as it requires skilled clinicians to recognize and interpret multiple small features and utilize a complex grading system, making the process both difficult and time-consuming. Prior detection of this condition is important to prevent any further complications such as partial or complete blindness. This study presents an approach for detecting the severity levels of diabetic retinopathy using a combination of Attention-Based Convolutional Neural Networks (CNN) and Vision Transformers (ViT). The method addresses the need for accurate classification of retinal images across multiple severity levels of diabetic retinopathy. We made use of a unique combination of attention mechanisms in CNN and transformers, thereby enhancing the model's ability to focus on critical regions within the retinal images. Experimental results show improvements in classification accuracy of around $95 \%$, sensitivity, specificity, and other key performance metrics, making it a potentially better solution for automated diabetic retinopathy detection.","This study presents an attention-based CNN-ViT model for detecting diabetic retinopathy severity levels from colour fundus images, achieving 95% classification accuracy and improved sensitivity, specificity, and other key performance metrics for automated detection."
