"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Deep Learning Architectures for Early Detection of Diabetic Retinopathy in Retinal Image Analysis","https://scispace.com/paper/deep-learning-architectures-for-early-detection-of-diabetic-26ae6bwm9yv0","2025","Journal Article","Journal of Computer Allied Intelligence (JCAI).","","10.69996/jcai.2025026","","This paper explores the application of deep learning architectures in retinal image analysis, with a particular focus on the early detection of diabetic retinopathy (DR). Leveraging large-scale retinal imaging datasets, the study examines the diagnostic capacity of advanced neural models in identifying subtle pathological markers such as microaneurysms, hemorrhages, and exudates at the earliest clinical stages. Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), and hybrid deep learning frameworks are evaluated for their performance in image classification and lesion localization. Results demonstrate that CNN-based architectures achieve an accuracy of 94.2%, with sensitivity and specificity values exceeding 93%, underscoring their robustness in medical image interpretation. Hybrid models integrating CNN and attention mechanisms further enhance feature discrimination, achieving 95.1% accuracy and improved area under the curve (AUC) metrics. RNN-driven architectures exhibit competitive performance, particularly in sequential image feature learning, with overall accuracy surpassing 92%. The findings highlight the transformative role of deep learning in automating ophthalmic diagnostics, enabling scalable, precise, and timely detection of diabetic retinopathy to mitigate preventable vision loss. ",""
"Artificial Intelligence for Diabetic Retinopathy Screening: Performance of Deep Learning Models","https://scispace.com/paper/artificial-intelligence-for-diabetic-retinopathy-screening-nlt2iyelr31u","2025","Journal Article","European Journal of Public Health","F Zaier
M. Zribi","10.1093/eurpub/ckaf161.318","","Abstract Background Diabetic Retinopathy (DR) remains a leading cause of preventable blindness, with rising prevalence particularly in low-resource settings. Traditional DR screening relies on specialist ophthalmologic assessment, posing barriers to early detection. Recent advances in deep learning have enabled the development of automated tools that may enhance the scalability and accessibility of DR screening. Objectives To compare the performance of two convolutional neural network (CNN) architectures-EfficientNet-B5 and ResNet-50-for automated DR detection using publicly available retinal fundus image datasets. Methods We utilized a transfer learning approach on two large datasets: EyePACS 2015 (n = 35,126) for training/validation and APTOS 2019 (n = 3,662) for external testing. Images were preprocessed with resizing, cropping, and contrast enhancement. The EfficientNet-B5 and ResNet-50 models were independently trained and evaluated using key metrics: accuracy, sensitivity, specificity, area under the ROC curve (AUC), and Quadratic Weighted Kappa (QWK), with classification across DR severity levels. Results EfficientNet-B5 achieved a QWK of 92%, sensitivity of 98%, specificity of 93%, and AUC of 96% on the test dataset. ResNet-50 demonstrated similarly high performance with an accuracy of 96%, QWK of 86%, sensitivity of 94%, specificity of 97%, and AUC of 96%. Both models showed robust generalization across severity grades, indicating strong discriminative capabilities. Conclusions The results highlighted that our models are viable architectures for AI-driven DR screening, with EfficientNet-B5 showing slightly higher agreement scores and ResNet-50 offering stronger specificity. These models hold promise for deployment in DR screening programs, especially in resource-limited settings where ophthalmologic expertise is scarce. Future work should focus on clinical validation and integration into public health systems to improve early DR detection and reduce vision-related morbidity. Key messages • Integrating artificial intelligence (AI) into diabetic retinopathy screening can enhance early detection and support equitable access to eye care, particularly in resource-limited settings. • AI-based screening tools offer a scalable and effective approach to strengthen public health strategies aimed at preventing vision loss from diabetic complications. ",""
"Decoding Diabetic Retinopathy Images: A Comparative Analysis of Deep Learning Models for Effective Severity Grading","https://scispace.com/paper/decoding-diabetic-retinopathy-images-a-comparative-analysis-pq8ym0rzw0l2","2025","Journal Article","","Soumya Ranjan Mahanta","10.2174/9798898810450125010008","","Diabetic retinopathy (DR) is a leading cause of vision loss, making early detection and accurate severity assessment crucial for timely intervention. This study evaluated five pre-trained deep-learning models for classifying DR severity levels from fundus images. Encompassing diverse architectures like ResNet50 and EfficientNetB5, the models were extensively trained and validated for generalizability. Performance was assessed using ordinal regression metrics (MAE, MSE, QWK), ROC-AUC, specificity, sensitivity, and visualizations like confusion matrices and model architectures. DenseNet121 and EfficientNetB5 emerged as top performers, with DenseNet121 excelling in precise severity predictions due to its outstanding MAE, MSE, and QWK scores. Confusion matrices provided insights into misclassifications, while ROC-AUC analysis confirmed the models' strong discriminative ability. DenseNet121 and EfficientNetB5 hold significant promise for aiding early DR detection and accurate severity assessment, potentially paving the way for timely intervention and personalized patient care. Future research should focus on fine-tuning strategies and external validation to enhance model generalizability and real-world clinical utility. ",""
"Deep Insights in to Diabetic Retinopathy Detection: A Review of Techniques in Deep Learning","https://scispace.com/paper/deep-insights-in-to-diabetic-retinopathy-detection-a-review-hkwlu5jhbuw3","2024","Repository","","Sheetal S. Patil
Bhageshree Supekar
V.V. Phule
Atharva Ranjane
Dr.   Praveen Blessington Thummalakunta","10.5281/zenodo.18171975","","Diabetic retinopathy (DR) is a prominent global cause of blindness that affects a large proportion of people with diabetes. To stop irreversible visual deterioration, early detection and treatment are essential. Deep learning algorithms have shown a great deal of promise recently in automating the processing of retinal pictures to detect DR. This study attempts to do a thorough analysis of the different deep learning methods used in the diagnosis of diabetic retinopathy. The study offers a thorough examination of several convolutional neural network (CNN) architectures. Furthermore, the study explores pre-processing methods and their effects on model performance, including image augmentation and normalization. Additionally, the study assesses how dataset diversity and size affect DR detection methods' efficacy. The performance of the examined algorithms is evaluated by comparative assessments of various evaluation measures, including sensitivity, specificity, and the area under the receiver operating characteristics curve. The article also discusses the drawbacks and restrictions of the current methods and makes recommendations for possible directions for further study in this area. Researchers, physicians, and practitioners working toward the development of reliable and accurate automated systems for diabetic retinopathy identification are expected to find this thorough evaluation to be a useful resource. ","This review assesses deep learning techniques for diabetic retinopathy detection, evaluating CNN architectures, pre-processing methods, and dataset effects on model performance, providing a comprehensive analysis for developing reliable automated DR identification systems."
"Deep Insights in to Diabetic Retinopathy Detection: A Review of Techniques in Deep Learning","https://scispace.com/paper/deep-insights-in-to-diabetic-retinopathy-detection-a-review-s9gkzg4rc4fv","2024","Repository","","Sheetal S. Patil
Bhageshree Supekar
V.V. Phule
Atharva Ranjane
Dr.   Praveen Blessington Thummalakunta","10.5281/zenodo.18171974","","Diabetic retinopathy (DR) is a prominent global cause of blindness that affects a large proportion of people with diabetes. To stop irreversible visual deterioration, early detection and treatment are essential. Deep learning algorithms have shown a great deal of promise recently in automating the processing of retinal pictures to detect DR. This study attempts to do a thorough analysis of the different deep learning methods used in the diagnosis of diabetic retinopathy. The study offers a thorough examination of several convolutional neural network (CNN) architectures. Furthermore, the study explores pre-processing methods and their effects on model performance, including image augmentation and normalization. Additionally, the study assesses how dataset diversity and size affect DR detection methods' efficacy. The performance of the examined algorithms is evaluated by comparative assessments of various evaluation measures, including sensitivity, specificity, and the area under the receiver operating characteristics curve. The article also discusses the drawbacks and restrictions of the current methods and makes recommendations for possible directions for further study in this area. Researchers, physicians, and practitioners working toward the development of reliable and accurate automated systems for diabetic retinopathy identification are expected to find this thorough evaluation to be a useful resource. ","This review assesses deep learning techniques for diabetic retinopathy detection, evaluating CNN architectures, pre-processing methods, and dataset effects on model performance, providing a comprehensive analysis for developing reliable automated DR identification systems."
"Deep Red Lesion Classification for Early Screening of Diabetic Retinopathy","https://scispace.com/paper/deep-red-lesion-classification-for-early-screening-of-15y93x52","2022","Journal Article","Mathematics","Muhammad Ashraf
Muhammad Hussain
Z. Habib","10.3390/math10050686","https://scispace.com/pdf/deep-red-lesion-classification-for-early-screening-of-15y93x52.pdf","Diabetic retinopathy (DR) is an asymptotic and vision-threatening complication among working-age adults. To prevent blindness, a deep convolutional neural network (CNN) based diagnosis can help to classify less-discriminative and small-sized red lesions in early screening of DR patients. However, training deep models with minimal data is a challenging task. Fine-tuning through transfer learning is a useful alternative, but performance degradation, overfitting, and domain adaptation issues further demand architectural amendments to effectively train deep models. Various pre-trained CNNs are fine-tuned on an augmented set of image patches. The best-performing ResNet50 model is modified by introducing reinforced skip connections, a global max-pooling layer, and the sum-of-squared-error loss function. The performance of the modified model (DR-ResNet50) on five public datasets is found to be better than state-of-the-art methods in terms of well-known metrics. The highest scores (0.9851, 0.991, 0.991, 0.991, 0.991, 0.9939, 0.0029, 0.9879, and 0.9879) for sensitivity, specificity, AUC, accuracy, precision, F1-score, false-positive rate, Matthews’s correlation coefficient, and kappa coefficient are obtained within a 95% confidence interval for unseen test instances from e-Ophtha_MA. This high sensitivity and low false-positive rate demonstrate the worth of a proposed framework. It is suitable for early screening due to its performance, simplicity, and robustness.","The modified model (DR-ResNet50) is suitable for early screening due to its performance, simplicity, and robustness, and the performance of the modified model is found to be better than state-of-the-art methods in terms of well-known metrics."
"Deep Learning Approaches for Detecting Diabetic Retinopathy using CNN Models","https://scispace.com/paper/deep-learning-approaches-for-detecting-diabetic-retinopathy-2spwxh7y","2022","Proceedings Article","","M. Krishnan
S. Ramya
K. Kirubanathavalli
S. Lalitha
J. Diofrin
M. Thanjai Vadivel","10.1109/ICACRS55517.2022.10029234","","Chronic diabetes is linked to diabetic retinopathy (DR), an eye condition. Is therefore predicted will be even more than DR affects 93 million populations? Making it the main source of vision among adults of working age. Early detection of DR is essential for preventing severe vision loss; however, this may be challenging since the condition often displays no indications until it's too late to give effective therapy. Retinal fundus views in digitized RGB are now examined and evaluated by ophthalmologists or qualified physicians to identify DR through the presence of lesions associated with the disease's pathological changes, a procedure that is both time-consuming and labor-intensive. The development of DR may be controlled or managed by using the computerized method of diagnostic testing to expedite detection and consideration. The previous techniques used to Support Vector Machine and Probabilistic Neural Network techniques are poor results. This research work provides an automated classification method, which uses a convolutional neural network, VGG-16, as well as VGG-19 machine learning methods were used to analyze fundus images with varying illumination and sectors of vision and produce a seriousness grading for diabetic retinopathy (DR). Classifying pictures 80% sensitive, 82% precision, 82% specific, and a range of 0 to 4, where 0 represents no DR and 4 represents proliferative DR 0.904 AUC is an impressive feat for this system.","In this article , a convolutional neural network (CNN) and a VGG-19 machine learning method were used to analyze fundus images with varying illumination and sectors of vision and produce a seriousness grading for diabetic retinopathy (DR)."
"A novel convolutional neural network architecture for diabetic retinopathy screening","https://scispace.com/paper/a-novel-convolutional-neural-network-architecture-for-uiotrl6m","2022","Proceedings Article","","","10.1109/aist55798.2022.10065181","","Diabetic retinopathy (DR) is a diabetes complication prevailing worldwide that may affect eye vision. Manual DR diagnosis is a tedious and complex task; thus, an automated approach is needed to cater to the need of people across the world. A lot of automated approaches have been developed in the recent past for DR classification. Most of these approaches are computationally expensive and involve a lot of pre-processing techniques or transfer learning-based algorithms. The present work focuses on developing a computationally-effective approach with high performance for DR classification. The present work proposes a novel lightweight convolutional neural network (CNN) based DR binary classification model using shortcut connections to reuse the features of previous convolution layers. The proposed model is computationally effective and requires 1.137M (Million) parameters, which is much less than the existing approaches. The experimental study is executed on the APTOS dataset. The parametric evaluation of the proposed model is also analysed with several transfer learning-based approaches. The model obtained 0.9754 (classification accuracy and sensitivity), 0.9666 (specificity), 0.9755 (precision), 0.9747 (F-1 score), 0.97 (AUC), and 0.9509 (kappa score) with APTOS. The cross-dataset validation has been performed on the IDRiD dataset. The proposed model achieved good and consistent performance on both APTOS and IDRiD datasets. (Abstract) ","In this article , a lightweight convolutional neural network (CNN) based diabetic retinopathy binary classification model using shortcut connections to reuse the features of previous convolution layers was proposed, which is computationally effective and requires 1.137M (Million) parameters."
"A novel convolutional neural network architecture for diabetic retinopathy screening","https://scispace.com/paper/a-novel-convolutional-neural-network-architecture-for-gayk1f6h","2022","Proceedings Article","International Joint Conference on the Analysis of Images, Social Networks and Texts","Ruchika Bala
Arun Sharma
Nidhi Goel","10.1109/AIST55798.2022.10065181","","Diabetic retinopathy (DR) is a diabetes complication prevailing worldwide that may affect eye vision. Manual DR diagnosis is a tedious and complex task; thus, an automated approach is needed to cater to the need of people across the world. A lot of automated approaches have been developed in the recent past for DR classification. Most of these approaches are computationally expensive and involve a lot of pre-processing techniques or transfer learning-based algorithms. The present work focuses on developing a computationally-effective approach with high performance for DR classification. The present work proposes a novel lightweight convolutional neural network (CNN) based DR binary classification model using shortcut connections to reuse the features of previous convolution layers. The proposed model is computationally effective and requires 1.137M (Million) parameters, which is much less than the existing approaches. The experimental study is executed on the APTOS dataset. The parametric evaluation of the proposed model is also analysed with several transfer learning-based approaches. The model obtained 0.9754 (classification accuracy and sensitivity), 0.9666 (specificity), 0.9755 (precision), 0.9747 (F-1 score), 0.97 (AUC), and 0.9509 (kappa score) with APTOS. The cross-dataset validation has been performed on the IDRiD dataset. The proposed model achieved good and consistent performance on both APTOS and IDRiD datasets. (Abstract)","In this paper , a lightweight convolutional neural network (CNN) based diabetic retinopathy binary classification model using shortcut connections to reuse the features of previous convolution layers was proposed, which is computationally effective and requires 1.137M (Million) parameters."
"Automated Detection of Diabetic Retinopathy using a Binocular Siamese-Like Convolutional Network","https://scispace.com/paper/automated-detection-of-diabetic-retinopathy-using-a-390jv640oa","2019","Proceedings Article","International Symposium on Circuits and Systems","Xianglong Zeng
Haiquan Chen
Yuan Luo
Wenbin Ye","10.1109/ISCAS.2019.8702328","","Diabetic retinopathy (DR) is an important causes of blindness worldwide. It is hard to detected in early stages and the diagnostic procedure can be time-consuming. Therefore, we proposed a deep learning method to automatedly diagnose the referable deiabetic retinopathy (RDR) by classifying retinal fundus photographs. In our work, A novel convolutional neural network with Siamese-like architecture is trained with transfer learning technique. Different from previous works, the proposed model accepts binocular fundus images as input and learns their correlation to aid the prediction. A custom loss function combining cross entropy loss and contrastive loss is also adopted to guide the gradient descent. With a training set of only 28104 images and a test set of 3510 images, an area under the receiver operating curve (AUC) of 0.949 is obtained through the proposed method. Furthermore, the sensitivity reaches 80.7% when the specificity is fixed at 95.0%, and the specificity reaches 70.3% when the sensitivity is fixed at 95.0%, which are 3.2% and 4.6% higher than those obtained by the existing Inception V3 model trained with monocular fundus images, respectively.","A novel convolutional neural network with Siamese-like architecture is trained with transfer learning technique to automatedly diagnose the referable deiabetic retinopathy by classifying retinal fundus photographs."
