"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Automatic Severity Classification of Diabetic Retinopathy Based on DenseNet and Convolutional Block Attention Module","https://scispace.com/paper/automatic-severity-classification-of-diabetic-retinopathy-1kb4w94b","","Journal Article","IEEE Access","Mohamed M. Farag
Maria A. Fouad
Amr T. Abdel-Hamid","10.1109/ACCESS.2022.3165193","https://ieeexplore.ieee.org/ielx7/6287639/6514899/09750054.pdf","Diabetic Retinopathy (DR) - a complication developed due to heightened blood glucose levels- is deemed one of the most sight-threatening diseases. Unfortunately, DR screening is manually acquired by an ophthalmologist, a process that can be considered erroneous and time-consuming. Accordingly, automated DR diagnostics have become a focus of research in recent years due to the tremendous increase in diabetic patients. Moreover, the recent accomplishments demonstrated by Convolutional Neural Networks (CNN) settle them as state-of-the-art for DR stage identification. This paper proposes a new automatic deep-learning-based approach for severity detection by utilizing a single Color Fundus photograph (CFP). The proposed technique employs DenseNet169’s encoder to construct a visual embedding. Furthermore, Convolutional Block Attention Module (CBAM) is introduced on top of the encoder to reinforce its discriminative power. Finally, the model is trained using cross-entropy loss on the Kaggle Asia Pacific Tele-Ophthalmology Society’s (APTOS) dataset. On the binary classification task, we accomplished (97% accuracy - 97% sensitivity - 98.3% specificity - 0.9455, Quadratic Weighted Kappa score (QWK)) compared to the state-of-the-art. Moreover, Our network showed high competency (82% accuracy - 0.888 (QWK)) for severity grading. The significant contribution of the proposed framework is that it efficiently grades the severity level of diabetic retinopathy while reducing the time and space complexity required, which demonstrates it as a promising candidate for autonomous diagnosis.","The significant contribution of the proposed framework is that it efficiently grades the severity level of diabetic retinopathy while reducing the time and space complexity required, which demonstrates it as a promising candidate for autonomous diagnosis."
"Designing the Architecture of a Convolutional Neural Network Automatically for Diabetic Retinopathy Diagnosis","https://scispace.com/paper/designing-the-architecture-of-a-convolutional-neural-network-eev3cwbv8sb9","","","","Fahman Saeed
Muhammad Hussain
Hatim A Aboalsamh
Fadwa Al Adel
Adi Mohammed Al Owaifeer","10.48550/arxiv.2110.03877","","The prevalence of diabetic retinopathy (DR) has reached 34.6 is a major cause of blindness among middle-aged diabetic patients. Regular DR screening using fundus photography helps detect its complications and prevent its progression to advanced levels. As manual screening is time-consuming and subjective, machine learning (ML) and deep learning (DL) have been employed to aid graders. However, the existing CNN-based methods use either pre-trained CNN models or a brute force approach to design new CNN models, which are not customized to the complexity of fundus images. To overcome this issue, we introduce an approach for custom-design of CNN models, whose architectures are adapted to the structural patterns of fundus images and better represent the DR-relevant features. It takes the leverage of k-medoid clustering, principal component analysis (PCA), and inter-class and intra-class variations to automatically determine the depth and width of a CNN model. The designed models are lightweight, adapted to the internal structures of fundus images, and encode the discriminative patterns of DR lesions. The technique is validated on a local dataset from King Saud University Medical City, Saudi Arabia, and two challenging benchmark datasets from Kaggle: EyePACS and APTOS2019. The custom-designed models outperform the famous pre-trained CNN models like ResNet152, Densnet121, and ResNeSt50 with a significant decrease in the number of parameters and compete well with the state-of-the-art CNN-based DR screening methods. The proposed approach is helpful for DR screening under diverse clinical settings and referring the patients who may need further assessment and treatment to expert ophthalmologists.","This study proposes an automatic CNN architecture design approach for diabetic retinopathy diagnosis, leveraging k-medoid clustering, PCA, and inter-class variations to adapt CNN models to fundus image structures, outperforming pre-trained models and competing with state-of-the-art methods."
"Diabetic Retinopathy Classification With Deep Learning via Fundus Images: A Short Survey","https://scispace.com/paper/diabetic-retinopathy-classification-with-deep-learning-via-39s102f8te","","Journal Article","IEEE Access","Shanshan Zhu
Changchun Xiong
Qing-qing Zhong
Yudong Yao","10.1109/access.2024.3361944","","Diabetic retinopathy (DR) is a microvascular disease that is associated with diabetes mellitus. DR can cause irreversible vision loss and low vision. DR classification, that is, early DR diagnosis and accurate DR grading, is critical for vision protection and immediate treatment. Deep learning-based automated systems led to significant expectations for DR classification based on fundus images with several advantages. In the past several years, many outstanding studies in this area have been conducted and several review articles have been published. However, the new trends and the future directions are need to furtherly analyzed. Thus, we carefully included and read 94 related articles published from 2018 to 2023 through Web of Science, PubMed, Scopus, and IEEE Xplore. From this review, we found that transfer learning has been used as an outstanding strategy for overcoming the issue of the limited data resources to support DR analysis. CNN models of ResNet and VGGNet with layers of tens or even hundreds are the most popular frameworks used for DR classification. The APTOS 2019 and EyePACS are the most widely used datasets for DR classification. In addition, some lightweight DL architectures like SqueezeNet and MobileNet have been proposed for DR classification tasks, especially for limited data resources and computational capabilities. Although deep learning has achieved or surpassed human-level accuracy in DR classification, there is still a long way to go in real clinical workflows. Further improvements in model interpretability, trustworthiness from ophthalmologists, cost-effective and reliable DR screening systems are needed.","It is found that transfer learning has been used as an outstanding strategy for overcoming the issue of the limited data resources to support DR analysis, and CNN models of ResNet and VGGNet with layers of tens or even hundreds are the most popular frameworks used for DR classification."
"Optimal Detection of Diabetic Retinopathy Severity Levels Using Attention-Based CNN and Vision Transformers (Vit)","https://scispace.com/paper/optimal-detection-of-diabetic-retinopathy-severity-levels-qibloh9c8ns5","","","","Gaurang Kakade
Chaitanya Kakade","10.1109/mosicom63082.2024.10881457","","Diagnosing diabetic retinopathy (DR) from colour fundus images is challenging as it requires skilled clinicians to recognize and interpret multiple small features and utilize a complex grading system, making the process both difficult and time-consuming. Prior detection of this condition is important to prevent any further complications such as partial or complete blindness. This study presents an approach for detecting the severity levels of diabetic retinopathy using a combination of Attention-Based Convolutional Neural Networks (CNN) and Vision Transformers (ViT). The method addresses the need for accurate classification of retinal images across multiple severity levels of diabetic retinopathy. We made use of a unique combination of attention mechanisms in CNN and transformers, thereby enhancing the model's ability to focus on critical regions within the retinal images. Experimental results show improvements in classification accuracy of around $95 \%$, sensitivity, specificity, and other key performance metrics, making it a potentially better solution for automated diabetic retinopathy detection.","This study presents an attention-based CNN-ViT model for detecting diabetic retinopathy severity levels from colour fundus images, achieving 95% classification accuracy and improved sensitivity, specificity, and other key performance metrics for automated detection."
"Modified InceptionV3 Using Soft Attention for the Grading of Diabetic Retinopathy","https://scispace.com/paper/modified-inceptionv3-using-soft-attention-for-the-grading-of-1rf0846r27","","Journal Article","","Shroddha Goswami
K. Ashwini
Ratnakar Dash","10.1007/978-3-031-37940-6_15","","Diabetic retinopathy (DR) is an eye ailment affecting retinal blood vessels. Many deep learning methods for detecting DR have been presented as manual diagnosis is time-consuming and inconvenient. InceptionV3 architecture was modified using a soft attention module in this proposed framework. The attention technique’s basic concept is to concentrate on specific relevant parts by assigning the weights accordingly. Contrast Limited Adaptive Histogram Equalization (CLAHE) is the pre-processing method applied initially to the fundus images to improve the contrast level. Along with this, augmentation has been done to increase the number of images, which are then trained and validated using a modified InceptionV3 model. The experimental results show that the suggested model better diagnoses all stages of DR than existing techniques and outperforms the existing model on the IDRiD and DDR datasets. ","A modified InceptionV3 model using soft attention is proposed for diabetic retinopathy grading, achieving better diagnosis results than existing techniques on IDRiD and DDR datasets through contrast enhancement and data augmentation."
"ADRS-Net: Automated Diabetic Retinopathy Screening Net.","https://scispace.com/paper/adrs-net-automated-diabetic-retinopathy-screening-net-bqmtbg2kdi12","","","","Yixuan Chen
Yui Lo
Lili Qu
Kai Zhang
Guoming Zhang
Chengming Yang
Lijing Jia
Yuhan Dong","10.1109/cisp-bmei53629.2021.9624352","","Diabetic retinopathy is a prevalent diabetic complication that can cause blindness. Early screening and diagnosis of the eye can help reduce the chances of visual impairment. In this paper, we propose a computer aided diagnosis method for retinopathy evaluation referred to as Automated Diabetic Retinopathy Screening Net (ADRS-Net). This network is able to identify healthy and diabetic retinopathy fundus images. In addition, it is capable of identifying the different severity levels of diabetic retinopathy, from non-proliferative to proliferative diabetic retinopathy. The residual non-local attention mechanism integrated into the ADRS-Net is able to attend to informative regions that help the decision-making process, improve computation time efficiency, and reduce model complexity. We evaluated the model on a public dataset. The proposed model is able to outperform existing methods with a 98.5% accuracy to diagnose diabetic retinopathy and a Quadratic Weighted Kappa score of 90.5% to screen for the five different diabetic retinopathy severity levels in fundus images.","This paper proposes ADRS-Net, a computer-aided diagnosis method for diabetic retinopathy, achieving 98.5% accuracy and 90.5% Quadratic Weighted Kappa score, outperforming existing methods in identifying diabetic retinopathy and its severity levels in fundus images."
"Grouping and Decoupling Mechanism for Diabetic Retinopathy Image Grading","https://scispace.com/paper/grouping-and-decoupling-mechanism-for-diabetic-retinopathy-vay6b104goe2","","","","Shijie Rao
Jinsong Tang
Yidong Huang
Kaiyu Cui
Shengjin Wang","10.1145/3500931.3501002","","Automatic detection of diabetic retinopathy (DR) by fundus images can help a lot of patients to get diagnosis. However, many excellent deep learning models for image classification do not equally achieve good results on DR detection since fundus image classification is different from typical image classification problem. The lesions are usually small and reflected in the part rather than the whole image. In this paper, we investigate the effect of network depth and the relationship between different DR grades. Then we propose a novel attention network to group and classify DR. Our contributions are mainly in three aspects: 1. Find a suitable network depth for DR detection by experiments. 2.Propose a grouping and decoupling mechanism for DR grading. 3. Design a novel deep convolutional neural network to classify DR, which also generates attention map indicating the location of lesions. Experiments show that our network outperforms other methods on the Messidor dataset. We reach the AUC of 96.9% and the accuracy of 92.7% on binary classification and the accuracy of 81.7% on 4-class grading.","This paper proposes a novel attention network for diabetic retinopathy image grading, addressing the challenges of small lesions and varying image characteristics. It achieves state-of-the-art results on the Messidor dataset with AUC 96.9% and accuracy 92.7% on binary classification."
"Diabetic Retinopathy Detection and Classification from Fundus Images Using Deep Learning","https://scispace.com/paper/diabetic-retinopathy-detection-and-classification-from-xfc2shxit9jz","","","","Pratiksha Shetgaonkar
Shailendra Aswale
Saurabh Naik
Amey Gaonkar
Swapnil Gawade
Pradnya Mhalsekar","10.1109/ictai53825.2021.9673345","","Diabetic Retinopathy (DR) is one of the severe microvascular conditions that affect the retina of the eye. It can result in permanent partial or total blindness if not discovered and treated early. Across the world, diabetes impacts in excess of 50% of people below 70 years of age. Many diabetic people, however, fail to notice the disease and suffer visual impairments as a result of the time it takes to see an ophthalmologist who screens and analyses the patient’s retina. This research study focuses on the automated detection and categorization of DR based on distinct severity levels using fundus images. The method starts with a pre-processing step to get rid of any extraneous noise from the edges and aids in the focus on the area of interest. The DR fundus images were then categorized into various severity levels using DL models like VGG19, ResNet50, and Inception-V3 Deep Learning (DL) models. The logic for the presented DL model has been tested on the EyePACS (kaggle) DR dataset. In terms of classification accuracy, the suggested DL model with ResNet50 configuration surpassed other models such as VGG19 and Inception-V3 as well as other current models, according to the findings of the research.","This study proposes a deep learning-based approach for automated diabetic retinopathy detection and classification from fundus images, achieving high classification accuracy using ResNet50, surpassing VGG19 and Inception-V3 models on the EyePACS dataset."
"DR-Net with Convolution Neural Network","https://scispace.com/paper/dr-net-with-convolution-neural-network-pu5npce6b4lw","","","","Ahmad Bukhari Aujih
Mohd Ibrahim Shapiai
Fabrice Meriaudeau
Tong Boon Tang","10.1109/icias49414.2021.9642615","","Deep learning had become the leading methodology for detecting diabetic retinopathy (DR) from fundus images. Given a large samples of fundus images with labelled medical condition i.e., diabetic retinopathy, an efficient convolution neural network (CNN) classifier can be trained. Progress had been made previously by researchers to developed a good automatic detection of DR using deep learning architecture like convolution neural network (CNN). However, previously proposed architecture for detecting DR (DR-Net) are mainly based on previous architecture developed for natural images. Not much attention had been given on configuring DR-Net hyper-parameter i.e., depth. This paper developed a new CNN-based DR-Net architecture from scratch to detect referable diabetic retinopathy (rDR) from fundus images. This paper also report analysis of different number of DR-Net’s depth configuration. Compare to previous work on DR-Net, proposed architecture is simpler in terms of number of network layers while maintaining a considerably good performance.","This paper proposes a novel CNN-based DR-Net architecture for detecting referable diabetic retinopathy from fundus images, exploring different depth configurations and achieving comparable performance with simpler network layers compared to previous works."
"Internet of Things and Deep Learning Enabled Diabetic Retinopathy Diagnosis Using Retinal Fundus Images","https://scispace.com/paper/internet-of-things-and-deep-learning-enabled-diabetic-x41arvhc","","Journal Article","IEEE Access","Thangam Palaniswamy
Mahendiran Vellingiri","10.1109/ACCESS.2023.3257988","","Recently, the Internet of Things (IoT) and computer vision technologies find useful in different applications, especially in healthcare. IoT driven healthcare solutions provide intelligent solutions for enabling substantial reduction of expenses and improvisation of healthcare service quality. At the same time, Diabetic Retinopathy (DR) can be described as permanent blindness and eyesight damage because of the diabetic condition in humans. Accurate and early detection of DR could decrease the loss of damage. Computer-Aided Diagnoses (CAD) model based on retinal fundus image is a powerful tool to help experts diagnose DR. Some traditional Machine Learning (ML) based DR diagnoses model has currently existed in this study. The recent developments of Deep Learning (DL) and its considerable achievement over conventional ML algorithms for different applications make it easier to design effectual DR diagnosis model. With this motivation, this paper presents a novel IoT and DL enabled diabetic retinopathy diagnosis model (IoTDL-DRD) using retinal fundus images. The presented Internet of Things Deep Learning – Diabetic Retinopathy Diagnosis (IoTDL-DRD) technique utilizes IoT devices for data collection purposes and then transfers them to the cloud server to process them. Followed by, the retinal fundus images are preprocessed to remove noise and improve contrast level. Next, mayfly optimization based region growing (MFORG) based segmentation technique is utilized to detect lesion regions in the fundus image. Moreover, densely connected network (DenseNet) based feature extractor and Long Short Term Memory (LSTM) based classifier is used for effective DR diagnosis. Furthermore, the parameter optimization of the LSTM method can be carried out by Honey Bee Optimization (HBO) algorithm. For evaluating the improved DR diagnostic outcomes of the IoTDL-DRD technique, a comprehensive set of simulations were carried out. A wide ranging comparison study reported the superior performance of the proposed method.","In this paper , a novel IoT and DL enabled diabetic retinopathy diagnosis model (IoTDL-DRD) using retinal fundus images is presented, which utilizes IoT devices for data collection purposes and then transfers them to the cloud server to process them."
