"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"… analysis in adolescent depression: roles of the gut microbiota in the regulation of tryptophan-derived neurotransmitters and behaviors in human and mice","https://scispace.com/paper/rrvOqPm9hXMJ","","","","M Zhou
Y Fan
L Xu
Z Yu
S Wang
H Xu
J Zhang","","https://link.springer.com/content/pdf/10.1186/s40168-023-01589-9.pdf","… and the beneficial effects along the gut-brain axis (GBA) in … all mice were examined during the second round of behavioral … metabolic pathway-derived neurotransmitters in the mice …",""
"Crosstalk between the microbiota-gut-brain axis and depression","https://scispace.com/paper/crosstalk-between-the-microbiota-gut-brain-axis-and-5ek0ee7ufx","2020","Journal Article","Heliyon","Yu Du
Xin-Ran Gao
Lei Peng
Jin-Fang Ge","10.1016/J.HELIYON.2020.E04097","https://www.cell.com/heliyon/pdf/S2405-8440(20)30941-5.pdf","… biosynthesis will disrupt the serotonergic signaling [38], resulting … gut microbiota and improve behavior through the microbiota-… with control mice with healthy microbiota, GF mice showed …",""
"The neuro-endocrinological role of microbial glutamate and GABA signaling","https://scispace.com/paper/the-neuro-endocrinological-role-of-microbial-glutamate-and-26v0k87cuo","2016","Journal Article","Frontiers in Microbiology","Roberto Mazzoli
Enrica Pessione","10.3389/FMICB.2016.01934","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2016.01934/pdf","… , cognitive functions, and behavior of humans. Nonetheless, … by which gut microbiota can affect the gut–brain axis and the … The cognitive and behavioral functions of germ-free mice …","Gut microbiota provides the host with multiple functions (e.g., by contributing to food digestion, vitamin supplementation and defense against pathogenic strains) and interacts with the host organism through both direct contact (e.g., through surface antigens) and soluble molecules, which are produced by the microbial metabolism. The existence of the so-called gut-brain axis of bi-directional communication between the gastrointestinal tract and the central nervous system also supports a communication pathway between the gut microbiota and neural circuits of the host, including the central nervous system. An increasing body of evidence has shown that gut microbiota is able to modulate gut and brain functions, including the mood, cognitive functions and behavior of humans. Nonetheless, given the extreme complexity of this communication network, its comprehension is still at its early stage. The present contribution will attempt to provide a state-of-the art description of the mechanisms by which gut microbiota can affect the gut-brain axis and the multiple cellular and molecular communication circuits (i.e., neural, immune and humoral). In this context, special attention will be paid to the microbial strains that produce bioactive compounds and display ascertained or potential probiotic activity. Several neuroactive molecules (e.g., catecholamines, histamine, serotonin and trace amines,) will be considered, with special focus on Glu and GABA circuits, receptors and signaling. From the basic science viewpoint, “microbial endocrinology” deals with those theories in which neurochemicals, produced by both multicellular organisms and prokaryotes (e.g., serotonin, GABA, glutamate), are considered as a common shared language that enables interkingdom communication. With regards to its application, research in this area opens the way toward the possibility of the future use of neuroactive molecule-producing probiotics as therapeutic agents for the treatment of neurogastroenteric and/or psychiatric disorders."
"Tryptophan metabolism: a link between the gut microbiota and brain","https://scispace.com/paper/tryptophan-metabolism-a-link-between-the-gut-microbiota-and-3qg5hnv6u8","2020","Journal Article","Advances in Nutrition","Kan Gao
Chunlong Mu
Aitak Farzi
Weiyun Zhu","10.1093/ADVANCES/NMZ127","","… and its metabolites as signaling molecules between gut microbiota and brain functions. … The microbiome-gut-brain axis during early life regulates the hippocampal serotonergic system …",""
"The correlation between gut microbiota and both neurotransmitters and mental disorders: A narrative review","https://scispace.com/paper/the-correlation-between-gut-microbiota-and-both-52usl6de2d","2023","Journal Article","Medicine","Amjad Mhanna
N. De Martini
Ghefar Hmaydoosh
George Hamwi
Mulham Jarjanazi
Ghaith Zaifah
Reem Kazzazo
Aya Haji Mohamad
Zuheir Alshehabi","10.1097/md.0000000000037114","https://journals.lww.com/md-journal/_layouts/15/oaks.journals/downloadpdf.aspx?an=00005792-202402020-00019","… by the gut microbiota through the gut-brain axis. [ 3 , 5 ] … may be responsible for the reversal of emotional behavior … with glutamatergic signaling and the makeup of the gut microbiota. [ 46 …","The gastrointestinal tract is embedded with microorganisms of numerous genera, referred to as gut microbiota. Gut microbiota has multiple effects on many body organs, including the brain. There is a bidirectional connection between the gut and brain called the gut-brain-axis, and these connections are formed through immunological, neuronal, and neuroendocrine pathways. In addition, gut microbiota modulates the synthesis and functioning of neurotransmitters. Therefore, the disruption of the gut microbiota in the composition or function, which is known as dysbiosis, is associated with the pathogenesis of many mental disorders, such as schizophrenia, depression, and other psychiatric disorders. This review aims to summarize the modulation role of the gut microbiota in 4 prominent neurotransmitters (tryptophan and serotonergic system, dopamine, gamma-aminobutyric acid, and glutamate), as well as its association with 4 psychiatric disorders (schizophrenia, depression, anxiety disorders, and autism spectrum disorder). More future research is required to develop efficient gut-microbiota-based therapies for these illnesses."
"Modulation of gut microbiota–brain axis by probiotics, prebiotics, and diet","https://scispace.com/paper/modulation-of-gut-microbiota-brain-axis-by-probiotics-48yd11c1i3","2015","Journal Article","Journal of Agricultural and Food Chemistry","Xiaofei Liu
Shangqing Cao
Shangqing Cao
Xuewu Zhang","10.1021/ACS.JAFC.5B02404","","","There exists a bidirectional communication system between the gastrointestinal tract and the brain. Increasing evidence shows that gut microbiota can play a critical role in this communication; thus, the concept of a gut microbiota and brain axis is emerging. Here, we review recent findings in the relationship between intestinal microbes and brain function, such as anxiety, depression, stress, autism, learning, and memory. We highlight the advances in modulating brain development and behavior by probiotics, prebiotics, and diet through the gut microbiota-brain axis. A variety of mechanisms including immune, neural, and metabolic pathways may be involved in modulation of the gut microbiota-brain axis. We also discuss some future challenges. A deeper understanding of the relationship between the gut bacteria and their hosts is implicated in developing microbial-based therapeutic strategies for brain disorders."
"Effects of regulating gut microbiota on the serotonin metabolism in the chronic unpredictable mild stress rat model","https://scispace.com/paper/effects-of-regulating-gut-microbiota-on-the-serotonin-3quibxosir","2019","Journal Article","Neurogastroenterology and Motility","Huawei Li
Peng Wang
Luqiao Huang
Ping Li
Dianliang Zhang","10.1111/NMO.13677","https://onlinelibrary.wiley.com/doi/pdf/10.1111/nmo.13677","… ) function plus behavior via the microbiota-gut-brain axis.7-9 … ”.53, 54 To search the role of “microbiota-gut-brain” axis in … , disruption of serotonin signaling and the consequent alteration …","Objective This study was to inspect the antidepressant-like effect of prebiotics and probiotics, and to explore the effect of modulating gut microbiota on the serotonin (5-HT) metabolism. Methods Fifty rats were separated into control and other four groups randomly. The four groups underwent the chronic unpredictable mild stress (CUMS) intervention with or without prebiotics and probiotics (Bifidobacterium longum, L. rhamnosus) treatment. After weighted, the animals underwent a series of behavioral tests comprising the sucrose preference test (SPT) and the forced swimming test (FST). Central and colonic serotonin levels and relative metabolism factors were measured and analyzed. Microbiota was examined by 16S rRNA gene pyrosequencing. Results CUMS intervention caused a decrease in body weight, an increase in FST, and a decrease in SPT. Prebiotics and probiotics all ameliorated the CUMS-induced loss of weight and depressive-like behaviors to a certain extent, especially L. rhamnosus. Compared with the group of CUMS intervention, the rats of probiotics and probiotics treatment had a tendency to reduce colonic 5-HT and increase 5-HT in frontal cortex and hippocampus. However, there was no significant difference in peripheral blood 5-HT among these groups. Furthermore, CUMS caused noteworthy gut microbiota variations at the phylum and other levels in rats. Remarkably, there were considerable relations of perturbed gut microbiota with the changed metabolism of 5-HT. Conclusion In conclusion, these findings implied that prebiotics and probiotics have antidepressive effects, and a considerable effect on the regulation of 5-HT metabolism, especially L. rhamnosus."
"Antibiotic-induced gut dysbiosis elicits gut-brain axis relevant multi-omic signatures and behavioral and neuroendocrine changes in a nonhuman primate model","https://scispace.com/paper/antibiotic-induced-gut-dysbiosis-elicits-gut-brain-axis-2ix32614es","","Journal Article","Gut microbes","Shivdeep S. Hayer
Mackenzie Conrin
Jeffrey A French
Andrew K Benson
Sophie Alvarez
Kathryn Cooper
Anne Fischer
Zahraa Wajih Alsafwani
William Gasper
Mallory J. Suhr Van Haute
Haley R. Hassenstab
Shayda Azadmanesh
Missy Briardy
Skyler Gerbers
Aliyah Jabenis
Jonathan B Clayton","10.1080/19490976.2024.2305476","https://www.tandfonline.com/doi/pdf/10.1080/19490976.2024.2305476","… which are either neurotransmitters (eg, GABA and serotonin) or … microbiota-gut-brain-axis studies in rodents and human … of the gut microbiome, gut metabolites, endocrine signaling, and …","Emerging evidence indicates that antibiotic-induced dysbiosis can play an etiological role in the pathogenesis of neuropsychiatric disorders. However, most of this evidence comes from rodent models. The objective of this study was to evaluate if antibiotic-induced gut dysbiosis can elicit changes in gut metabolites and behavior indicative of gut-brain axis disruption in common marmosets (Callithrix jacchus) - a nonhuman primate model often used to study sociability and stress. We were able to successfully induce dysbiosis in marmosets using a custom antibiotic cocktail (vancomycin, enrofloxacin and neomycin) administered orally for 28 days. This gut dysbiosis altered gut metabolite profiles, behavior, and stress reactivity. Increase in gut Fusobacterium spp. post-antibiotic administration was a novel dysbiotic response and has not been observed in any rodent or human studies to date. There were significant changes in concentrations of several gut metabolites which are either neurotransmitters (e.g., GABA and serotonin) or have been found to be moderators of gut-brain axis communication in rodent models (e.g., short-chain fatty acids and bile acids). There was an increase in affiliative behavior and sociability in antibiotic-administered marmosets, which might be a coping mechanism in response to gut dysbiosis-induced stress. Increase in urinary cortisol levels after multiple stressors provides more definitive proof that this model of dysbiosis may cause disrupted communication between gut and brain in common marmosets. This study is a first attempt to establish common marmosets as a novel model to study the impact of severe gut dysbiosis on gut-brain axis cross-talk and behavior."
"Brain-gut-microbiota axis: a review on the bidirectional regulatory mechanisms between gut microbiota and brain and their disease interactions","https://scispace.com/paper/6dfAUGC58zAJ","","","","H Shen
SY Wang
YY Zhao
JL Zhou
J Zhao","","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1768891/pdf","… FIGURE 3 Major signaling pathways of microbiota-derived … -based interventions for modulating the gut-brain axis. … Microbiota-derived GABA may reach the brain via circulation or …",""
"Gut liver brain axis in diseases: the implications for therapeutic interventions","https://scispace.com/paper/gut-liver-brain-axis-in-diseases-the-implications-for-tlnyimgs0p","2023","","Signal Transduction and Targeted Therapy","Mengyao Yan
Shuli Man
Benyue Sun
Long Ma
Lanping Guo
Luqi Huang
Wenyuan Gao","10.1038/s41392-023-01673-4","https://www.nature.com/articles/s41392-023-01673-4.pdf","… , gamma-aminobutyric acid (GABA… microbiota and neurological inflammation in AD development and is regarded as a unique technique for AD therapy via remodeling the gut-brain …","Gut-liver-brain axis is a three-way highway of information interaction system among the gastrointestinal tract, liver, and nervous systems. In the past few decades, breakthrough progress has been made in the gut liver brain axis, mainly through understanding its formation mechanism and increasing treatment strategies. In this review, we discuss various complex networks including barrier permeability, gut hormones, gut microbial metabolites, vagus nerve, neurotransmitters, immunity, brain toxic metabolites, β-amyloid (Aβ) metabolism, and epigenetic regulation in the gut-liver-brain axis. Some therapies containing antibiotics, probiotics, prebiotics, synbiotics, fecal microbiota transplantation (FMT), polyphenols, low FODMAP diet and nanotechnology application regulate the gut liver brain axis. Besides, some special treatments targeting gut-liver axis include farnesoid X receptor (FXR) agonists, takeda G protein-coupled receptor 5 (TGR5) agonists, glucagon-like peptide-1 (GLP-1) receptor antagonists and fibroblast growth factor 19 (FGF19) analogs. Targeting gut-brain axis embraces cognitive behavioral therapy (CBT), antidepressants and tryptophan metabolism-related therapies. Targeting liver-brain axis contains epigenetic regulation and Aβ metabolism-related therapies. In the future, a better understanding of gut-liver-brain axis interactions will promote the development of novel preventative strategies and the discovery of precise therapeutic targets in multiple diseases. "
