"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Gut/brain axis and the microbiota.","https://scispace.com/paper/25689247","2015","Journal Article","The Journal of clinical investigation","Mayer
Tillisch
Gupta","10.1172/JCI76304","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362231/pdf","Tremendous progress has been made in characterizing the bidirectional interactions between the central nervous system, the enteric nervous system, and the gastrointestinal tract. A series of provocative preclinical studies have suggested a prominent role for the gut microbiota in these gut-brain interactions. Based on studies using rodents raised in a germ-free environment, the gut microbiota appears to influence the development of emotional behavior, stress- and pain-modulation systems, and brain neurotransmitter systems. Additionally, microbiota perturbations by probiotics and antibiotics exert modulatory effects on some of these measures in adult animals. Current evidence suggests that multiple mechanisms, including endocrine and neurocrine pathways, may be involved in gut microbiota-to-brain signaling and that the brain can in turn alter microbial composition and behavior via the autonomic nervous system. Limited information is available on how these findings may translate to healthy humans or to disease states involving the brain or the gut/brain axis. Future research needs to focus on confirming that the rodent findings are translatable to human physiology and to diseases such as irritable bowel syndrome, autism, anxiety, depression, and Parkinson's disease."
"Neurotransmitter modulation by the gut microbiota.","https://scispace.com/paper/29903615","2018","Journal Article","Brain research","Strandwitz","10.1016/j.brainres.2018.03.015","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6005194/pdf","The gut microbiota - the trillions of bacteria that reside within the gastrointestinal tract - has been found to not only be an essential component immune and metabolic health, but also seems to influence development and diseases of the enteric and central nervous system, including motility disorders, behavioral disorders, neurodegenerative disease, cerebrovascular accidents, and neuroimmune-mediated disorders. By leveraging animal models, several different pathways of communication have been identified along the ""gut-brain-axis"" including those driven by the immune system, the vagus nerve, or by modulation of neuroactive compounds by the microbiota. Of the latter, bacteria have been shown to produce and/or consume a wide range of mammalian neurotransmitters, including dopamine, norepinephrine, serotonin, or gamma-aminobutyric acid (GABA). Accumulating evidence in animals suggests that manipulation of these neurotransmitters by bacteria may have an impact in host physiology, and preliminary human studies are showing that microbiota-based interventions can also alter neurotransmitter levels. Nonetheless, substantially more work is required to determine whether microbiota-mediated manipulation of human neurotransmission has any physiological implications, and if so, how it may be leveraged therapeutically. In this review this exciting route of communication along the gut-brain-axis, and accompanying data, are discussed."
"Fecal microbiota transplantation protects rotenone-induced Parkinson's disease mice via suppressing inflammation mediated by the lipopolysaccharide-TLR4 signaling pathway through the microbiota-gut-brain axis.","https://scispace.com/paper/34784980","2021","Journal Article","Microbiome","Zhao
Ning
Bao
Shang
Ma
Li
Zhang","10.1186/s40168-021-01107-9","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8597301/pdf","Parkinson's disease (PD) is a prevalent neurodegenerative disorder, displaying not only well-known motor deficits but also gastrointestinal dysfunctions. Consistently, it has been increasingly evident that gut microbiota affects the communication between the gut and the brain in PD pathogenesis, known as the microbiota-gut-brain axis. As an approach to re-establishing a normal microbiota community, fecal microbiota transplantation (FMT) has exerted beneficial effects on PD in recent studies. Here, in this study, we established a chronic rotenone-induced PD mouse model to evaluate the protective effects of FMT treatment on PD and to explore the underlying mechanisms, which also proves the involvement of gut microbiota dysbiosis in PD pathogenesis via the microbiota-gut-brain axis."
"Oxidized/unmodified-polyethylene microplastics neurotoxicity in mice: Perspective from microbiota-gut-brain axis.","https://scispace.com/paper/38484610","2024","Journal Article","Environment international","Wang
Yang
Shi
Wei
Gao
Liu","10.1016/j.envint.2024.108523","","Microplastics (MPs) are inevitably oxidized in the environment, and their potential toxicity to organisms has attracted wide attention. However, the neurotoxicity and mechanism of oxidized polyethylene (Ox-PE) MPs to organisms remain unclear. Herein, we prepared oxidized low-density polyethylene (Ox-LDPE) and established a model of MPs exposure by continuously orally gavage of C57BL/6 J mice with LDPE-MPs/Ox-LDPE-MPs for 28 days with or without oral administration of Lactobacillus plantarum DP189 and galactooligosaccharides (DP189&GOS). The experimental results indicated that LDPE-MPs or Ox-LDPE-MPs caused several adverse effects in mice, mainly manifested by behavioral changes, disruption of the intestinal and blood-brain barrier (BBB), and simultaneous oxidative stress, inflammatory reactions, and pathological damage in the brain and intestines. Brain transcriptomic analysis revealed that the cholinergic synaptic signaling pathways, which affect cognitive function, were significantly disrupted after exposure to LDPE-MPs or Ox-LDPE-MPs. Real-time quantitative polymerase chain reaction and Western Blotting results further demonstrated that the critical genes (Slc5a7, Chat and Slc18a3) and proteins (Chat and Slc18a3) in the cholinergic synaptic signaling pathway were significantly down-regulated after exposure to LDPE-MPs or Ox-LDPE-MPs. These alterations lead to reduced acetylcholine concentration, which causes cognitive dysfunction in mice. Importantly, the DP189&GOS interventions effectively mitigated the MPs-induced cognitive dysfunction and intestinal microbiota alteration, improved intestinal and BBB integrity, attenuated the oxidative stress and inflammatory response, and also saw a rebound in the release of acetylcholine. These results indicated that LDPE-MPs and Ox-LDPE-MPs exert neurotoxic effects on mice by inducing oxidative stress, inflammatory responses, and dysregulation of cholinergic signaling pathways in the mouse brain. That probiotic supplementation is effective in attenuating MPs-induced neurotoxicity in mice. Overall, this study reveals the potential mechanisms of neurotoxicity of LDPE-MPs and Ox-LDPE-MPs on mice and their improvement measures, necessary to assess the potential risks of plastic contaminants to human health."
"Ingestion of Lactobacillus strain regulates emotional behavior and central GABA receptor expression in a mouse via the vagus nerve.","https://scispace.com/paper/21876150","2011","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Bravo
Forsythe
Chew
Escaravage
Savignac
Dinan
Bienenstock
Cryan","10.1073/pnas.1102999108","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179073/pdf","There is increasing, but largely indirect, evidence pointing to an effect of commensal gut microbiota on the central nervous system (CNS). However, it is unknown whether lactic acid bacteria such as Lactobacillus rhamnosus could have a direct effect on neurotransmitter receptors in the CNS in normal, healthy animals. GABA is the main CNS inhibitory neurotransmitter and is significantly involved in regulating many physiological and psychological processes. Alterations in central GABA receptor expression are implicated in the pathogenesis of anxiety and depression, which are highly comorbid with functional bowel disorders. In this work, we show that chronic treatment with L. rhamnosus (JB-1) induced region-dependent alterations in GABA(B1b) mRNA in the brain with increases in cortical regions (cingulate and prelimbic) and concomitant reductions in expression in the hippocampus, amygdala, and locus coeruleus, in comparison with control-fed mice. In addition, L. rhamnosus (JB-1) reduced GABA(Aα2) mRNA expression in the prefrontal cortex and amygdala, but increased GABA(Aα2) in the hippocampus. Importantly, L. rhamnosus (JB-1) reduced stress-induced corticosterone and anxiety- and depression-related behavior. Moreover, the neurochemical and behavioral effects were not found in vagotomized mice, identifying the vagus as a major modulatory constitutive communication pathway between the bacteria exposed to the gut and the brain. Together, these findings highlight the important role of bacteria in the bidirectional communication of the gut-brain axis and suggest that certain organisms may prove to be useful therapeutic adjuncts in stress-related disorders such as anxiety and depression."
"A Metal-Polyphenol-Based Antidepressant for Alleviating Colitis-Associated Mental Disorders.","https://scispace.com/paper/39623787","2025","Journal Article","Advanced materials (Deerfield Beach, Fla.)","Wang
Wang
Xu
An
Cui
Zhang
Tian
Li
Wu","10.1002/adma.202410993","","Emerging evidence suggests that patients with inflammatory bowel diseases (IBDs) are predisposed to psychosocial disturbances, such as depression and anxiety. Regrettably, clinical antidepressants exhibit unsatisfactory therapeutic efficacy in IBD-associated psychosocial disturbances, primarily attributed to the inherent intestinal disorders and intricate bidirectional relationship between the gut and the brain. Herein, we report a metal-polyphenol-based antidepressant to alleviate mental disorders in dextran sulfate sodium-induced experimental acute colitis mice via modulating the microbiota-gut-brain axis. The antidepressant, termed CSMTC, comprises a core of melittin-encapsulated natural antioxidant enzymes (i.e., catalase and superoxide dismutase) and a protective shell composed of tannic acid-cerium ion network. Upon oral administration to colitis mice, CSMTC can effectively restore colonic redox balance, reinforce the intestinal barrier, modulate gut microbiota composition, maintain the blood-brain barrier integrity, and regulate systemic immune responses. Notably, behavioral test results reveal that CSMTC significantly alleviates the colitis-associated mental disorder (e.g., depression-like behavior) via the microbiota-gut-brain axis by reducing neuroinflammation, enhancing hippocampal neural plasticity, modulating hippocampal immune responses, and restoring neurotransmitter homeostasis. This work may have implications for the development of new nanodrugs for treating inflammation-associated complications."
"Wendan Decoction exerts therapeutic effects on insomnia by regulating gut microbiota and tryptophan metabolism.","https://scispace.com/paper/40618491","2025","Journal Article","Phytomedicine : international journal of phytotherapy and phytopharmacology","Tian
Meng
Zhang
Zhai
Cheng
Zou
Shi
Guo","10.1016/j.phymed.2025.157028","","Insomnia has been a public problem threatening human health. Wendan Decoction (WDD) has good therapeutic effects on insomnia. However, its mechanism to improve sleep remains unclear."
"Long-term exposure to polystyrene microplastics reduces macrophages and affects the microbiota-gut-brain axis in mice.","https://scispace.com/paper/39265698","2024","Journal Article","Toxicology","Kuai
Chen
Xie
Chen
He
Gao
Yu","10.1016/j.tox.2024.153951","","The remarkably increase in plastic use has led to worldwide pollution involving microplastics (MPs), which have been shown to be potentially hazardous substances. Although several studies have focused on the effects of small MPs on the brain and behavior of aquatic species, their effects on the mouse brain and the underlying mechanisms remain unclear. Our study's aim was to investigate the effects of long-term oral ingestion of different sizes of MPs (0.1, 5, and 50 μm) on mouse colon tissue. Of these sizes, the smallest (0.1 μm) had the greatest effect. Pre-administration of MP promotes colitis but reduces tumor growth in a colitis-associated colorectal cancer (CAC) mouse mode. MPs can increase inflammation in mice via activation of the very late antigen 4-vascular cell adhesion molecule 1 (VLA4-VCAM1) signaling pathway in macrophages, while also inducing macrophage reduction in the late phase of inflammation. In the microbiota-gut-brain axis, polystyrene MP treatment altered bile acid and carbohydrate metabolism in the intestine, inhibited intestinal motility, reduced water reabsorption, and led to a certain degree of depression in mice. These findings suggest that small MPs can induce macrophage reduction, thereby affecting the physical and mental health by modulating the microbiota-gut-brain axis."
"The Microbiome and Host Behavior.","https://scispace.com/paper/28301775","2017","Journal Article","Annual review of neuroscience","Vuong
Yano
Fung
Hsiao","10.1146/annurev-neuro-072116-031347","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6661159/pdf","The microbiota is increasingly recognized for its ability to influence the development and function of the nervous system and several complex host behaviors. In this review, we discuss emerging roles for the gut microbiota in modulating host social and communicative behavior, stressor-induced behavior, and performance in learning and memory tasks. We summarize effects of the microbiota on host neurophysiology, including brain microstructure, gene expression, and neurochemical metabolism across regions of the amygdala, hippocampus, frontal cortex, and hypothalamus. We further assess evidence linking dysbiosis of the gut microbiota to neurobehavioral diseases, such as autism spectrum disorder and major depression, drawing upon findings from animal models and human trials. Finally, based on increasing associations between the microbiota, neurophysiology, and behavior, we consider whether investigating mechanisms underlying the microbiota-gut-brain axis could lead to novel approaches for treating particular neurological conditions."
"The role of the microbiota-gut-brain axis in methamphetamine-induced neurotoxicity: Disruption of microbial composition and short-chain fatty acid metabolism.","https://scispace.com/paper/39664442","2024","Journal Article","Acta pharmaceutica Sinica. B","Chen
Zhang
Liu
Li
Liu
Ma
Yang
Li
Chen
Hsu
Zeng
Xie
Wang","10.1016/j.apsb.2024.08.012","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11628825/pdf","Methamphetamine (METH) abuse is associated with significant neurotoxicity, high addiction potential, and behavioral abnormalities. Recent studies have identified a connection between the gut microbiota and METH-induced neurotoxicity and behavioral disorders. However, the underlying causal mechanisms linking the gut microbiota to METH pathophysiology remain largely unexplored. In this study, we employed fecal microbiota transplantation (FMT) and antibiotic (Abx) intervention to manipulate the gut microbiota in mice administered METH. Furthermore, we supplemented METH-treated mice with short-chain fatty acids (SCFAs) and pioglitazone (Pio) to determine the protective effects on gut microbiota metabolism. Finally, we assessed the underlying mechanisms of the gut-brain neural circuit in vagotomized mice. Our data provide compelling evidence that modulation of the gut microbiome through FMT or microbiome knockdown by Abx plays a crucial role in METH-induced neurotoxicity, behavioral disorders, gut microbiota disturbances, and intestinal barrier impairment. Furthermore, our findings highlight a novel prevention strategy for mitigating the risks to both the nervous and intestinal systems caused by METH, which involves supplementation with SCFAs or Pio."
