"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Artificial intelligence in lung cancer screening: Detection, classification, prediction, and prognosis","https://scispace.com/paper/artificial-intelligence-in-lung-cancer-screening-detection-8aksja16a4","2024","","Cancer Medicine","Quanyang Wu
Huang Yao
Linlin Qi
Zhang Zewei
Donghui Hou
Hongjia Li
Shijun Zhao","10.1002/cam4.7140","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cam4.7140","… of artificial intelligence (AI) in extracting image information … in enhancing the sensitivity of nodule detection and reducing … The first pillar is the expansion of machine learning (ML). ML …","Abstract Background The exceptional capabilities of artificial intelligence (AI) in extracting image information and processing complex models have led to its recognition across various medical fields. With the continuous evolution of AI technologies based on deep learning, particularly the advent of convolutional neural networks (CNNs), AI presents an expanded horizon of applications in lung cancer screening, including lung segmentation, nodule detection, false‐positive reduction, nodule classification, and prognosis. Methodology This review initially analyzes the current status of AI technologies. It then explores the applications of AI in lung cancer screening, including lung segmentation, nodule detection, and classification, and assesses the potential of AI in enhancing the sensitivity of nodule detection and reducing false‐positive rates. Finally, it addresses the challenges and future directions of AI in lung cancer screening. Results AI holds substantial prospects in lung cancer screening. It demonstrates significant potential in improving nodule detection sensitivity, reducing false‐positive rates, and classifying nodules, while also showing value in predicting nodule growth and pathological/genetic typing. Conclusions AI offers a promising supportive approach to lung cancer screening, presenting considerable potential in enhancing nodule detection sensitivity, reducing false‐positive rates, and classifying nodules. However, the universality and interpretability of AI results need further enhancement. Future research should focus on the large‐scale validation of new deep learning‐based algorithms and multi‐center studies to improve the efficacy of AI in lung cancer screening."
"Multi-modal artificial intelligence for the combination of automated 3D breast ultrasound and mammograms in a population of women with predominantly dense …","https://scispace.com/paper/bViej8Z_5gEJ","","","","T Tan
A Rodriguez-Ruiz
T Zhang
L Xu","","https://link.springer.com/content/pdf/10.1186/s13244-022-01352-y.pdf","… in detection performance by using deep-learning-based … (ROC) comparison (and their area under the curve, AUC) in … increase the detection performance in screening, without an …",""
"From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research","https://scispace.com/paper/from-classical-machine-learning-to-emerging-foundation-hthqf8qi4tvq","2025","Journal Article","arXiv.org","Amgad Muneer
Muhammad Waqas
Maliazurina Saad
E. Showkatian
Rukhmini Bandyopadhyay
Hui Xu
Wentao Li
Joe Y Chang
Zhongxing Liao
Cara Haymaker
Luisa Solis-Soto
Carol C. Wu
N. Vokes
X. Le
L. Byers
Don L. Gibbons
J. Heymach
Jianjun Zhang
Jia Wu","10.48550/arxiv.2507.09028","https://link.springer.com/content/pdf/10.1007/s10462-026-11522-9.pdf","… a detailed comparative reference (Table 4). In addition to summarizing performance, Table 4 … Others target early detection or staging (eg, nodal metastasis prediction, lesion classification…","Cancer research is increasingly driven by the integration of diverse data modalities, spanning from genomics and proteomics to imaging and clinical factors. However, extracting actionable insights from these vast and heterogeneous datasets remains a key challenge. The rise of foundation models (FMs) -- large deep-learning models pretrained on extensive amounts of data serving as a backbone for a wide range of downstream tasks -- offers new avenues for discovering biomarkers, improving diagnosis, and personalizing treatment. This paper presents a comprehensive review of widely adopted integration strategies of multimodal data to assist advance the computational approaches for data-driven discoveries in oncology. We examine emerging trends in machine learning (ML) and deep learning (DL), including methodological frameworks, validation protocols, and open-source resources targeting cancer subtype classification, biomarker discovery, treatment guidance, and outcome prediction. This study also comprehensively covers the shift from traditional ML to FMs for multimodal integration. We present a holistic view of recent FMs advancements and challenges faced during the integration of multi-omics with advanced imaging data. We identify the state-of-the-art FMs, publicly available multi-modal repositories, and advanced tools and methods for data integration. We argue that current state-of-the-art integrative methods provide the essential groundwork for developing the next generation of large-scale, pre-trained models poised to further revolutionize oncology. To the best of our knowledge, this is the first review to systematically map the transition from conventional ML to advanced FM for multimodal data integration in oncology, while also framing these developments as foundational for the forthcoming era of large-scale AI models in cancer research."
"Radiomics-based machine-learning models can detect pancreatic cancer on prediagnostic computed tomography scans at a substantial lead time before clinical …","https://scispace.com/paper/tVjxZc-YmY4J","","","","S Mukherjee
A Patra
H Khasawneh
P Korfiatis","","https://www.sciencedirect.com/science/article/am/pii/S0016508522007284","Background & Aims Our purpose was to detect pancreatic ductal adenocarcinoma (PDAC) at the prediagnostic stage (3–36 months before clinical diagnosis) using radiomics-based …",""
"Personalized risk prediction for breast cancer pre-screening using artificial intelligence and thermal radiomics","https://scispace.com/paper/personalized-risk-prediction-for-breast-cancer-pre-screening-5gkcokycld","2020","Journal Article","Artificial Intelligence in Medicine","Siva Teja Kakileti
Himanshu J. Madhu
Geetha Manjunath
Leonard Wee
Andre Dekker
Sudhakar Sampangi","10.1016/J.ARTMED.2020.101854","https://cris.maastrichtuniversity.nl/files/74763553/Dekker_2020_Personalized_risk_prediction_for_breast_cancer.pdf","… Machine learning over thermal images to generate a … regular screening and enable early stage breast cancer detection … the receiver-operator curve (AUC) of 0.89 when compared to an …",""
"Artificial intelligence for the diagnosis of clinically significant prostate cancer based on multimodal data: a multicenter study","https://scispace.com/paper/artificial-intelligence-for-the-diagnosis-of-clinically-3orisktn9n","2023","Journal Article","BMC Medicine","Hui-Yan Zhang
Jin Ji
Zhe Liu
Huiru Lu
C. Qian
Chunmeng Wei
Shaohua Chen
Wenhao Lu
Chengbang Wang
Huangmeng Xu
Yalong Xu
Xi Chen
Xing He
Zuheng Wang
Xiao-Ling Zhao
Wen Cheng
Xingfa Chen
Guijian Pang
Guopeng Yu
Y. Gu
Kangxian Jiang
Bin Xu
Junyi Chen
Bin Xu
Xuedong Wei
Ming Chen
Rui Chen
Jiwen Cheng
Fubo Wang","10.1186/s12916-023-02964-x","https://link.springer.com/content/pdf/10.1186/s12916-023-02964-x.pdf","… through an automated machine learning platform (AutoML). … in the field of early detection and accurate diagnosis for PCa. … lack of a head-to-head comparison with mpMRI or other novel …","The introduction of multiparameter MRI and novel biomarkers has greatly improved the prediction of clinically significant prostate cancer (csPCa). However, decision-making regarding prostate biopsy and prebiopsy examinations is still difficult. We aimed to establish a quick and economic tool to improve the detection of csPCa based on routinely performed clinical examinations through an automated machine learning platform (AutoML).This study included a multicenter retrospective cohort and two prospective cohorts with 4747 cases from 9 hospitals across China. The multimodal data, including demographics, clinical characteristics, laboratory tests, and ultrasound reports, of consecutive participants were retrieved using extract-transform-load tools. AutoML was applied to explore potential data processing patterns and the most suitable algorithm to build the Prostate Cancer Artificial Intelligence Diagnostic System (PCAIDS). The diagnostic performance was determined by the receiver operating characteristic curve (ROC) for discriminating csPCa from insignificant prostate cancer (PCa) and benign disease. The clinical utility was evaluated by decision curve analysis (DCA) and waterfall plots.The random forest algorithm was applied in the feature selection, and the AutoML algorithm was applied for model establishment. The area under the curve (AUC) value in identifying csPCa was 0.853 in the training cohort, 0.820 in the validation cohort, 0.807 in the Changhai prospective cohort, and 0.850 in the Zhongda prospective cohort. DCA showed that the PCAIDS was superior to PSA or fPSA/tPSA for diagnosing csPCa with a higher net benefit for all threshold probabilities in all cohorts. Setting a fixed sensitivity of 95%, a total of 32.2%, 17.6%, and 26.3% of unnecessary biopsies could be avoided with less than 5% of csPCa missed in the validation cohort, Changhai and Zhongda prospective cohorts, respectively.The PCAIDS was an effective tool to inform decision-making regarding the need for prostate biopsy and prebiopsy examinations such as mpMRI. Further prospective and international studies are warranted to validate the findings of this study.Chinese Clinical Trial Registry ChiCTR2100048428. Registered on 06 July 2021. "
"By artificial intelligence algorithms and machine learning models to diagnosis cancer","https://scispace.com/paper/by-artificial-intelligence-algorithms-and-machine-learning-2gr8bfox7e","2021","Journal Article","Materials Today: Proceedings","Seema Agarwal
Ajay Singh Yadav
Vennapoosa Dinesh
Kolluru Sai Sri Vatsav
Kolluru Sai Surya Prakash
Sushma Jaiswal","10.1016/J.MATPR.2021.07.088","","… discriminating against individuals in comparison to the state-… that deep learning models provide a decent AUC (curve area… of early detection, including oral cancer, artificial intelligence …",""
"Artificial intelligence for lung cancer: a systematic review of head‑to‑head CT, FDG PET/CT, and multimodal models across screening, staging, and prognosis","https://scispace.com/paper/jrEj0fZu69MJ","","","","M Eftekharian
Z Hashemi","","https://link.springer.com/content/pdf/10.1186/s12880-026-02222-5.pdf","… potential in lung cancer imaging, particularly in detection, staging… -head comparative evidence between CT, FDG PET/CT, and … of screening, where modern deep‑learning and radiomics …",""
"Multimodal deep convolutional neural network pipeline for AI-assisted early detection of oral cancer","https://scispace.com/paper/multimodal-deep-convolutional-neural-network-pipeline-for-ai-6z2h0m7bhm94","2024","Journal Article","IEEE Access","G.A.I. Devindi
D. M. D. R. Dissanayake
S. Liyanage
Franto Francis
M. B. D. Pavithya
Nadisha Sewwandi Piyarathne
P.V.K.S. Hettiarachchi
R. M. S. G. K. Rasnayaka
Ruwan Duminda Jayasinghe
Roshan Ragel
Isuru Nawinne","10.1109/access.2024.3454338","https://ieeexplore.ieee.org/iel8/6287639/6514899/10664507.pdf","… A performance comparison of six pre-trained deep-learning … methods for the early detection of oral cancer screening using … of artificial intelligence in the early diagnosis of oral cancer. …","Oral Squamous Cell Carcinoma (OSCC) poses a significant health challenge, with early detection being crucial for effective treatment and improved survival rates. While previous studies have examined the use of standard photographs, such as those from smartphones, for oral lesion classification, they typically rely solely on images, overlooking the potential benefits of incorporating multiple modalities. This study addresses this gap by proposing a multimodal deep-learning pipeline incorporating diverse data sources, including patient metadata, which mimics the diagnostic approach of clinicians in the early detection of oral cancer. The study leverages state-of-the-art image encoders to classify oral lesions into benign and potentially malignant categories. A performance comparison of six pre-trained deep-learning models (MobileNetV3-Large, MixNet-S, ResNet-50, HRNet-W18-C, DenseNet-121, and Inception_v3) is presented. The performance of the proposed pipeline achieved an overall accuracy of 81%, precision of 79%, recall of 79%, F1-score of 78%, and a Matthews Correlation Coefficient (MCC) of 0.57 using the MobileNetV3-Large image encoder. The findings highlight the efficacy of integrating multiple data modalities for more accurate early detection of potential malignancies compared to using only image data. The outcomes could pave the way for improved clinical decision-making and patient outcomes."
"Artificial Intelligence (AI) for the early detection of breast cancer: a scoping review to assess AI's potential in breast screening practice","https://scispace.com/paper/artificial-intelligence-ai-for-the-early-detection-of-breast-1mhmcld837","2019","Journal Article","Expert Review of Medical Devices","Nehmat Houssami
Georgia Kirkpatrick-Jones
Naomi Noguchi
Christoph I. Lee","10.1080/17434440.2019.1610387","https://www.tandfonline.com/doi/pdf/10.1080/17434440.2019.1610387","… machine learning algorithms for interpreting screening … or detection; (b) reported quantitative data on performance (… bias in model training, and the lack of comparative data) can …","Introduction: Various factors are driving interest in the application of artificial intelligence (AI) for breast cancer (BC) detection, but it is unclear whether the evidence warrants large-scale u..."
