"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Advancing Early Disease Detection Using Multimodal Machine Learning Models Integrating Imaging, Genomics, and Clinical Data Sources","https://scispace.com/paper/advancing-early-disease-detection-using-multimodal-machine-b0etsz9mmir3","2025","Journal Article","","Ammara Rafique¹
Umm E Farwa Syeda
Muhammad Ahmed
Ali Khan³
Muhammad Umair Aslam⁴
Afeera Bint-e-Tanveer⁵
Asma Eric⁶","10.61919/hfd85x30","","Background: Early and accurate disease detection is critical for improving patient outcomes, yet conventional diagnostic approaches often rely on isolated data sources, which may provide an incomplete clinical picture. Multimodal machine learning (MML), which integrates diverse data types like medical imaging, genomics, and clinical records, holds promise for a more holistic assessment. However, the comparative performance of these integrated models against standard single-source approaches has not been systematically evaluated. Objective: This systematic review aimed to determine whether MML models for early disease detection yield superior accuracy and diagnostic reliability compared to unimodal models. Methods: A systematic search was conducted in PubMed, Scopus, Web of Science, and the Cochrane Library for studies published between 2019 and 2024. The review included comparative studies that directly evaluated MML models (integrating at least two of: imaging, genomics, clinical data) against unimodal models for disease detection in human patients. Study selection, data extraction, and risk of bias assessment using a modified QUADAS-2 tool were performed in duplicate. Results: Eight studies met the inclusion criteria, encompassing diseases in oncology, neurology, and cardiology. All eight studies reported a statistically significant improvement in detection performance for multimodal models. The most common metrics showed MML models achieving absolute increases in the Area Under the Curve (AUC) of 0.04 to 0.10 over the best unimodal comparator. The greatest performance gains were observed in complex diseases like Alzheimer's and lung cancer. The main limitations were heterogeneity in data fusion techniques and a risk of bias from non-independent model tuning. Conclusion: The consistent findings across diverse clinical domains indicate that integrating multimodal data significantly enhances the accuracy of machine learning models for early disease detection. This evidence supports the paradigm of MML as a superior analytical framework. Future work should focus on standardizing validation practices and demonstrating generalizability in real-world clinical settings to facilitate translation into practice.","This systematic review of 8 studies (2019-2024) found that multimodal machine learning models integrating imaging, genomics, and clinical data significantly improved early disease detection accuracy (AUC increase: 0.04-0.10) in oncology, neurology, and cardiology, outperforming unimodal models."
"Artificial intelligence-enhanced multi-modal cancer diagnosis and prognosis: integrating medical imaging, genomic data, and clinical records for precision oncology","https://scispace.com/paper/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54","2025","Journal Article","","EMMANUEL OKWUCHUKWU NDUKAIFE
Maria Nana
ISRAEL JONATHAN IHEOMA
Peter Chika Ozo-ogueji
ESO OGOCHUKWU VERONICA
TOKONI KUNOUN MARSHAL
CONFIDENCE ADIMCHI CHINONYEREM","10.70382/tijbshmr.v09i3.012","https://scispace.compdf/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54.pdf","Multimodal artificial intelligence (AI) methods are now a paradigm-shifting approach for cancer prognosis and diagnosis, allowing the blending of heterogeneous data modalities including histopathology images, radiomics, genomics, and clinical data. In this systematic review, the existing evidence regarding the application, integration methods, and performance measures of multimodal AI models in oncology is compiled. According to the PRISMA 2020 guideline, a wide literature search was performed on Scopus, Web of Science, IEEE Xplore, and PubMed for literature from January 2019 to May 2025. There were 1,280 records found, out of which 50 were found to meet the inclusion criteria and were examined. Data retrieved consisted of study attributes, data types, fusion methods, evaluation measures, and achieved performance. Descriptive synthesis indicated a consistent increase in multimodal AI articles from 2021, with the most prevalent integration strategy being hybrid fusion (42% of research), then late fusion (26%), early fusion (18%), transformer-based models (8%), and graph neural networks (6%). Comparative analysis demonstrated that transformer-based and hybrid models offered the highest mean area under the curve (AUC) and concordance index measures (0.93 and 0.91, and 0.89 and 0.88, respectively). Despite standout performance, heterogeneity of the data set, reproducibility, and limited external validation concerns were widely reported. This review identifies the promise of multimodal AI to improve diagnostic accuracy and prognosis prediction in cancer, with cautionary notes on the necessary standardised datasets, clear reporting, and validation in clinical use for the translation to standard care. ","This systematic review synthesizes 50 studies on multimodal AI models integrating medical imaging, genomic data, and clinical records for cancer diagnosis and prognosis, highlighting hybrid fusion and transformer-based models' superior performance and potential for precision oncology."
"Revolutionizing Oncology: AI Driven Approaches to Early Cancer Diagnosis","https://scispace.com/paper/revolutionizing-oncology-ai-driven-approaches-to-early-hefk4xurifde","2025","Journal Article","","S. Ranjithkumar
Ujjwal Asati
Saukhyad Mohole
Yash Tripathi","10.1109/icimia67127.2025.11200652","","The early detection of cancer such as ovarian, pancreatic, lung, breast and blood cancers are often left outstanding due to inaccurate traditional methods. This review studies research done to enhance the accuracy of early cancer diagnosis using AI techniques like deep learning, multi-omics data integration, imaging analysis. This report explores case studies based on breast cancer image classification and blood cancer profiling by using integrated genomic data which directly compares traditional cancer detection techniques with AI-driven advanced systems. Early detection and highly improved accuracy are found due to increased specificity and sensitivity thus making the results successful. The study emphasizes multimodal AI approaches for comprehensive analysis which combine a diverse data search. The results demonstrate potential in identifying biomarkers which prove to be an advantage by using the AI technology. These findings make it valuable for healthcare professionals by potentially reducing cancer detection times and increasing accuracy in the procedure in turn potentially reducing diagnostic errors and improving patient outcomes.","This review explores AI-driven approaches for early cancer diagnosis, leveraging deep learning, multi-omics data integration, and imaging analysis to enhance accuracy and specificity, particularly in breast and blood cancers, with promising results for biomarker identification and improved patient outcomes."
"Artificial intelligence in early cancer detection: a paradigm shift in oncology diagnostic","https://scispace.com/paper/artificial-intelligence-in-early-cancer-detection-a-paradigm-5b0j77onhmda","2025","Journal Article","Journal of medical & health sciences review.","Imrana Essa
Memoona
Sheela Davi Malhi
Dileep Kumar Malhi
Taimoor Asghar
Muhammad Zubair Tahir
Sher Muhammad","10.62019/22204z93","","Early detection of cancer is a critical factor in improving survival rates and treatment outcomes. In Pakistan, where diagnostic delays, inadequate screening infrastructure, and shortage of specialized personnel are prevalent, Artificial Intelligence (AI) offers a transformative opportunity for early oncology diagnostics. This study assesses the diagnostic performance and contextual feasibility of AI-based models—particularly machine learning (ML) and deep learning (DL)—in identifying early-stage cancers using imaging modalities such as mammography, CT scans, MRI, and histopathology. A mixed-methods approach was employed, involving retrospective analysis of imaging datasets collected from three leading institutions: Shaukat Khanum Memorial Cancer Hospital &amp; Research Centre (Lahore), Aga Khan University Hospital (Karachi), and Pakistan Institute of Medical Sciences (PIMS, Islamabad). AI models including convolutional neural networks (CNNs) and decision tree classifiers were trained and tested on over 1200 anonymized and annotated imaging samples. Performance was evaluated using key metrics such as sensitivity, specificity, accuracy, and area under the curve (AUC). Additionally, semi-structured interviews with radiologists, oncologists, and medical IT staff at the selected hospitals were conducted to explore infrastructural readiness, ethical considerations, and clinical acceptability of AI integration. Findings revealed that AI-powered diagnostic tools achieved high sensitivity and accuracy in detecting early-stage malignancies, often improving diagnostic speed and reducing observer bias. However, infrastructural disparities, inconsistent digitization of patient records, and the need for physician training were identified as key barriers to implementation. Despite these challenges, healthcare professionals expressed cautious optimism about integrating AI to support Pakistan’s overburdened healthcare system.The study concludes that AI holds significant promise for enhancing early cancer detection in Pakistan. It emphasizes the importance of strategic investments in digital infrastructure, training, and policy frameworks to enable safe, effective, and equitable adoption of AI in oncology. ","This study assesses AI's diagnostic performance and feasibility in early cancer detection in Pakistan, using machine learning and deep learning models on imaging datasets from three leading hospitals, and finds AI-powered tools improve detection accuracy and speed, but face infrastructural and training barriers."
"Artificial Intelligence in Cancer Diagnosis: A Systematic Review","https://scispace.com/paper/artificial-intelligence-in-cancer-diagnosis-a-systematic-8i0kdlg5","2023","Posted Content","","Physical Security Professional","10.21203/rs.3.rs-3017637/v1","","Abstract The application of artificial intelligence (AI) in cancer detection has shown promising potential to improve diagnostic accuracy and patient outcomes. This review aims to provide a comprehensive overview of the current state of AI in cancer detection and its implications in clinical practice. We systematically reviewed the literature to identify relevant studies on AI- based cancer detection. The review covers various cancer types, including breast, lung, skin, and others. We examined the AI algorithms used, such as machine learning and deep learning, and the diagnostic modalities employed, such as medical imaging and pathology. Performance metrics, including sensitivity, specificity, and accuracy, were assessed to evaluate the effectiveness of AI algorithms in cancer detection. The key findings demonstrate that AI algorithms can achieve comparable or even superior performance to human experts in detecting and classifying cancer. However, challenges such as data quality, interpretability, and algorithm robustness need to be addressed for successful implementation in clinical settings. AI in cancer detection holds great promise for improving early diagnosis, personalized treatment, and patient outcomes. Further research and collaboration between clinicians, researchers, and AI experts are essential to overcome challenges and realize the full potential of AI in cancer detection. ","A comprehensive overview of the current state of AI in cancer detection and its implications in clinical practice is provided in this paper , where the authors systematically reviewed the literature to identify relevant studies on AI-based cancer detection."
"Improving Early Prostate Cancer Detection Through Artificial Intelligence: Evidence from a Systematic Review","https://scispace.com/paper/improving-early-prostate-cancer-detection-through-artificial-zrvp9wlyxw6d","2025","Journal Article","Cancers","Vincenzo Ciccone
Marina Garofano
Rosaria Del Sorbo
Francesco Negri
Roberta Buonocore
Francesca Salerno
Rosario Gnazzo
Gaetano Ungaro
Alessia Bramanti","10.3390/cancers17213503","","Background: Prostate cancer is one of the most common malignancies in men and a leading cause of cancer-related mortality. Early detection is essential to ensure curative treatment and favorable outcomes, but traditional diagnostic approaches—such as serum prostate-specific antigen (PSA) testing, digital rectal examination (DRE), and histopathological confirmation following biopsy—are limited by suboptimal accuracy and variability. Multiparametric magnetic resonance imaging (mpMRI) has improved diagnostic performance but remains highly dependent on reader expertise. Artificial intelligence (AI) offers promising opportunities to enhance diagnostic accuracy, reproducibility, and efficiency in prostate cancer detection. Objective: To evaluate the diagnostic accuracy and reporting timeliness of AI-based technologies compared with conventional diagnostic methods in the early detection of prostate cancer. Methods: Following PRISMA 2020 guidelines, PubMed, Scopus, Web of Science, and Cochrane Library were searched for studies published between January 2015 and April 2025. Eligible designs included randomized controlled trials, cohort, case–control, and pilot studies applying AI-based technologies to early prostate cancer diagnosis. Data on AUC-ROC, sensitivity, specificity, predictive values, diagnostic odds ratio (DOR), and time-to-reporting were narratively synthesized due to heterogeneity. Risk of bias was assessed using the QUADAS-AI tool. Results: Twenty-three studies involving 23,270 patients were included. AI-based technologies achieved a median AUC-ROC of 0.88 (range 0.70–0.93), with median sensitivity and specificity of 0.86 and 0.83, respectively. Compared with radiologists, AI or AI-assisted readings improved or matched diagnostic accuracy, reduced inter-reader variability, and decreased reporting time by up to 56%. Conclusions: AI-based technologies show strong diagnostic performance in early prostate cancer detection. However, methodological heterogeneity and limited standardization restrict generalizability. Large-scale prospective trials are required to validate clinical integration. ","This systematic review of 23 studies (23,270 patients) finds AI-based technologies achieve high diagnostic accuracy (AUC-ROC: 0.88, sensitivity: 0.86, specificity: 0.83) in early prostate cancer detection, outperforming or matching radiologists in some cases, with potential to reduce reporting time."
"Predicting cancer recurrence with ai-enhanced imaging: a review of predictive models and their clinical implications","https://scispace.com/paper/predicting-cancer-recurrence-with-ai-enhanced-imaging-a-2rtzm9q42zjh","2024","Journal Article","","Emmanuel Ediri Umukoro
Franklin Anita Apolile
Ikenna E Odezuligbo
Christian Oyinkuro Kemefa
Oghenerukevwe Fiona Umukoro","10.31219/osf.io/cpheq","https://scispace.compdf/predicting-cancer-recurrence-with-ai-enhanced-imaging-a-2rtzm9q42zjh.pdf","Artificial intelligence (AI) is transforming healthcare by improving the prediction of cancer recurrence, which is critical for guiding timely interventions. However, imbalanced medical datasets present challenges, making it essential to use more than just accuracy as a performance metric. Metrics like sensitivity, specificity, and precision are crucial for evaluating how well models detect recurrences without producing false predictions. A review of existing literature shows AI models increasingly outperform traditional diagnostic methods, especially through the integration of multi-modal data.Accuracy alone may misrepresent a model’s performance, especially with unbalanced datasets where one outcome (recurrence or non-recurrence) dominates. Sensitivity measures a model's ability to identify true recurrences, while specificity focuses on reducing false positives. Precision ensures high-risk predictions are reliable, minimizing unnecessary treatments. Incorporating multi-modal data, such as medical imaging, genomic profiles, and liquid biopsies, further improves diagnostic accuracy. Case studies reveal that AI models integrating these data types show superior sensitivity and specificity, particularly in early detection. Liquid biopsies, for example, enable non-invasive recurrence detection, allowing personalized treatments to be initiated earlier.AI holds immense potential to improve cancer care by enabling earlier and more precise predictions, but certain challenges persist. Issues like ethical concerns, data standardization, and clinical variability need to be addressed to ensure widespread adoption and effectiveness. Ongoing research is essential to refine these models, ensuring their reliability and usability in real-world clinical settings. Properly implemented AI-powered predictive models can significantly enhance patient outcomes by supporting earlier interventions and guiding personalized treatment strategies. ","AI-enhanced imaging improves cancer recurrence prediction, outperforming traditional methods, especially with multi-modal data integration, but challenges persist, including data standardization, clinical variability, and ethical concerns, requiring ongoing research for reliable adoption."
"LungGuard- A Multimodal Deep Learning System for Early Lung Cancer Detection via Fusion of CT Imaging, Clinical Biomarkers, and Demographic Data","https://scispace.com/paper/lungguard-a-multimodal-deep-learning-system-for-early-lung-5zxphhn3m1fw","2025","Repository","","","10.5281/zenodo.17177686","","Early detection of lung cancer significantly improves patient prognosis by enabling timely intervention. However, single‐modality methods (e.g., CT imaging alone) often suffer from false positives, variable sensitivity, or lack of context from patient history. This work proposes LungGuard, a multimodal deep learning framework that fuses three complementary data sources—low‐dose CT scans, key clinical biomarkers (e.g. serum tumor markers, smoking history, family history), and demographic features (age, sex, environmental exposures)—to detect lung cancer at early stages, especially in high-risk populations. LungGuard uses a 3D convolutional neural network backbone to process volumetric CT scans, a fully connected network for the clinical biomarkers and demographics, and an attention-based fusion module to combine features. The model is trained and validated on a dataset of ~2,500 patients drawn from multiple centres, with ground truth from histopathology and clinical follow-ups. Data augmentation (rotation, scaling, contrast variation), transfer learning from pre-trained models, and techniques such as focal loss are used to address class imbalance. Preliminary results show that LungGuard achieves AUC ≈ 0.96, sensitivity ≈ 92%, specificity ≈ 90% in early-stage (I & II) lung cancer detection, outperforming radiologists in a controlled observer study by ~5% in accuracy. Explainability methods (Grad-CAM, SHAP) are used to highlight imaging regions and biomarker contributions. The contributions of this work are: (1) demonstrating that fusion of imaging + clinical + demographic data improves early detection; (2) providing a validated model on multi-centre data with robust performance; (3) integrating interpretability to increase clinical trust. Future work aims at external validation in prospective cohorts, inclusion of molecular/omics data, and deployment in low-resource settings. ",""
"An Empirical Analysis of Transformer-Based and Convolutional Neural Network Approaches for Early Detection and Diagnosis of Cancer Using Multimodal Imaging and Genomic Data","https://scispace.com/paper/an-empirical-analysis-of-transformer-based-and-convolutional-4tkdyztx7anh","2024","Journal Article","IEEE Access","S Sangeetha
Sandeep Kumar Mathivanan
V. Muthukumaran
Jaehyuk Cho
V E Sathishkumar","10.1109/access.2024.3524564","","Early diagnosis of cancer has focused on the use of advanced algorithms to achieve accurate diagnosis. The proposed study assesses the effectiveness of Transformer-based models and Convolutional Neural Networks (CNN) in cancer diagnosis with respect to multimodal imaging and genomic data. The performance comparisons between the two algorithmic methods with such complex datasets, which combine multi-modal imaging and genomic information, are presented. In search of the optimal neural network configuration, a series of experiments were conducted with respect to different layers, attention mechanisms in case of transformers, and convolutional architectures in case of CNNs. Besides, parameters related to training, such as learning rates, batch sizes, and optimization algorithms, have also been systematically tuned. The different models were evaluated against accuracy, precision, recall, and the F1-score. Our results show that the proposed multimodal model, with accuracy from 92.5 to 93.2, F1-scores between 91.5 and 92.2, precision of 91.5 to 92.2, and recall values of 92.5 to 93.2. In contrast, much lower accuracy, F1-scores, precision, and recall values were noticed when using baselines, especially VGG. All these findings indicate the fact that the presented techniques, especially the Multimodal and Transformer models, are more robust solutions for classification tasks with better balance between precision and recall, as well as with higher overall accuracy. This came with the cost of the expense of computational resources: CNNs are less resource-intensive but have competitive performance with better precision and recall. The results underline how algorithm selection and hyperparameter optimization play a crucial role in cancer detection tasks. This study has shown how state-of-the-art deep learning methods can be effectively combined with multi-modal data for building more accurate and efficient systems in cancer diagnosis. Two main lines of future work would be improving these algorithms and understanding their applicability in real clinical practice to obtain maximum benefits from them.","This study compares Transformer-based and Convolutional Neural Network (CNN) models for cancer diagnosis using multimodal imaging and genomic data, finding that multimodal models with Transformers achieve higher accuracy (92.5-93.2%) and better precision/recall balance than CNNs and VGG baselines."
"How AI Improves Early Cancer Detection: Focus on Precision, Speed, and Medical Impact","https://scispace.com/paper/how-ai-improves-early-cancer-detection-focus-on-precision-62bao7rep16g","2024","Journal Article","Journal of Student Research","M. Malla
Mihai Sava
Jothsna Kethar","10.47611/jsrhs.v13i4.8296","","This study explores the potential of artificial intelligence (AI) in enhancing early cancer diagnosis by evaluating the accuracy and efficiency of AI-based diagnostic tools compared to traditional methods. Despite challenges such as data privacy and algorithmic bias, the research demonstrates AI’s superior performance in accuracy and speed, suggesting significant improvements in early detection and personalized treatment. The study applies AI methods, such as deep learning and machine learning models to diverse medical data types including imaging, genomics, and pathology using a broad collection of AI algorithms. Such research points to the widely varying ways AI systems vastly outperform conventional means of diagnoses in accuracy and speed, offering improved earlier detection and more tailored plans for patients. ","This study evaluates AI's potential in early cancer detection, demonstrating superior accuracy and speed compared to traditional methods, despite challenges, and suggests significant improvements in early detection and personalized treatment through diverse AI applications."
